
[00:00:00.000 --> 00:00:04.000]  各位兄弟姐妹早晨 居內平安
[00:00:30.000 --> 00:00:32.000]  引導著其他人
[00:00:32.000 --> 00:00:37.000]  他的產品不是要滿足顧客的需要
[00:00:37.000 --> 00:00:41.000]  而是要創造顧客的需要
[00:00:41.000 --> 00:00:47.000]  他不是要在已有的產品上力遵完善
[00:00:47.000 --> 00:00:53.000]  而是不斷實現人類從未想過的夢想
[00:00:53.000 --> 00:00:55.000]  簡單來說
[00:00:55.000 --> 00:00:58.000]  他不是活在現實的世界上
[00:00:58.000 --> 00:01:03.000]  而是活在一個想像的世界上
[00:01:03.000 --> 00:01:06.000]  周星馳在電影《少林足球》中
[00:01:06.000 --> 00:01:09.000]  有一句經典的對白
[00:01:09.000 --> 00:01:12.000]  差不多已經成為了香港的諺語
[00:01:12.000 --> 00:01:14.000]  周星馳說
[00:01:14.000 --> 00:01:16.000]  做人如果沒有夢想
[00:01:16.000 --> 00:01:20.000]  跟一條鹹魚有什麼分別呢?
[00:01:20.000 --> 00:01:24.000]  夢想、願像、願景
[00:01:24.000 --> 00:01:28.000]  都考驗人的想像力
[00:01:28.000 --> 00:01:33.000]  有沒有試過在想像力的邊界
[00:01:33.000 --> 00:01:38.000]  想像那個邊界以外的世界呢?
[00:01:38.000 --> 00:01:40.000]  今天我們試一試
[00:01:40.000 --> 00:01:47.000]  看看在我們一般的邊界以外的景象是怎樣的
[00:01:47.000 --> 00:01:48.000]  我們看一段聖經
[00:01:48.000 --> 00:01:56.000]  《廣道經文》啟示錄第四章第一節至第十一節
[00:01:56.000 --> 00:01:58.000]  啟示錄是聖經最後一卷書
[00:01:58.000 --> 00:02:06.000]  第四章一至第十一節
[00:02:06.000 --> 00:02:10.000]  有聖經請打開我們一起看
[00:02:10.000 --> 00:02:14.000]  啟示錄第四章第一節至第十一節
[00:02:14.000 --> 00:02:18.000]  經文說:此後我觀看
[00:02:18.000 --> 00:02:20.000]  見天上有門開了
[00:02:20.000 --> 00:02:25.000]  我初次聽見好將吹號的聲音對我說
[00:02:25.000 --> 00:02:27.000]  你想到這裡來
[00:02:27.000 --> 00:02:31.000]  我要將以後必成的事指示你
[00:02:31.000 --> 00:02:34.000]  我立刻被聖靈感動
[00:02:34.000 --> 00:02:36.000]  或者在聖靈裡面
[00:02:36.000 --> 00:02:40.000]  見到有一個寶座安置在天上
[00:02:40.000 --> 00:02:43.000]  又有一位坐在寶座上
[00:02:43.000 --> 00:02:45.000]  看那坐著的
[00:02:45.000 --> 00:02:47.000]  他的形象是怎樣呢
[00:02:47.000 --> 00:02:49.000]  好將碧玉和紅寶石
[00:02:49.000 --> 00:02:52.000]  又有紅圍繞著寶座
[00:02:52.000 --> 00:02:53.000]  好將綠寶石
[00:02:53.000 --> 00:02:57.000]  寶座的周圍又有二十四個座位
[00:02:57.000 --> 00:03:00.000]  其上坐著二十四位長老
[00:03:00.000 --> 00:03:01.000]  身穿白衣
[00:03:01.000 --> 00:03:03.000]  頭上戴著金冠面
[00:03:03.000 --> 00:03:06.000]  有閃電聲音雷轟
[00:03:06.000 --> 00:03:09.000]  從寶座中發出
[00:03:09.000 --> 00:03:12.000]  又有七盞火燈在寶座前點著
[00:03:12.000 --> 00:03:15.000]  這七個燈就是神的七靈
[00:03:15.000 --> 00:03:18.000]  寶座前好像一個玻璃海
[00:03:18.000 --> 00:03:19.000]  如同水晶
[00:03:19.000 --> 00:03:20.000]  寶座中和
[00:03:20.000 --> 00:03:23.000]  寶座的周圍有四個活物
[00:03:23.000 --> 00:03:26.000]  前後遍體都滿了眼睛
[00:03:26.000 --> 00:03:29.000]  第一個活物像獅子
[00:03:29.000 --> 00:03:30.000]  第二個像牛毒
[00:03:30.000 --> 00:03:33.000]  第三個臉面像人
[00:03:33.000 --> 00:03:35.000]  第四個像飛鷹
[00:03:35.000 --> 00:03:37.000]  四個活物各有六個翅膀
[00:03:37.000 --> 00:03:40.000]  遍體內外都滿了眼睛
[00:03:40.000 --> 00:03:42.000]  他們晝夜不住地說
[00:03:42.000 --> 00:03:45.000]  聖哉 聖哉 聖哉
[00:03:45.000 --> 00:03:48.000]  主神是色哉 金哉
[00:03:48.000 --> 00:03:51.000]  以後永哉的全能者
[00:03:51.000 --> 00:03:55.000]  每逢四個活物將榮耀尊貴感謝
[00:03:55.000 --> 00:03:58.000]  歸給那坐在寶座上
[00:03:58.000 --> 00:04:00.000]  活到永永遠遠者的時候
[00:04:00.000 --> 00:04:03.000]  那二十四位長老就俯伏在
[00:04:03.000 --> 00:04:08.000]  坐寶座的面前敬拜那活到永永遠遠的
[00:04:08.000 --> 00:04:13.000]  又把他們的冠冕放在寶座前說
[00:04:13.000 --> 00:04:16.000]  我們的主 我們的神
[00:04:16.000 --> 00:04:21.000]  你是配得榮耀尊貴權柄的
[00:04:21.000 --> 00:04:24.000]  因為你創造了萬物
[00:04:24.000 --> 00:04:27.000]  並且萬物因你的旨意
[00:04:27.000 --> 00:04:32.000]  被創造而有的
[00:04:32.000 --> 00:04:35.000]  這段經文講到
[00:04:35.000 --> 00:04:41.000]  人能夠見到的一個最遠大的景象
[00:04:41.000 --> 00:04:43.000]  我將它分為三個段落
[00:04:43.000 --> 00:04:47.000]  第一個段落講到在空間的至高處
[00:04:47.000 --> 00:04:50.000]  在時間的至盡處
[00:04:50.000 --> 00:04:53.000]  看到的真相
[00:04:53.000 --> 00:04:54.000]  經文第一節它說
[00:04:54.000 --> 00:04:56.000]  此後我觀看
[00:04:56.000 --> 00:04:59.000]  見到天上有個門大開
[00:04:59.000 --> 00:05:03.000]  我聽到普象吹號的聲音對我說
[00:05:03.000 --> 00:05:06.000]  你想到這裡來
[00:05:06.000 --> 00:05:12.000]  我要將以後必成的事指示你
[00:05:12.000 --> 00:05:14.000]  天上的世界
[00:05:14.000 --> 00:05:21.000]  是我們世界界限以外的世界
[00:05:21.000 --> 00:05:23.000]  它在天上
[00:05:23.000 --> 00:05:26.000]  是在空間的至高處
[00:05:26.000 --> 00:05:28.000]  然後經文講就是
[00:05:28.000 --> 00:05:32.000]  我要將以後必成的事指示你
[00:05:32.000 --> 00:05:33.000]  以後必成的事
[00:05:33.000 --> 00:05:36.000]  我理解為在歷史的終點
[00:05:36.000 --> 00:05:39.000]  那時發生的事情
[00:05:39.000 --> 00:05:42.000]  就是在時間的盡頭
[00:05:42.000 --> 00:05:44.000]  啟示錄的作者
