
[00:00:00.000 --> 00:00:02.540]  多謝您讓我們聽上帝的說話
[00:00:02.540 --> 00:00:04.100]  也請讓我們同心地禱告
[00:00:04.100 --> 00:00:07.140]  女士姐妹讓我們聽神道之前先同心禱告
[00:00:07.140 --> 00:00:10.180]  主廟的父神感謝祢
[00:00:10.180 --> 00:00:12.520]  讓我們再次來到祢的跟前
[00:00:12.520 --> 00:00:15.500]  讓我們一起來聆聽祢的話語
[00:00:15.500 --> 00:00:17.920]  父神求祢的幫助
[00:00:17.920 --> 00:00:22.400]  讓祢的心靈使我們能夠隨著祢的引導
[00:00:22.400 --> 00:00:25.740]  能夠更明白我們今天應當怎麼樣活出
[00:00:25.740 --> 00:00:28.820]  真正有主樣式的基督徒
[00:00:28.820 --> 00:00:31.300]  讓我們是屬於主祢的子民
[00:00:31.300 --> 00:00:33.800]  也真正能夠得到
[00:00:33.800 --> 00:00:37.660]  屬神神國裡面子民應有的生命力
[00:00:37.660 --> 00:00:40.900]  讓我們再次把這段時間恭敬教授
[00:00:40.900 --> 00:00:42.220]  求祢的幫助
[00:00:42.220 --> 00:00:43.300]  我真的最多謝祢
[00:00:43.300 --> 00:00:45.660]  讓我們能夠再次回到祢
[00:00:45.660 --> 00:00:47.300]  去能夠聆聽祢的話語
[00:00:47.300 --> 00:00:49.960]  讓我們能夠再次去學會
[00:00:49.960 --> 00:00:53.780]  怎樣去有一個真正屬神子民的生命
[00:00:53.780 --> 00:00:56.400]  能夠活在上帝祢的國國當中
[00:00:56.400 --> 00:00:58.300]  從今天直到永恆
[00:00:58.300 --> 00:01:00.320]  所以求祢的聖靈與我們同在
[00:01:00.320 --> 00:01:01.580]  感動我們的心
[00:01:01.580 --> 00:01:03.600]  有動我們能夠更明白
[00:01:03.600 --> 00:01:07.640]  怎樣去活出有信徒屬神子民的風範
[00:01:07.640 --> 00:01:09.160]  求祢與我們同在
[00:01:09.160 --> 00:01:12.240]  祈禱奉靠主耶穌基督登上明日之球
[00:01:12.240 --> 00:01:13.500]  阿們
[00:01:13.500 --> 00:01:16.960]  今天是父親節
[00:01:16.960 --> 00:01:18.640]  今天是父親節
[00:01:18.640 --> 00:01:22.300]  不知道你們怎樣和你們父親慶祝
[00:01:22.300 --> 00:01:25.400]  或者給他一個短訊也好
[00:01:25.400 --> 00:01:28.300]  好像我這些爸爸已經在海外了
[00:01:28.300 --> 00:01:31.700]  不知道你是如何和你爸爸過父親節呢?
[00:01:31.700 --> 00:01:33.260]  是不是有一個短訊呢?
[00:01:33.260 --> 00:01:36.980]  在英語世界裏面有一個這樣的說話
[00:01:36.980 --> 00:01:39.280]  在英語世界有這麼一句話
[00:01:39.280 --> 00:01:41.700]  Like father, like son
[00:01:41.700 --> 00:01:43.480]  Like father, like son
[00:01:43.480 --> 00:01:45.940]  有其父必有其子
