
[00:00:00.000 --> 00:00:05.440]  上個星期我們看到花別塔的事件
[00:00:05.440 --> 00:00:11.640]  今天我們從《創世紀》十一章二十七節開始
[00:00:11.640 --> 00:00:14.400]  看亞伯蘭的事
[00:00:14.400 --> 00:00:16.880]  從今天的經文
[00:00:16.880 --> 00:00:23.840]  我想跟大家思想信仰和生活的關係
[00:00:23.840 --> 00:00:28.880]  先讓我簡單講講十一章十節開始的閃的族譜
[00:00:28.880 --> 00:00:31.640]  我們沒有讀這些經文
[00:00:31.640 --> 00:00:36.400]  十一章十節就說以下是閃的後代
[00:00:36.400 --> 00:00:39.600]  很多神學家都有一個共識
[00:00:39.600 --> 00:00:44.480]  在《創世紀》裡面作者是用後代這個字
[00:00:44.480 --> 00:00:48.720]  是做一個分段的記號
[00:00:48.720 --> 00:00:50.440]  所以在十一章十節
[00:00:50.440 --> 00:00:54.200]  就是標誌了一個新段落的開始
[00:00:54.200 --> 00:00:57.640]  如果我們有時間回家慢慢看這個族譜
[00:00:57.640 --> 00:01:00.000]  和第五章的族譜比較一下
[00:01:00.000 --> 00:01:03.560]  我們會發覺這個族譜是簡單很多的
[00:01:03.560 --> 00:01:09.200]  這個族譜就由羅亞的長子閃開始記載
[00:01:09.200 --> 00:01:13.000]  為什麼不從羅亞開始記載呢?
[00:01:13.000 --> 00:01:15.400]  我相信從閃到亞伯蘭
[00:01:15.400 --> 00:01:19.240]  如果我們數一數就剛剛好去到第十代
[00:01:19.240 --> 00:01:21.440]  而在第五章的族譜
[00:01:21.440 --> 00:01:23.880]  是從亞當去到羅亞
[00:01:23.880 --> 00:01:26.880]  也是剛剛好第十代
[00:01:26.880 --> 00:01:30.520]  在羅亞的時代就有大洪水發生
[00:01:30.520 --> 00:01:32.160]  在第十章的族譜
[00:01:32.160 --> 00:01:34.360]  從閃到亞伯蘭
[00:01:34.360 --> 00:01:36.480]  這個第十代的孫
[00:01:36.480 --> 00:01:39.760]  作者似乎已經暗示了給我們聽
[00:01:39.760 --> 00:01:41.560]  有一個特別的計劃
[00:01:41.560 --> 00:01:46.400]  會透過亞伯蘭向世人啟示
[00:01:46.400 --> 00:01:48.440]  我們開始看今天的經文
[00:01:48.440 --> 00:01:52.000]  我鼓勵大家打開聖經
[00:01:52.000 --> 00:01:56.240]  在今天的經文十一章二十七節到三十二節
[00:01:56.240 --> 00:02:00.920]  可以說是交代一下亞伯蘭的家庭背景
[00:02:00.920 --> 00:02:02.920]  十一章二十七節開始說
[00:02:02.920 --> 00:02:05.360]  以下是他拉的後代
[00:02:05.360 --> 00:02:06.680]  又看到後代
[00:02:06.680 --> 00:02:11.200]  從這裡開始也是一個新段落的開始
[00:02:11.200 --> 00:02:14.000]  這一節也讓我們知道
[00:02:14.000 --> 00:02:18.080]  亞伯蘭是他拉的長子
[00:02:18.080 --> 00:02:21.120]  長子在以色列人的時代是很重要的
[00:02:21.120 --> 00:02:24.000]  他要繼承父親的一切財產
[00:02:24.000 --> 00:02:28.600]  也要繼承他的屬靈的福氣
[00:02:28.600 --> 00:02:31.880]  這裡也提到
[00:02:31.880 --> 00:02:35.600]  亞伯蘭還有兩個弟弟和一個姪子
[00:02:35.600 --> 00:02:39.040]  為甚麼要提姪子羅德呢?
[00:02:39.040 --> 00:02:42.080]  因為羅德的父親叫哈蘭
[00:02:42.080 --> 00:02:44.640]  他很早就死了
[00:02:44.640 --> 00:02:46.840]  他死了給他的父親
[00:02:46.840 --> 00:02:49.400]  也就是亞伯蘭的父親
[00:02:49.400 --> 00:02:53.520]  他拉死得更早
[00:02:53.520 --> 00:02:58.160]  而死去的哈蘭不只是羅德一個兒子
[00:02:58.160 --> 00:03:01.160]  他還有一個女兒叫麥加
