
[00:00:00.000 --> 00:00:03.220]  過去一段日子我們都看到教會是用著約書亞記
[00:00:03.220 --> 00:00:06.320]  和大家分享神的話語的一個系列
[00:00:06.320 --> 00:00:09.120]  但是已經完成了這個系列
[00:00:09.120 --> 00:00:10.320]  所以這段時間
[00:00:10.320 --> 00:00:15.200]  我們不同的講員有不同的經文和大家分享
[00:00:15.200 --> 00:00:20.000]  而今次我自己心裡有一個題目想和大家分享
[00:00:20.000 --> 00:00:23.520]  而這個題目就叫做世上的光
[00:00:23.520 --> 00:00:28.320]  因為我們很深信在耶穌基督曾經說過一句話
[00:00:28.320 --> 00:00:31.520]  祂說:我是世界的光
[00:00:31.520 --> 00:00:36.640]  跟從我的,不會再在黑暗的那邊行走
[00:00:36.640 --> 00:00:42.640]  更加是必得著生命的光
[00:00:42.640 --> 00:00:47.040]  耶穌祂自己說:我是世界的光
[00:00:47.040 --> 00:00:50.160]  當我們選擇去跟從祂的時候
[00:00:50.160 --> 00:00:54.840]  我們就不會再在黑暗的那邊行走
[00:00:54.840 --> 00:01:00.120]  而是得著了生命的光
[00:01:00.120 --> 00:01:02.200]  當然耶穌也說過
[00:01:02.200 --> 00:01:05.400]  祂說:光照在黑暗那邊
[00:01:05.400 --> 00:01:10.200]  黑暗卻不會接受這個光
[00:01:10.200 --> 00:01:15.160]  換言之其實黑暗和光明其實是一個對立
[00:01:15.160 --> 00:01:17.640]  有光明的地方其實不會有黑暗
[00:01:17.640 --> 00:01:20.600]  相對之下有黑暗的地方也不會有光
[00:01:20.600 --> 00:01:24.280]  但是耶穌卻說祂是世界的光的時候
[00:01:24.280 --> 00:01:25.880]  祂給我們一個選擇
[00:01:25.880 --> 00:01:31.480]  這個選擇就是我們究竟會不會選擇行在光明當中
[00:01:31.480 --> 00:01:35.080]  而這個光明不是因為我們自己有什麼光
[00:01:35.080 --> 00:01:37.240]  而是耶穌的光
[00:01:37.240 --> 00:01:42.040]  是能夠在我們的生命當中顯明出來
[00:01:42.040 --> 00:01:44.760]  所以耶穌說當我們跟隨祂的時候
[00:01:44.760 --> 00:01:49.720]  我們一定得著這個生命的光
[00:01:49.720 --> 00:01:51.480]  當然光明和黑暗
[00:01:51.480 --> 00:01:55.080]  其實我們很多時候是怕黑暗的
[00:01:55.080 --> 00:01:58.200]  日光日白我們不是很害怕
[00:01:58.200 --> 00:02:00.600]  我們很多時候是怕夜晚
[00:02:00.600 --> 00:02:01.880]  在兩個星期之前
[00:02:01.880 --> 00:02:05.240]  我和師母有一個夜晚吃完飯
[00:02:05.240 --> 00:02:07.320]  我們出去行走
[00:02:07.320 --> 00:02:12.120]  因為現在我們也開始定期做一些運動
[00:02:12.120 --> 00:02:15.560]  一方面我們會打乒乓球
[00:02:15.560 --> 00:02:19.400]  一方面會做一些所謂PT Training
[00:02:19.400 --> 00:02:22.280]  就是那些肌肉訓練
[00:02:22.280 --> 00:02:24.920]  我希望有一天我能夠舉重
[00:02:24.920 --> 00:02:26.920]  希望有一天我有個九福肌
[00:02:26.920 --> 00:02:29.080]  我希望我只有一個港紙
[00:02:29.080 --> 00:02:30.600]  開始做一些運動
[00:02:30.600 --> 00:02:33.320]  而且我們夜晚來來去去都會行走
[00:02:33.320 --> 00:02:36.760]  每一天都希望有七千步八千步
[00:02:36.760 --> 00:02:41.480]  那一晚去到遊客城後面有一個公園
[00:02:41.480 --> 00:02:43.400]  那個公園其實挺好走的
[00:02:43.400 --> 00:02:47.080]  都有些人有些學生很安全
[00:02:47.080 --> 00:02:48.840]  但是誰知道那一晚去到
[00:02:48.840 --> 00:02:50.840]  沒有人,奇怪
[00:02:50.840 --> 00:02:53.400]  八點多沒有人
[00:02:53.400 --> 00:02:56.600]  以往我們行走都是因為師母行得很快
[00:02:56.600 --> 00:02:57.800]  我行得很慢
[00:02:57.800 --> 00:02:59.160]  我經常跟她說
[00:02:59.160 --> 00:03:00.600]  你行得快不要緊
[00:03:00.600 --> 00:03:02.360]  你行大圈我行小圈
[00:03:02.360 --> 00:03:05.320]  我們最後都會合到的
[00:03:05.320 --> 00:03:06.760]  因為我行得慢
[00:03:06.760 --> 00:03:08.600]  但是那天就看到沒有人
[00:03:08.600 --> 00:03:10.040]  我就有點擔心
[00:03:10.040 --> 00:03:11.000]  如果這麼黑
[00:03:11.000 --> 00:03:12.680]  忽然間有個人衝出來
[00:03:12.680 --> 00:03:14.680]  有什麼情況呢?
[00:03:14.680 --> 00:03:17.480]  於是我那一晚特別行得快一點
[00:03:17.480 --> 00:03:20.280]  我說師母我和你一起行大圈
[00:03:20.280 --> 00:03:22.280]  雖然我都沒那麼快
[00:03:22.280 --> 00:03:24.440]  她行得快一點我行得慢一點
[00:03:24.440 --> 00:03:26.600]  行到一半的時候
