
[00:00:00.000 --> 00:00:02.000]  領職平安
[00:00:02.000 --> 00:00:05.600]  剛才讀那段經課
[00:00:05.600 --> 00:00:09.400]  是先知以利亞求告耶和華
[00:00:09.400 --> 00:00:12.400]  這個撒勒法的婦人
[00:00:12.400 --> 00:00:15.600]  她自己經歷了兩個很大的神蹟
[00:00:15.600 --> 00:00:18.000]  一個就是她裡面
[00:00:18.000 --> 00:00:22.800]  潭內的面和瓶內的油不用盡
[00:00:22.800 --> 00:00:24.400]  而另外一個神蹟
[00:00:24.400 --> 00:00:29.600]  就是這位撒勒法婦人的兒子復活的事蹟
[00:00:29.600 --> 00:00:34.400]  其實根據《熱王紀相》十六和十七章
[00:00:34.400 --> 00:00:37.400]  即是之前一章和現在這一章十六十七
[00:00:37.400 --> 00:00:40.000]  由於當時的以色列王阿哈
[00:00:40.000 --> 00:00:44.400]  他不單止娶了耶洗別這個老婆
[00:00:44.400 --> 00:00:47.400]  一起敬拜偶像巴力
[00:00:47.400 --> 00:00:50.200]  他們還建造巴力廟
[00:00:50.200 --> 00:00:53.200]  又捉巴力的壇
[00:00:53.200 --> 00:00:55.400]  還行了很多很多
[00:00:55.400 --> 00:00:58.400]  耶和華眼中看為惡的事
[00:00:58.400 --> 00:01:00.800]  還覺得是小事
[00:01:00.800 --> 00:01:05.600]  以致先知以利亞要指著耶和華起誓
[00:01:05.600 --> 00:01:08.200]  當著阿哈王的面前表示
[00:01:08.200 --> 00:01:11.200]  如果除非我祈禱
[00:01:11.200 --> 00:01:12.400]  否則的話
[00:01:12.400 --> 00:01:17.800]  耶和華不會讓天下露水
[00:01:17.800 --> 00:01:20.000]  也不會下雨
[00:01:20.000 --> 00:01:22.600]  當以利亞發出這個審判之後
[00:01:22.600 --> 00:01:24.800]  他就遵照耶和華的說話
[00:01:24.800 --> 00:01:29.200]  暫時住在基納溪旁邊生活
[00:01:29.200 --> 00:01:31.200]  基納溪是一條溪河
[00:01:31.200 --> 00:01:32.600]  即是溪水
[00:01:32.600 --> 00:01:35.000]  耶和華就叫他去這個溪水生活
[00:01:35.000 --> 00:01:39.000]  等候下一個指示
[00:01:39.000 --> 00:01:42.200]  本來住在基納溪旁邊的以利亞
[00:01:42.200 --> 00:01:45.200]  他應該不愁沒有水喝
[00:01:45.200 --> 00:01:46.200]  其他就會愁
[00:01:46.200 --> 00:01:49.600]  因為現在開始不降雨
[00:01:49.600 --> 00:01:52.600]  他在溪水旁邊應該是不用愁
[00:01:52.600 --> 00:01:55.200]  但是聖經說過了一段日子之後
[00:01:55.200 --> 00:01:58.000]  連溪水都開始乾了
[00:01:58.000 --> 00:02:01.600]  這個時候耶和華的說話就臨到了
[00:02:01.600 --> 00:02:05.800]  但是耶和華卻是叫以利亞起身
[00:02:05.800 --> 00:02:09.000]  去西頓的撒勒伐
[00:02:09.000 --> 00:02:14.800]  並且安排一個寡婦來供養自己
[00:02:14.800 --> 00:02:17.400]  我不知道你有沒有同感
[00:02:17.400 --> 00:02:19.800]  當我覺得看到這裡的時候
[00:02:19.800 --> 00:02:23.800]  我對於耶和華給以利亞這個吩咐
[00:02:23.800 --> 00:02:25.400]  這個指示
[00:02:25.400 --> 00:02:27.400]  我覺得很費解
