
[00:00:00.000 --> 00:00:04.400]  我們一起來分享今天的故事
[00:00:04.400 --> 00:00:06.000]  可以把我的投影片放出來嗎?
[00:00:06.000 --> 00:00:08.900]  好,可以看看今天預備了的PowerPoint
[00:00:08.900 --> 00:00:12.600]  下一張,這是我自己的PowerPoint
[00:00:12.600 --> 00:00:15.400]  用回彭全奴的PowerPoint就可以了
[00:00:15.400 --> 00:00:19.500]  我的故事要從2005年的時候開始講起
[00:00:19.500 --> 00:00:21.700]  故事要由2005年開始講起
[00:00:21.700 --> 00:00:25.600]  下一張,地點是在東部非洲的一個國家
[00:00:25.600 --> 00:00:26.700]  叫做坦桑尼亞
[00:00:26.700 --> 00:00:29.600]  在非洲東部一個地方叫做坦桑尼亞
[00:00:29.600 --> 00:00:31.500]  我不知道在場有沒有人去過非洲
[00:00:31.500 --> 00:00:33.500]  有沒有人去過非洲?
[00:00:33.500 --> 00:00:34.500]  應該沒有
[00:00:34.500 --> 00:00:35.200]  應該沒有
[00:00:35.200 --> 00:00:37.600]  那我可以盡量講,因為講錯了你也不知道
[00:00:37.600 --> 00:00:40.200]  可以任人講,因為講錯了你也不會知道
[00:00:40.200 --> 00:00:42.200]  我問大家一下,非洲有什麼?
[00:00:42.200 --> 00:00:43.900]  問一下大家,非洲有些什麼?
[00:00:43.900 --> 00:00:47.100]  我一講到非洲的話,你會想到非洲有什麼人?
[00:00:47.100 --> 00:00:49.100]  講起非洲,想起什麼?
[00:00:49.100 --> 00:00:50.200]  力素
[00:00:50.200 --> 00:00:51.900]  非洲有什麼人?
[00:00:51.900 --> 00:00:54.700]  非洲有些什麼人?
[00:00:54.700 --> 00:00:55.300]  黑人
[00:00:55.300 --> 00:00:57.200]  黑人,很好
[00:00:57.200 --> 00:00:59.200]  上一次黑人跟我講說
[00:00:59.200 --> 00:01:00.400]  非洲有地球人
[00:01:00.400 --> 00:01:01.200]  非洲有地球人?
[00:01:01.200 --> 00:01:02.200]  說當然有地球人
[00:01:02.200 --> 00:01:03.600]  沒錯,非洲也在地球裡面
[00:01:03.600 --> 00:01:05.400]  非洲人講什麼話?
[00:01:05.400 --> 00:01:07.500]  非洲人講什麼話?
[00:01:07.500 --> 00:01:10.200]  非洲話
[00:01:10.200 --> 00:01:12.400]  可是你不會講說亞洲人講亞洲話吧?
[00:01:12.400 --> 00:01:13.700]  亞洲人不會講亞洲話的嗎?
[00:01:13.700 --> 00:01:18.000]  因為你知道亞洲人會講日文、韓文、中文
[00:01:18.000 --> 00:01:18.800]  各式各樣不同的語言
[00:01:18.800 --> 00:01:21.200]  對,亞洲人就會講日文、韓文、中文等等
[00:01:21.200 --> 00:01:22.700]  那非洲話到底是什麼話?
[00:01:22.700 --> 00:01:23.800]  非洲話是什麼話?
[00:01:23.800 --> 00:01:27.600]  (非洲語)
[00:01:27.600 --> 00:01:29.400]  你說非洲有黑人
[00:01:29.400 --> 00:01:31.200]  對,的確非洲有很多很多的黑人
[00:01:31.200 --> 00:01:34.100]  但是光是講黑人也有分很多種
[00:01:34.100 --> 00:01:36.500]  非洲有很多黑人,但其實黑人也有很多種
[00:01:36.500 --> 00:01:38.500]  你知道,就算是黑人
[00:01:38.500 --> 00:01:42.500]  我在2003年到2007年的時候
[00:01:42.500 --> 00:01:45.700]  參加了世界福音動員會OM的福音船
[00:01:45.700 --> 00:01:47.300]  叫做Doulos中普號
[00:01:47.300 --> 00:01:49.300]  2003年到2007年那五年期間
[00:01:49.300 --> 00:01:51.800]  我上了一艘船,叫做中瀑號
[00:01:51.800 --> 00:01:55.300]  所以我有機會
[00:01:55.300 --> 00:01:57.900]  隨著福音船去了世界上很多不同的地方
[00:01:57.900 --> 00:02:00.800]  所以這艘船就去了世界不同的地方
[00:02:00.800 --> 00:02:04.500]  回國了以後,我又加入了World Vision
[00:02:04.500 --> 00:02:05.800]  這邊叫做宣明會
[00:02:05.800 --> 00:02:08.100]  回到台灣之後,參加了台灣的World Vision
[00:02:08.100 --> 00:02:09.100]  就是香港的宣明會
[00:02:09.100 --> 00:02:13.000]  然後我負責的地區又是整個非洲的人道救援的工作
[00:02:13.000 --> 00:02:15.300]  我主要負責整個非洲的人道救援的工作
[00:02:15.300 --> 00:02:18.500]  所以我有機會去了22個非洲的國家
[00:02:18.500 --> 00:02:20.600]  非洲有56個國家,我去了其中22個
[00:02:20.600 --> 00:02:22.600]  所以曾經在非洲這56個國家裡面
[00:02:22.600 --> 00:02:23.900]  去過其中22個國家
[00:02:23.900 --> 00:02:25.900]  所以光是說黑人的話
[00:02:25.900 --> 00:02:28.400]  我告訴你,也有分很多種
[00:02:28.400 --> 00:02:30.700]  所以只是說黑人,其實也分了很多種黑人
[00:02:30.700 --> 00:02:33.200]  有那種比較白一點的
[00:02:33.200 --> 00:02:35.500]  就是如果你去咖啡店喝咖啡的時候
[00:02:35.500 --> 00:02:37.600]  奶量比較多的,就是Latte
[00:02:37.600 --> 00:02:39.500]  就是白一點的,好像我們喝咖啡那些
[00:02:39.500 --> 00:02:42.600]  叫做奶,鮮奶咖啡,白白的
[00:02:42.600 --> 00:02:45.200]  對,然後還有那個Cappuccino,再深一點點的
[00:02:45.200 --> 00:02:47.800]  是除了奶咖啡之外,還有Cappuccino那些
[00:02:47.800 --> 00:02:49.700]  然後Espresso,Double Espresso
[00:02:49.700 --> 00:02:51.700]  然後就特濃咖啡,越來越黑
[00:02:51.700 --> 00:02:53.900]  越來越黑,沒錯
[00:02:53.900 --> 00:02:56.900]  那我們去了坦桑尼亞的還算是
[00:02:56.900 --> 00:02:58.200]  不算那麼黑的
[00:02:58.200 --> 00:03:00.700]  去到坦桑尼亞,坦桑尼亞不算很黑
[00:03:00.700 --> 00:03:04.300]  各位猜一下,坦桑尼亞人講什麼話
[00:03:04.300 --> 00:03:06.700]  大家猜一下,坦桑尼亞人講什麼話
[00:03:06.700 --> 00:03:08.500]  他們不是坦桑尼亞話
[00:03:08.500 --> 00:03:10.300]  他們不是講坦桑尼亞話的
[00:03:10.300 --> 00:03:13.400]  他們,坦桑尼亞和肯尼亞
[00:03:13.400 --> 00:03:17.200]  還有這個烏干達,他們這幾個國家都講
[00:03:17.200 --> 00:03:19.500]  同一個語言,叫做Swahili
[00:03:19.500 --> 00:03:23.000]  坦桑尼亞,肯尼亞和烏干達都會講這種話
[00:03:23.000 --> 00:03:26.500]  各位,叫做Swahili
[00:03:26.500 --> 00:03:28.000]  史瓦西里語
[00:03:28.000 --> 00:03:32.000]  各位有沒有從小看過一個卡通
[00:03:32.000 --> 00:03:33.800]  叫做獅子王Lion King
[00:03:33.800 --> 00:03:35.500]  有沒有看過獅子王卡通
[00:03:35.500 --> 00:03:39.300]  裡面有一首歌叫做Hakuna Matata
[00:03:39.300 --> 00:03:41.300]  是有一首歌的,Hakuna Matata
[00:03:41.300 --> 00:03:42.800]  那個就是Swahili
[00:03:42.800 --> 00:03:45.000]  Hakuna Matata
[00:03:45.000 --> 00:03:47.000]  就是那種話了
[00:03:47.000 --> 00:03:51.000]  那大家都知道這首歌就是Swahili
[00:03:51.000 --> 00:03:54.500]  它的主角的名字叫做Simba
[00:03:54.500 --> 00:03:56.000]  主角叫做Simba
[00:03:56.000 --> 00:04:00.500]  Simba就是史瓦西里語裡面的獅子的意思
[00:04:00.500 --> 00:04:04.000]  Simba其實就是史瓦西里語裡面的獅子的意思
[00:04:04.000 --> 00:04:06.500]  所以我教大家一句史瓦西里語好不好
[00:04:06.500 --> 00:04:09.000]  所以教大家一句史瓦西里語,一句就好了
[00:04:09.000 --> 00:04:10.500]  借我你的右手
[00:04:10.500 --> 00:04:12.000]  右手,伸出你的右手
[00:04:12.000 --> 00:04:14.500]  他們打招呼就叫做Jumbo
[00:04:14.500 --> 00:04:16.000]  打招呼Jumbo
[00:04:16.000 --> 00:04:18.000]  Jumbo
[00:04:18.000 --> 00:04:19.000]  很好很好
[00:04:19.000 --> 00:04:23.000]  所以我去了他們其中的一間教會
[00:04:23.000 --> 00:04:25.000]  一上台那牧師很開心
[00:04:25.000 --> 00:04:28.000]  就邀請我們上台跟大家一起來講幾句話
[00:04:28.000 --> 00:04:30.000]  去到那些教會,牧師很開心
[00:04:30.000 --> 00:04:32.000]  叫大家上台分享幾句說話
[00:04:32.000 --> 00:04:34.000]  那個牧師就是有很重的口音
[00:04:34.000 --> 00:04:36.000]  牧師很重的口音
[00:04:36.000 --> 00:04:40.000]  他說Thank you white people come to my church today
[00:04:40.000 --> 00:04:41.500]  很歡迎大家來到教會
[00:04:41.500 --> 00:04:43.000]  謝謝你們白人來到我們教會
[00:04:43.000 --> 00:04:44.500]  歡迎白人來到教會
[00:04:44.500 --> 00:04:46.000]  我一回頭一看
[00:04:46.000 --> 00:04:49.000]  原來講我,我是白人
[00:04:49.000 --> 00:04:52.500]  為什麼呢?因為另外一位跟我來的是一位印尼的弟兄
[00:04:52.500 --> 00:04:53.500]  他比我還要黑
[00:04:53.500 --> 00:04:55.000]  另外一位是南非的姐妹
[00:04:55.000 --> 00:04:56.000]  他根本就是一個黑人
[00:04:56.000 --> 00:04:58.000]  一個是印尼的,一個是南非的
[00:04:58.000 --> 00:05:01.000]  突然之間一起,一個黑一點,一個更黑
[00:05:01.000 --> 00:05:05.000]  所以我一上台呢
[00:05:05.000 --> 00:05:08.000]  我就很緊張
[00:05:08.000 --> 00:05:12.000]  因為我想說,我不會講他們的話
[00:05:12.000 --> 00:05:15.000]  一上台就很緊張,我不會講他們的話
[00:05:15.000 --> 00:05:18.000]  還好當地的童工有教過我幾句
[00:05:18.000 --> 00:05:21.000]  很幸運,當地童工教了幾句
[00:05:21.000 --> 00:05:24.000]  我就上台就說,剛剛那句
[00:05:24.000 --> 00:05:26.000]  Jumbo
[00:05:26.000 --> 00:05:28.000]  下面的人很興奮,很開心
[00:05:28.000 --> 00:05:31.000]  因為第一次看到,可能看到小眼睛的白人
[00:05:31.000 --> 00:05:32.000]  就是我
[00:05:32.000 --> 00:05:35.000]  第二次聽到小眼睛的白人還會講我們的話
[00:05:35.000 --> 00:05:36.000]  他們就很開心
[00:05:36.000 --> 00:05:37.000]  Jumbo
[00:05:37.000 --> 00:05:40.000]  他們很驚訝,看到眼細細的白人居然會講他們的話
[00:05:40.000 --> 00:05:43.000]  對,然後男生就會這樣
[00:05:43.000 --> 00:05:46.000]  女生發出彈舌的聲音
[00:05:46.000 --> 00:05:48.000]  男生女生就是發出這樣的聲音,是學不到的
[00:05:48.000 --> 00:05:50.000]  我就很緊張
[00:05:50.000 --> 00:05:51.000]  所以就很緊張
[00:05:51.000 --> 00:05:53.000]  但是那個週末呢
[00:05:53.000 --> 00:05:55.000]  有一個宣教士呢
[00:05:55.000 --> 00:06:00.000]  邀請我們去當地的一個部落
[00:06:00.000 --> 00:06:03.000]  有一個宣教士呢,當天就邀請我們去一個部落
[00:06:03.000 --> 00:06:06.000]  在整個東部非洲的大草原上面呢
[00:06:06.000 --> 00:06:09.000]  有這個叫做馬賽族的馬賽人
[00:06:09.000 --> 00:06:13.000]  在東部大草原有一個叫做馬賽族的部落
[00:06:13.000 --> 00:06:16.000]  然後他們接觸過文化文明
[00:06:16.000 --> 00:06:20.000]  但是不喜歡文明,退回去自己的叢林草原裡面去
[00:06:20.000 --> 00:06:23.000]  他們接觸過現在的文明,但是他們不喜歡
[00:06:23.000 --> 00:06:24.000]  所以回到他們的叢林
[00:06:24.000 --> 00:06:27.000]  所以那個週末呢,這個宣教士就帶我們去
[00:06:27.000 --> 00:06:32.000]  他們已經服侍將近有四年的這一群人當中
[00:06:32.000 --> 00:06:34.000]  所以這個宣教士帶我去到這個地方
[00:06:34.000 --> 00:06:36.000]  他們服侍了大約四年的這一群朋友當中
[00:06:36.000 --> 00:06:38.000]  所以今天因為時間的關係
[00:06:38.000 --> 00:06:39.000]  我只能長話短說
[00:06:39.000 --> 00:06:41.000]  就跟大家講我印象最深刻的一件事情
[00:06:41.000 --> 00:06:42.000]  所以今天時間不是很多
[00:06:42.000 --> 00:06:45.000]  所以很簡單講一些很深刻的事情和大家分享
[00:06:45.000 --> 00:06:48.000]  當然他們因為接觸過文明
[00:06:48.000 --> 00:06:51.000]  不喜歡文明,退回自己的部落裡面去
[00:06:51.000 --> 00:06:53.000]  所以他們過的是非常原始的生活
[00:06:53.000 --> 00:06:55.000]  他們接觸過文明,但是不喜歡文明
[00:06:55.000 --> 00:06:56.000]  所以退回自己部落生活
[00:06:56.000 --> 00:06:58.000]  所以是一些很簡單的生活
[00:06:58.000 --> 00:07:01.000]  他們的成年禮呢
[00:07:01.000 --> 00:07:05.000]  就是一個男生,還是男孩子的時候
[00:07:05.000 --> 00:07:07.000]  可能到了十二歲、十三歲
[00:07:07.000 --> 00:07:09.000]  他只要有一天他出去
[00:07:09.000 --> 00:07:11.000]  決定自己離開他的部落然後去打獵
[00:07:11.000 --> 00:07:14.000]  去殺一頭獅子或者是一個獵物回來
[00:07:14.000 --> 00:07:16.000]  他就成為了一個Warrior,一個勇士
[00:07:16.000 --> 00:07:19.000]  他們有些小朋友,男士十二、十三歲左右就出去
[00:07:19.000 --> 00:07:22.000]  去打獵,殺一隻獅子,殺一些獵物回來
[00:07:22.000 --> 00:07:23.000]  那就代表他成年了
[00:07:23.000 --> 00:07:24.000]  然後他就成為英雄了
[00:07:24.000 --> 00:07:26.000]  然後他就可以開始去
[00:07:26.000 --> 00:07:28.000]  開始喔,開始去娶老婆
[00:07:28.000 --> 00:07:31.000]  那就開始去娶老婆,開始娶老婆
[00:07:31.000 --> 00:07:35.000]  而且意思是說他不被限制說你只能娶一個
