
[00:00:00.000 --> 00:00:04.000]  今日我好想同大家去分享一個題目
[00:00:04.000 --> 00:00:08.000]  就叫做「我當作什麼」
[00:00:08.000 --> 00:00:11.000]  唔係指住人地你當作什麼
[00:00:11.000 --> 00:00:13.000]  係我當作什麼
[00:00:13.000 --> 00:00:15.000]  咁你有一段嘅經文呢
[00:00:15.000 --> 00:00:16.000]  呢一個嘅係嚟到呢
[00:00:16.000 --> 00:00:19.000]  試堂轉第二十二章一至到二十一節
[00:00:19.000 --> 00:00:21.000]  係好長嘅經文
[00:00:21.000 --> 00:00:22.000]  我唔打算同大家讀
[00:00:22.000 --> 00:00:24.000]  所以如果你需要嘅時候呢
[00:00:24.000 --> 00:00:26.000]  你就打開你嘅聖經
[00:00:26.000 --> 00:00:28.000]  我只係會揀三節呢
[00:00:28.000 --> 00:00:30.000]  去完成今日我哋呢
[00:00:30.000 --> 00:00:32.000]  想同大家講嘅一個訊息
[00:00:32.000 --> 00:00:34.000]  喺中間裏面我哋先要
[00:00:34.000 --> 00:00:36.000]  留意下呢段經文嘅背景
[00:00:36.000 --> 00:00:38.000]  當我哋嚟到第二十二章嘅時候呢
[00:00:38.000 --> 00:00:40.000]  上一次呢就係再上一個禮拜㗎啦
[00:00:40.000 --> 00:00:42.000]  咁呢就係楊牧師呢
[00:00:42.000 --> 00:00:44.000]  同我哋講到呢
[00:00:44.000 --> 00:00:46.000]  第二十一章就係第三次
[00:00:46.000 --> 00:00:48.000]  嗰個嘅宣教旅程呢
[00:00:48.000 --> 00:00:49.000]  係結束
[00:00:49.000 --> 00:00:50.000]  最尾嘅時候呢
[00:00:50.000 --> 00:00:51.000]  寶萊去邊度呢
[00:00:51.000 --> 00:00:53.000]  佢寶萊就係返到去
[00:00:53.000 --> 00:00:55.000]  耶路撒冷
[00:00:55.000 --> 00:00:56.000]  咁呢
[00:00:56.000 --> 00:00:58.000]  喺第二十二章發覺一件事
[00:00:58.000 --> 00:01:00.000]  就返去耶路撒冷嘅時候發生咩事呢
[00:01:00.000 --> 00:01:01.000]  就原來呢
[00:01:01.000 --> 00:01:02.000]  喺當中裏面呢
[00:01:02.000 --> 00:01:03.000]  就係啲人呢
[00:01:03.000 --> 00:01:05.000]  啲百姓恩著呢
[00:01:05.000 --> 00:01:07.000]  寶萊呢就去咗外邦
[00:01:07.000 --> 00:01:09.000]  做呢個報道福音嘅時候呢
[00:01:09.000 --> 00:01:11.000]  就引嚟呢
[00:01:11.000 --> 00:01:13.000]  佢哋呢一個嘅
[00:01:13.000 --> 00:01:15.000]  一個嘅
[00:01:15.000 --> 00:01:17.000]  反應就覺得
[00:01:17.000 --> 00:01:18.000]  寶萊好似呢
[00:01:18.000 --> 00:01:20.000]  去到周圍呢去踐踏緊
[00:01:20.000 --> 00:01:22.000]  猶太人呢啲嘅律法
[00:01:22.000 --> 00:01:24.000]  咁呢當佢
[00:01:24.000 --> 00:01:26.000]  喺聖殿裏面嘅時候呢
[00:01:26.000 --> 00:01:28.000]  佢哋就捉咗寶萊出嚟
[00:01:28.000 --> 00:01:30.000]  就想呢甚至要殺佢
[00:01:30.000 --> 00:01:32.000]  就因為咁樣樣
[00:01:32.000 --> 00:01:34.000]  就驚動咗
[00:01:34.000 --> 00:01:36.000]  我哋而家就話呢警察
