
[00:00:00.000 --> 00:00:03.140]  其實要安靜去休息
[00:00:03.140 --> 00:00:05.860]  不是太在乎在哪一個地方
[00:00:05.860 --> 00:00:08.180]  當然環境都會幫助到
[00:00:08.180 --> 00:00:10.180]  但是更加重要的是
[00:00:10.180 --> 00:00:15.940]  心裏面怎樣才能真正安靜休息下來呢
[00:00:15.940 --> 00:00:20.300]  我們每一天都活在很多不同的忙碌裏面
[00:00:20.300 --> 00:00:24.540]  要真的停下來真的很不容易
[00:00:24.540 --> 00:00:28.380]  要我們的心真的有真正的安靜或者休息
[00:00:28.380 --> 00:00:30.140]  就更加難
[00:00:30.140 --> 00:00:34.500]  因為我們的心好像總是有很多不同的事要記掛著
[00:00:34.500 --> 00:00:38.660]  有東西令我們擔心、憂慮、壓力
[00:00:38.660 --> 00:00:40.020]  總之就是停不下來
[00:00:40.020 --> 00:00:43.020]  好像我們自己都控制不了在裏面
[00:00:43.020 --> 00:00:45.860]  就算這一刻你來到教會裏面
[00:00:45.860 --> 00:00:47.980]  可能都是人在心不在
[00:00:47.980 --> 00:00:53.660]  因為你的心裏面可能都被不同的東西纏繞著
[00:00:53.660 --> 00:00:56.060]  面對著這一切
[00:00:56.060 --> 00:01:01.780]  其實怎樣才能夠有一個真正平靜安穩的心呢
[00:01:01.780 --> 00:01:05.540]  這個是我們每天都會思考的問題
[00:01:05.540 --> 00:01:10.420]  怎樣才能夠有一個平靜安穩的心呢
[00:01:10.420 --> 00:01:13.740]  剛才讀的詩篇131篇
[00:01:13.740 --> 00:01:17.500]  告訴我們平靜安穩的心
[00:01:17.500 --> 00:01:22.340]  簡單來說是來自仰望神
[00:01:22.340 --> 00:01:25.340]  這個詞我們經常都聽到
[00:01:25.340 --> 00:01:27.540]  其實好像很抽象 仰望神
[00:01:27.540 --> 00:01:32.140]  怎樣才真正是為之仰望神呢
[00:01:32.140 --> 00:01:35.140]  我們今天會看到兩方面
[00:01:35.140 --> 00:01:39.460]  詩篇131篇告訴我們第一方面
[00:01:39.460 --> 00:01:42.300]  仰望神即是在神面前
[00:01:42.300 --> 00:01:45.500]  在神面前謙卑下來
[00:01:45.500 --> 00:01:47.180]  詩人這樣向神祈禱
[00:01:47.180 --> 00:01:50.700]  「耶和華 我的心不狂妄」
[00:01:50.700 --> 00:01:52.340]  「我的眼不高傲」
[00:01:52.340 --> 00:01:56.700]  「重大禍插不透的事 我也不敢合」
[00:01:56.700 --> 00:02:00.220]  我們看到詩人的謙卑是三方面
[00:02:00.220 --> 00:02:04.620]  心 眼和行動
[00:02:04.620 --> 00:02:08.780]  我想大家首先去想一想相反的圖畫會是怎樣
[00:02:08.780 --> 00:02:11.540]  謙卑的相反是驕傲
[00:02:11.540 --> 00:02:14.100]  這裡說狂妄的心
[00:02:14.100 --> 00:02:19.340]  原文其實是說一個高的心
[00:02:19.340 --> 00:02:24.500]  即是怎樣呢 即是可能我們會覺得自己是比別人高的
[00:02:24.500 --> 00:02:27.780]  認為自己是最重要的那個
[00:02:27.780 --> 00:02:29.820]  我們覺得我們的想法
[00:02:29.820 --> 00:02:31.740]  我們的方法是對的
[00:02:31.740 --> 00:02:34.140]  別人那些是錯的
[00:02:34.140 --> 00:02:36.980]  我們那些是對的
[00:02:36.980 --> 00:02:41.300]  甚至可能是心裏面很想去高舉自己
[00:02:41.300 --> 00:02:45.700]  很想去得到其他人的讚美
[00:02:45.700 --> 00:02:50.620]  基本上就是說我們自己就是所有東西的中心點
[00:02:50.620 --> 00:02:55.900]  是自我中心 好像整個地球是圍著自己轉一樣
[00:02:55.900 --> 00:02:58.940]  我們很清楚一切是從心發出
[00:02:58.940 --> 00:03:00.620]  我們心所渴望的
[00:03:00.620 --> 00:03:04.900]  我們的眼就自然而然去找那樣東西
[00:03:04.900 --> 00:03:07.700]  下一幅吧 麻煩
[00:03:07.700 --> 00:03:13.020]  我很喜歡吃這牌子的雪糕
[00:03:13.020 --> 00:03:15.300]  不知道大家還喜歡吃這牌子的雪糕
[00:03:15.300 --> 00:03:19.700]  每一次當我心裏很想吃的時候
[00:03:19.700 --> 00:03:23.060]  我去到Kohl's Woollies超級市場的時候
[00:03:23.060 --> 00:03:26.460]  我就馬上走去那個雪糕的雪櫃面前
[00:03:26.460 --> 00:03:29.500]  我的眼睛就會去找這隻雪糕
[00:03:29.500 --> 00:03:31.300]  我就去看它有沒有特價
[00:03:31.300 --> 00:03:32.820]  因為這個雪糕比較貴
[00:03:32.820 --> 00:03:35.740]  如果平時不特價我通常都不會買
