
[00:00:00.000 --> 00:00:02.400]  在這裏請大家讀一段經文
[00:00:02.400 --> 00:00:06.000]  在約翰福音第三章十六節到十八節
[00:00:06.000 --> 00:00:09.000]  約翰福音第三章十六節到十八節
[00:00:09.000 --> 00:00:15.000]  約翰福音第三章十六節
[00:00:15.000 --> 00:00:18.000]  在英文版有一個"因爲"
[00:00:18.000 --> 00:00:20.000]  我們和合本沒有翻出來
[00:00:20.000 --> 00:00:23.000]  所以我們可以把它加進去
[00:00:23.000 --> 00:00:25.000]  "因爲"我們一起來唸
[00:00:25.000 --> 00:00:31.000]  因爲神愛世人甚至將他的獨生子賜給他們
[00:00:31.000 --> 00:00:35.000]  叫一切信他的不致滅亡反得永生
[00:00:35.000 --> 00:00:38.000]  因爲神差他的兒子降世
[00:00:38.000 --> 00:00:41.000]  不是要定世人的罪
[00:00:41.000 --> 00:00:44.000]  乃是要叫世人因他得救
[00:00:44.000 --> 00:00:46.000]  信他的人不被定罪
[00:00:46.000 --> 00:00:49.000]  不信的人罪已經定了
[00:00:49.000 --> 00:00:52.000]  因爲他不信神獨生子的名
[00:00:52.000 --> 00:00:54.000]  我們就唸到這裏
[00:00:54.000 --> 00:00:57.000]  一開始的時候他說"因爲"是跟前面有關係的
[00:00:57.000 --> 00:01:02.000]  前面約翰就說摩西在曠野怎樣舉蛇
[00:01:02.000 --> 00:01:05.000]  人子也必照樣被舉起來
[00:01:05.000 --> 00:01:08.000]  叫一切信他的都得永生
[00:01:08.000 --> 00:01:12.000]  在這裏我想我們今天聽了師班所唱的
[00:01:12.000 --> 00:01:15.000]  我們記得這一段經文
[00:01:15.000 --> 00:01:19.000]  約翰福音三章十六節是一節經文
[00:01:19.000 --> 00:01:22.000]  從來沒有被改過的
[00:01:22.000 --> 00:01:25.000]  歷史歷代有很多人想要
[00:01:25.000 --> 00:01:28.000]  加一些這些加一些那些東西
[00:01:28.000 --> 00:01:31.000]  但是這一節經文兩千年到現在
[00:01:31.000 --> 00:01:34.000]  一直就是這個樣子
[00:01:34.000 --> 00:01:36.000]  所以在這裏我們看見
[00:01:36.000 --> 00:01:38.000]  第一個是神是愛
[00:01:38.000 --> 00:01:40.000]  剛纔我們聽了師班唱的愛
[00:01:40.000 --> 00:01:42.000]  神就是愛
