
[00:00:00.000 --> 00:00:04.000]  今天這個是可能不單單是
[00:00:04.000 --> 00:00:06.000]  第一次這個經文這麼長
[00:00:06.000 --> 00:00:09.000]  可能也是這十三年來
[00:00:09.000 --> 00:00:11.000]  當然除了詩篇的
[00:00:11.000 --> 00:00:15.000]  大概講舊約可以說少數當中
[00:00:15.000 --> 00:00:18.000]  應該可能只有這個舊約
[00:00:18.000 --> 00:00:22.000]  就其他的先知書大概就這麼一次
[00:00:22.000 --> 00:00:24.000]  那我講這個東西是因為
[00:00:24.000 --> 00:00:26.000]  今天的主題要講到
[00:00:26.000 --> 00:00:29.000]  再一次講到末世
[00:00:29.000 --> 00:00:30.000]  記得我曾經講過
[00:00:30.000 --> 00:00:33.000]  每一次這個主日盛餐的時候呢
[00:00:33.000 --> 00:00:37.000]  我都會要講主再來的信息 是嗎
[00:00:37.000 --> 00:00:39.000]  為什麼這個信息這麼重要
[00:00:39.000 --> 00:00:43.000]  聖經裡面根據一個聖經學者
[00:00:43.000 --> 00:00:46.000]  這個叫做Barton Pennant
[00:00:46.000 --> 00:00:48.000]  他在他的聖經預言大全
[00:00:48.000 --> 00:00:51.000]  這本書當中所統計
[00:00:51.000 --> 00:00:58.000]  聖經當中有三萬一千一百二十四節
[00:00:58.000 --> 00:01:02.000]  其中有八千三百五十二節是講預言
[00:01:02.000 --> 00:01:05.000]  換句話說 聖經當中講預言
[00:01:05.000 --> 00:01:11.000]  大概佔了百分之二十七的比例
[00:01:11.000 --> 00:01:13.000]  其中這百分之二十七
[00:01:13.000 --> 00:01:16.000]  又有三分之一的預言
[00:01:16.000 --> 00:01:20.000]  都是在講到耶穌基督的第二次降臨
[00:01:20.000 --> 00:01:23.000]  也就是主耶穌再來
[00:01:23.000 --> 00:01:25.000]  所以我們可以了解到
[00:01:25.000 --> 00:01:27.000]  主耶穌再來主的日子
[00:01:27.000 --> 00:01:30.000]  這個是聖經當中非常重要的一件事情
[00:01:30.000 --> 00:01:39.000]  跟你旁邊說今天的信息很重要
[00:01:39.000 --> 00:01:41.000]  就約有四十六位先知
[00:01:41.000 --> 00:01:45.000]  其中不到十位預言了主的第一次降臨
[00:01:45.000 --> 00:01:48.000]  也就是主耶穌降生這件事情
[00:01:48.000 --> 00:01:52.000]  但是有三十六位的就約的先知
[00:01:52.000 --> 00:01:56.000]  他們預言了主耶穌第二次的降臨
[00:01:56.000 --> 00:02:01.000]  總共有超過一千五百段的就約經文
[00:02:01.000 --> 00:02:04.000]  有用某種的方式講到主耶穌基督
[00:02:04.000 --> 00:02:06.000]  第二次降臨就是主耶穌的再來
[00:02:06.000 --> 00:02:11.000]  新約每二十五節的經文就有一節
[00:02:11.000 --> 00:02:15.000]  是講到耶穌基督的第二次再來
[00:02:15.000 --> 00:02:20.000]  重不重要 重不重要 重不重要
[00:02:20.000 --> 00:02:24.000]  可是我感覺你們聽這個重要這兩個字的時候
[00:02:24.000 --> 00:02:27.000]  好像不覺得 好像
[00:02:27.000 --> 00:02:32.000]  好 重不重要 重要
[00:02:32.000 --> 00:02:34.000]  親愛的六子妹
[00:02:34.000 --> 00:02:37.000]  你聽主耶穌再來的信息已經不是第一次了
[00:02:37.000 --> 00:02:42.000]  至少在我們教會這個信息我常常講對不對
[00:02:42.000 --> 00:02:44.000]  但是這個信息因為太重要了
[00:02:44.000 --> 00:02:48.000]  所以要一直講 常常的講
[00:02:48.000 --> 00:02:52.000]  約爾書是在整個舊約裡面
[00:02:52.000 --> 00:02:58.000]  可以說講耶和華的日子最多的
[00:02:58.000 --> 00:03:00.000]  我們今天是要講第二章
[00:03:00.000 --> 00:03:08.000]  但是第一章裡面就講到這個耶和華的日子
[00:03:08.000 --> 00:03:14.000]  整個約爾書的主題可以說就是這一個字
[00:03:14.000 --> 00:03:17.000]  就這句話 耶和華的日子
[00:03:17.000 --> 00:03:22.000]  那什麼是耶和華的日子呢
[00:03:22.000 --> 00:03:26.000]  舊約講耶和華就是神的名字對不對
[00:03:26.000 --> 00:03:30.000]  那麼新約講是講什麼呢
[00:03:30.000 --> 00:03:35.000]  新約講什麼 新約講主對不對
[00:03:35.000 --> 00:03:38.000]  所以呢 舊約講耶和華的日子
[00:03:38.000 --> 00:03:43.000]  就是新約講的什麼 主的日子
[00:03:43.000 --> 00:03:46.000]  主的日子是什麼 就是主要再來
[00:03:46.000 --> 00:03:48.000]  我上次也講到
[00:03:48.000 --> 00:03:50.000]  我說主耶穌再來 世界末日
[00:03:50.000 --> 00:03:53.000]  這兩個是同時的事情對不對
[00:03:53.000 --> 00:03:56.000]  那麼請問當你聽到末日的時候
[00:03:56.000 --> 00:03:59.000]  你的感覺是什麼
[00:03:59.000 --> 00:04:02.000]  喜不喜歡聽末日
[00:04:02.000 --> 00:04:06.000]  你喜不喜歡聽說今天是你最後一天了
[00:04:06.000 --> 00:04:09.000]  老闆跟你說今天是最後一天了
[00:04:09.000 --> 00:04:12.000]  那是什麼意思 你被fire的 是不是
[00:04:12.000 --> 00:04:15.000]  那麼醫生跟你說你今天最後一天了
[00:04:15.000 --> 00:04:21.000]  什麼意思 你喜不喜歡聽到末日
[00:04:21.000 --> 00:04:26.000]  喜歡啊 感謝讚美主
[00:04:26.000 --> 00:04:31.000]  我不知道你為什麼會喜歡末日
[00:04:31.000 --> 00:04:36.000]  對我們這些對不信的人來講
[00:04:36.000 --> 00:04:39.000]  聽到末日這是很可怕的一件事情
[00:04:39.000 --> 00:04:43.000]  確實 舊約裡面講到耶和華的日子
[00:04:43.000 --> 00:04:45.000]  它主要講的就是什麼
[00:04:45.000 --> 00:04:48.000]  講到神的審判
[00:04:48.000 --> 00:04:52.000]  換句話說 神審判的日子
[00:04:52.000 --> 00:04:55.000]  就是耶和華的日子
[00:04:55.000 --> 00:04:57.000]  但是對我們信徒來講
[00:04:57.000 --> 00:04:59.000]  對我們信祂的人來講
[00:04:59.000 --> 00:05:01.000]  耶和華的日子是什麼
