
[00:00:00.000 --> 00:00:02.640]  撒姆二傳的第六講
[00:00:02.640 --> 00:00:05.140]  撒姆以上的第八章
[00:00:05.140 --> 00:00:07.340]  今天的題目我給他叫做
[00:00:07.340 --> 00:00:11.100]  「神的時間性和人的等候」
[00:00:11.100 --> 00:00:13.640]  你說為什麼有這樣的題目
[00:00:13.640 --> 00:00:15.940]  因為會講到以色列人
[00:00:15.940 --> 00:00:20.200]  希望能夠立一位王來統治他們
[00:00:20.200 --> 00:00:22.440]  他們甚至急不及待
[00:00:22.440 --> 00:00:26.140]  要有這位王來帶領他們
[00:00:26.140 --> 00:00:30.140]  說到他們希望有一位王 有一位領袖
[00:00:30.140 --> 00:00:34.340]  我們不妨看看以色列人的背景
[00:00:34.340 --> 00:00:39.640]  最初神是要摩西帶領以色列人出埃及
[00:00:39.640 --> 00:00:41.440]  摩西死的時候
[00:00:41.440 --> 00:00:47.140]  神是揀選約書亞來繼承摩西的事業
[00:00:47.140 --> 00:00:49.140]  但是約書亞死的時候
[00:00:49.140 --> 00:00:53.340]  神是沒有揀選任何一個接班人
[00:00:53.340 --> 00:00:58.140]  而是訓練出一班長老來帶領以色列人
[00:00:58.140 --> 00:01:00.140]  這個是很特別
[00:01:00.140 --> 00:01:03.140]  當這班長老還在世的時候
[00:01:03.140 --> 00:01:05.140]  以色列人是很聽話
[00:01:05.140 --> 00:01:08.140]  但是到這班長老離開了這個世界
[00:01:08.140 --> 00:01:10.340]  有新的一代以色列人
[00:01:10.340 --> 00:01:12.440]  他們就好像忘記了神一樣
[00:01:12.440 --> 00:01:13.940]  他們背叛神
[00:01:13.940 --> 00:01:16.840]  他們是追求偶像
[00:01:16.840 --> 00:01:21.340]  我最近先和大家講了《士思記》
[00:01:21.340 --> 00:01:23.340]  在《士思記》的時候
[00:01:23.340 --> 00:01:27.340]  以色列人是循環地犯罪
[00:01:27.340 --> 00:01:31.840]  每一次他們犯罪神興起他們的敵人來攻打他們
[00:01:31.840 --> 00:01:33.840]  當他們向神呼求
[00:01:33.840 --> 00:01:37.840]  神就派士師來打救他們
[00:01:37.840 --> 00:01:41.840]  但是沒有一個士師是全國性的
[00:01:41.840 --> 00:01:45.840]  這些士師都是局部地區性
[00:01:45.840 --> 00:01:50.140]  所以沒有一個真正的領袖來帶領全部的以色列人
[00:01:50.140 --> 00:01:54.840]  所以出現了在《士思記》一句很出名的名言
[00:01:54.840 --> 00:02:00.840]  就是「那時以色列中沒有王 各人吟義而行」
[00:02:00.840 --> 00:02:03.340]  那你說去到撒姆爾記呢
[00:02:03.340 --> 00:02:05.840]  去到撒姆爾的時代
[00:02:05.840 --> 00:02:08.340]  是由祭司來帶領
[00:02:08.340 --> 00:02:13.140]  其實這個在《士思記》的尾部已經出現
[00:02:13.140 --> 00:02:16.340]  記不記得《士思記》最後的幾章經文
[00:02:16.340 --> 00:02:20.340]  是看到有利美人 祭司出現
[00:02:20.340 --> 00:02:22.340]  來帶領以色列人
[00:02:22.340 --> 00:02:24.840]  無論是家庭 無論是國家
[00:02:24.840 --> 00:02:28.340]  慢慢慢慢就變成了一個家族
[00:02:28.340 --> 00:02:32.340]  來相傳的領袖系統
[00:02:32.340 --> 00:02:35.340]  首先我們看到的是以利的家族
[00:02:35.340 --> 00:02:40.340]  以利的家族不能夠帶領以色列人來敬拜神
[00:02:40.340 --> 00:02:42.840]  他們是很敗壞
[00:02:42.840 --> 00:02:47.340]  他們不能夠帶領以色列人來遵守神的律例典章
[00:02:47.340 --> 00:02:52.340]  所以神興起了撒姆爾來代替以利
[00:02:52.340 --> 00:02:57.340]  其實在撒姆爾上的第七章和第八章之間
[00:02:57.340 --> 00:03:01.840]  可能已經是經過了二十年甚至是二十五年
[00:03:01.840 --> 00:03:06.340]  現在撒姆爾已經成為一個老人
[00:03:06.340 --> 00:03:11.840]  以色列出現了新的一班人 新的一代
[00:03:11.840 --> 00:03:13.840]  他們都有新的想法
[00:03:13.840 --> 00:03:16.840]  他們都有新的希望
[00:03:16.840 --> 00:03:23.340]  他們希望神能夠幫他們立一個王來帶領他們
[00:03:23.340 --> 00:03:29.840]  撒姆爾晚年的時候是要做一些很艱難的工作
[00:03:29.840 --> 00:03:31.840]  是要做一些很艱難的決定
[00:03:31.840 --> 00:03:35.340]  是要面臨很大的挑戰
[00:03:35.340 --> 00:03:36.840]  最令人傷心的
[00:03:36.840 --> 00:03:40.840]  就是撒姆爾一生為以色列人服務
[00:03:40.840 --> 00:03:45.840]  但是最後他被以色列人拒絕了
[00:03:45.840 --> 00:03:48.840]  這個和現今世代都很相似
[00:03:48.840 --> 00:03:50.840]  這個世界在改變
[00:03:50.840 --> 00:03:55.840]  這個世界的環境不斷在改變
[00:03:55.840 --> 00:03:58.840]  我們都很需要從神而來的智慧
[00:03:58.840 --> 00:04:01.840]  來面對很多新的挑戰
[00:04:01.840 --> 00:04:05.340]  現在很多人都說 聖經已經落後了
[00:04:05.340 --> 00:04:07.340]  聖經已經過時了
[00:04:07.340 --> 00:04:11.840]  需要一些新的宗教 好像新世紀那些
[00:04:11.840 --> 00:04:13.840]  不同的新宗教
[00:04:13.840 --> 00:04:18.840]  但是我們手上的聖經已經是幾千年都沒有改變
[00:04:18.840 --> 00:04:20.840]  改變的是我們
[00:04:20.840 --> 00:04:23.840]  我們不應該放棄我們的信仰
[00:04:23.840 --> 00:04:27.840]  舊的信仰來追隨一些新的宗教
[00:04:27.840 --> 00:04:30.840]  我們應該持守聖經的教導
[00:04:30.840 --> 00:04:33.840]  持守我們的信仰
[00:04:33.840 --> 00:04:36.340]  以色列人去找撒姆爾
[00:04:36.340 --> 00:04:39.340]  他們提出要王來帶領他們
[00:04:39.340 --> 00:04:41.340]  是有兩個原因
[00:04:41.340 --> 00:04:45.340]  第一個原因也是令撒姆爾很傷心的
[00:04:45.340 --> 00:04:49.340]  就是撒姆爾已經年紀老了
[00:04:49.340 --> 00:04:53.340]  你老了 你不可以來帶領我們
[00:04:53.340 --> 00:04:55.340]  在《屬撒姆爾》上的第七章
[00:04:55.340 --> 00:04:58.340]  其實我們看到撒姆爾是一個屬靈的領袖
[00:04:58.340 --> 00:05:03.340]  他帶領以色列人戰勝他們的敵人
[00:05:03.340 --> 00:05:06.340]  現在居然以色列人說他老了
[00:05:06.340 --> 00:05:08.340]  沒用
[00:05:08.340 --> 00:05:11.340]  但是雖然撒姆爾老了
[00:05:11.340 --> 00:05:14.340]  遲些我們會看到在撒姆爾上的十三章
[00:05:14.340 --> 00:05:19.340]  他仍然有勇氣來面對蘇羅
[00:05:19.340 --> 00:05:22.340]  蘇羅擅自獻祭給神
[00:05:22.340 --> 00:05:24.340]  撒姆爾來斥責他
[00:05:24.340 --> 00:05:25.340]  你不應該這樣
[00:05:25.340 --> 00:05:27.340]  你應該等待我來獻祭
[00:05:27.340 --> 00:05:29.340]  等待撒姆爾
[00:05:29.340 --> 00:05:33.340]  在《屬撒姆爾》上的十五章又有同樣的事發生
[00:05:33.340 --> 00:05:36.340]  撒姆爾再一次斥責蘇羅
[00:05:36.340 --> 00:05:39.340]  因為他沒有聽到神的命令
[00:05:39.340 --> 00:05:45.340]  神叫他要滅絕他們的阿瑪利人
[00:05:45.340 --> 00:05:48.340]  要把他們的生畜也殺了
[00:05:48.340 --> 00:05:50.340]  但是蘇羅沒有聽到
[00:05:50.340 --> 00:05:53.340]  把上好的生畜留給自己
[00:05:53.340 --> 00:05:57.340]  也沒有殺到阿瑪利王阿甲
[00:05:57.340 --> 00:05:59.340]  撒姆爾又怎樣
[00:05:59.340 --> 00:06:01.340]  雖然他年紀已經很老
[00:06:01.340 --> 00:06:02.340]  他仍然在神的面前
[00:06:02.340 --> 00:06:06.340]  把阿瑪利王阿甲殺死
[00:06:06.340 --> 00:06:09.340]  所以可見得雖然他年紀大
[00:06:09.340 --> 00:06:12.340]  但他仍然都是老當益壯
[00:06:12.340 --> 00:06:14.340]  非常有勇氣
[00:06:14.340 --> 00:06:18.340]  面對這位高高在上的蘇羅王
[00:06:18.340 --> 00:06:21.340]  現在以色列人說他年紀老了
[00:06:21.340 --> 00:06:24.340]  其實是一個藉口
[00:06:24.340 --> 00:06:27.340]  他們希望有一位王
[00:06:27.340 --> 00:06:31.340]  另外還有一個原因他們要有一位王
[00:06:31.340 --> 00:06:33.340]  第二個原因就是他們說
[00:06:33.340 --> 00:06:36.340]  撒姆爾後繼無人
[00:06:36.340 --> 00:06:38.340]  我剛才說過
[00:06:38.340 --> 00:06:39.340]  在《士司記》之後
[00:06:39.340 --> 00:06:41.340]  在撒姆爾的時代
[00:06:41.340 --> 00:06:45.340]  祭司是家族相傳的
[00:06:45.340 --> 00:06:49.340]  既然撒姆爾的兒子都不爭氣
