
[00:00:00.000 --> 00:00:02.500]  好,我們低頭再禱告
[00:00:02.500 --> 00:00:04.500]  主耶穌,我們求你幫助我們
[00:00:04.500 --> 00:00:09.000]  知道這個世界有很多乖張的言論
[00:00:09.000 --> 00:00:11.500]  很多很奇怪的行為
[00:00:11.500 --> 00:00:14.000]  幫助我們面對這個有罪的世界
[00:00:14.000 --> 00:00:15.500]  我們不要害怕
[00:00:15.500 --> 00:00:19.000]  因為你的經文原本就告訴我們
[00:00:19.000 --> 00:00:20.500]  世界是這樣的
[00:00:20.500 --> 00:00:22.000]  讓我們相信
[00:00:22.000 --> 00:00:26.500]  你的福音的大能勝過一切乖張的道理
[00:00:26.500 --> 00:00:31.500]  讓我們真的能夠放膽忠心的作你福音的使者
[00:00:31.500 --> 00:00:34.500]  將你將今天一段聽到的時間交託
[00:00:34.500 --> 00:00:36.500]  禱告奉耶穌,記得嗎?
[00:00:36.500 --> 00:00:41.500]  好,那我們就回到十八節
[00:00:41.500 --> 00:00:45.500]  這十八節的主題就講到神的憤怒
[00:00:45.500 --> 00:00:49.500]  首先要解釋一下為什麼會講神的憤怒
[00:00:49.500 --> 00:00:51.500]  因為十六節那裡
[00:00:51.500 --> 00:00:57.500]  我們上次的結尾就講到一章十六節
[00:00:57.500 --> 00:01:03.500]  就說神的義已經在這福音上顯明出來
[00:01:03.500 --> 00:01:06.500]  這福音要叫一切相信的人
[00:01:06.500 --> 00:01:08.500]  先是猶太人後是希利利人
[00:01:08.500 --> 00:01:12.500]  講到羅馬書是因為保羅要介紹他自己
[00:01:12.500 --> 00:01:15.500]  所以是最完備的講福音的一本書
[00:01:15.500 --> 00:01:20.500]  所以就說羅馬書基本上就要解釋整個福音
[00:01:20.500 --> 00:01:23.500]  就算我們不知道福音是什麼
[00:01:23.500 --> 00:01:25.500]  只是聽名字的福音
[00:01:25.500 --> 00:01:28.500]  應該是好的東西,祝福的東西
[00:01:28.500 --> 00:01:31.500]  那為什麼從十六節講神的福音
[00:01:31.500 --> 00:01:36.500]  忽然間一跳就跳到講神的憤怒呢?
[00:01:36.500 --> 00:01:39.500]  憤怒我們聽上去好像是不好的東西
[00:01:39.500 --> 00:01:42.500]  有人生你的氣,你的老闆很生你的氣
[00:01:42.500 --> 00:01:45.500]  你不會覺得這個是福音
[00:01:45.500 --> 00:01:48.500]  那為什麼講完福音就要講憤怒呢?
[00:01:48.500 --> 00:01:51.500]  當然也和福音的本質有關
[00:01:51.500 --> 00:01:56.500]  其實神的憤怒和神的福音不是兩種相反的東西
[00:01:56.500 --> 00:01:58.500]  要接受神的福音
[00:01:58.500 --> 00:02:01.500]  首先要明白我們的光景
[00:02:01.500 --> 00:02:05.500]  然後才明白那個福是什麼福
[00:02:05.500 --> 00:02:10.500]  就好像對於我的女兒來講
[00:02:10.500 --> 00:02:13.500]  三女我叫她去補習班
[00:02:13.500 --> 00:02:16.500]  她的中文不太好,通識不太好
[00:02:16.500 --> 00:02:17.500]  叫她去補習班
[00:02:17.500 --> 00:02:21.500]  她不會覺得去補習班是一個福音
[00:02:21.500 --> 00:02:23.500]  她覺得這個是禍音
[00:02:23.500 --> 00:02:26.500]  爸爸媽媽又逼她去補習班
[00:02:26.500 --> 00:02:29.500]  當然我也很嘗試跟她解釋
[00:02:29.500 --> 00:02:31.500]  你這些東西讀得不好
[00:02:31.500 --> 00:02:33.500]  如果你不是讀到肥佬的話
[00:02:33.500 --> 00:02:35.500]  就不用去補習班了
[00:02:35.500 --> 00:02:37.500]  如果你拿A就補什麼
[00:02:37.500 --> 00:02:39.500]  不如你玩玩吧
[00:02:39.500 --> 00:02:41.500]  如果你讀得好沒問題
[00:02:41.500 --> 00:02:43.500]  但是你讀得不好的話
[00:02:43.500 --> 00:02:46.500]  將來的路難走很多
[00:02:46.500 --> 00:02:50.500]  當然這個世界怎樣都神祝福
[00:02:50.500 --> 00:02:52.500]  怎樣你會考零分
[00:02:52.500 --> 00:02:54.500]  你都有路可以走的
[00:02:54.500 --> 00:02:55.500]  神的看顧
[00:02:55.500 --> 00:02:58.500]  只不過有些路就難走一些
