
[00:00:00.000 --> 00:00:06.320]  我想現在我們大家最近開始注意力都放在哪裡呢
[00:00:06.320 --> 00:00:08.780]  放在有一個新的病毒,這個病毒叫什麼
[00:00:08.780 --> 00:00:11.780]  唸一下
[00:00:11.780 --> 00:00:18.780]  Obegum
[00:00:18.780 --> 00:00:21.720]  很多人學那個Delta就已經學了半天了
[00:00:21.720 --> 00:00:27.360]  現在又來學一個叫做Omicron
[00:00:27.360 --> 00:00:30.840]  對不對
[00:00:30.840 --> 00:00:35.480]  可能也搞不清楚,反正就是Omicron就對了
[00:00:35.480 --> 00:00:40.440]  現在全世界大概已經超過20個國家都有這個病毒了
[00:00:40.440 --> 00:00:44.560]  所以呢我們就在這兩年當中這個疫情
[00:00:44.560 --> 00:00:53.560]  讓我們的全副的精神繃得緊緊的
[00:00:53.560 --> 00:00:58.560]  我們的焦點都放在哪裡呢
[00:00:58.560 --> 00:01:01.560]  放在這個病毒什麼時候消滅
[00:01:01.560 --> 00:01:04.560]  從這個消滅看起來不太容易消滅了
[00:01:04.560 --> 00:01:06.560]  現在盼望是打疫苗
[00:01:06.560 --> 00:01:09.560]  打了疫苗之後,從此之後就高枕無憂
[00:01:09.560 --> 00:01:11.560]  結果我們美國越來越多人打疫苗
[00:01:11.560 --> 00:01:15.560]  但是人家非洲很多國家可能是5%的打疫苗都沒有
[00:01:15.560 --> 00:01:17.560]  所以這個病毒就是到處猖狂
[00:01:17.560 --> 00:01:21.560]  直到今天非洲又出來一個病毒叫做Omicron
[00:01:21.560 --> 00:01:27.560]  所以大家的焦點都在這個新的病毒
[00:01:27.560 --> 00:01:29.560]  但是親愛的同志們
[00:01:29.560 --> 00:01:32.560]  我盼望今天我們的訊息再次讓我們看見
[00:01:32.560 --> 00:01:35.560]  我們的焦點應該放在哪裡
[00:01:35.560 --> 00:01:38.560]  我們的焦點應該放在哪裡
[00:01:38.560 --> 00:01:39.560]  來,問一下你旁邊
[00:01:39.560 --> 00:01:40.560]  你的焦點應該放在
[00:01:40.560 --> 00:01:42.560]  你人生的焦點應該放在哪裡
[00:01:42.560 --> 00:01:45.560]  我們每一天在這所想的焦點應該放在哪裡
[00:01:45.560 --> 00:01:47.560]  來,請你問一下你旁邊好不好
[00:01:47.560 --> 00:01:52.560]  你的焦點在哪裡
[00:01:52.560 --> 00:01:55.560]  可能你的焦點可能就是在關心自己的事情
[00:01:55.560 --> 00:01:57.560]  自己的這個工作如何
[00:01:57.560 --> 00:01:58.560]  自己的家庭如何
[00:01:58.560 --> 00:01:59.560]  自己的小孩如何
[00:01:59.560 --> 00:02:01.560]  或者是自己的太太
[00:02:01.560 --> 00:02:02.560]  自己的先生如何
[00:02:02.560 --> 00:02:04.560]  大概我們關心的範圍在這裡
[00:02:04.560 --> 00:02:06.560]  親愛的同志們,我不是說我們不應該關心這些
[00:02:06.560 --> 00:02:07.560]  但是親愛的同志們
[00:02:07.560 --> 00:02:09.560]  我們今天要回一個根本的問題
[00:02:09.560 --> 00:02:14.560]  就是說到底我們人生的焦點是在哪裡
[00:02:14.560 --> 00:02:16.560]  啟示錄幫助我們看見一件事情
[00:02:16.560 --> 00:02:19.560]  這次的應期也應該幫助我們看見一件事情
[00:02:19.560 --> 00:02:22.560]  我們人生的焦點是在哪裡
[00:02:22.560 --> 00:02:24.560]  在耶穌基督的身上
[00:02:24.560 --> 00:02:26.560]  基督耶穌要再來
[00:02:26.560 --> 00:02:28.560]  基督再來他要坐王掌權
[00:02:28.560 --> 00:02:30.560]  這就是今天我們讀的這個啟示錄二十章
[00:02:30.560 --> 00:02:36.560]  第一節到第六節的主要的信息
[00:02:36.560 --> 00:02:38.560]  啟示錄二十章第一節到第六節
[00:02:38.560 --> 00:02:41.560]  講到了其實有兩個重點
[00:02:41.560 --> 00:02:43.560]  第一個重點是第一節到第三節
[00:02:43.560 --> 00:02:46.560]  講到什麼呢
[00:02:46.560 --> 00:02:50.560]  講到撒旦被捆綁
[00:02:50.560 --> 00:02:53.560]  第二個重點是第四節到第六節
[00:02:53.560 --> 00:02:55.560]  講到什麼呢
[00:02:55.560 --> 00:02:57.560]  講到基督坐王
[00:02:57.560 --> 00:02:59.560]  哈雷瑞亞
[00:02:59.560 --> 00:03:01.560]  丟子妃,你說牧師啊
