
[00:00:00.000 --> 00:00:04.000]  大家今早都知道今早是甚麼日子來的
[00:00:04.000 --> 00:00:07.000]  沒有人記得
[00:00:07.000 --> 00:00:14.000]  前晚我們紀念耶穌受難的日子
[00:00:14.000 --> 00:00:19.000]  今天就是應該紀念祂復活的時候
[00:00:19.000 --> 00:00:21.000]  所以我見到大家願意回來
[00:00:21.000 --> 00:00:24.000]  回來一起是很開心的
[00:00:24.000 --> 00:00:28.000]  但這兩個節日
[00:00:29.000 --> 00:00:32.000]  對猶太人來說都不是祂們的節日
[00:00:32.000 --> 00:00:36.000]  是基督徒會過的一個特別紀念節日
[00:00:36.000 --> 00:00:44.000]  因為猶太人在這個時候是守祂們的余節
[00:00:44.000 --> 00:00:53.000]  余節是給猶太人守的三大節日
[00:00:53.000 --> 00:00:59.000]  最重要的三個節日,不是其他循遊
[00:00:59.000 --> 00:01:01.000]  余節是第一個
[00:01:01.000 --> 00:01:08.000]  很可惜的是,他們雖然會去守余節
[00:01:08.000 --> 00:01:15.000]  但是他們不知道為甚麼到最後要守余節
[00:01:16.000 --> 00:01:24.000]  他們到現在基本上都不太接受耶穌基督
[00:01:24.000 --> 00:01:28.000]  來到這個世界上做甚麼
[00:01:28.000 --> 00:01:37.000]  他們守余節紀念,他們當日離開埃及
[00:01:37.000 --> 00:01:40.000]  神讓摩西帶領他們出來
[00:01:41.000 --> 00:01:47.000]  從埃及做奴隸的身份帶他們出來
[00:01:47.000 --> 00:01:52.000]  他們過了紅海,死不去
[00:01:52.000 --> 00:01:56.000]  被埃及人追他們
[00:01:56.000 --> 00:01:59.000]  但是他們很可悲
[00:01:59.000 --> 00:02:03.000]  結果在接下來40年
[00:02:03.000 --> 00:02:10.000]  他們沒有去到神英許他們要去的地方
[00:02:11.000 --> 00:02:20.000]  他們那一代,我不敢說那一代有多少歲
[00:02:20.000 --> 00:02:26.000]  因為有些人是20歲,有些人可能幾十歲
[00:02:26.000 --> 00:02:28.000]  當他們離開埃及的時候
[00:02:28.000 --> 00:02:34.000]  但是那一代幾乎死在曠野裏面
[00:02:34.000 --> 00:02:39.000]  如果你們不信的話,可以回去再看看
[00:02:40.000 --> 00:02:46.000]  摩西五經,我們剛剛看完摩西五經
[00:02:46.000 --> 00:02:48.000]  但是我想我們可以回去再看
[00:02:48.000 --> 00:02:57.000]  所以我想用一個題目,未知死,焉知生
[00:02:57.000 --> 00:03:01.000]  當我選這個題目的時候,有人問我是不是寫錯
[00:03:02.000 --> 00:03:12.000]  沒錯,因為這句原來是孔子一個學者
[00:03:12.000 --> 00:03:16.000]  我想有人問他關於生死的問題的時候
[00:03:16.000 --> 00:03:20.000]  他答了一句話就是,未知生焉知死
[00:03:20.000 --> 00:03:30.000]  但是有一個近代的神學家是德國人
[00:03:30.000 --> 00:03:33.000]  美國籍,德國神學家
[00:03:33.000 --> 00:03:37.000]  他說這句話可能我們應該調轉回來去想一想
[00:03:37.000 --> 00:03:42.000]  所以我們要先知道死焉知生
[00:03:42.000 --> 00:03:46.000]  我想我不知道大家知不知道死
[00:03:46.000 --> 00:03:51.000]  沒有人喜歡死,但是我們不提
[00:03:51.000 --> 00:03:59.000]  所以我們應該從另一個角度去考慮我們的生死
[00:04:00.000 --> 00:04:05.000]  我也很怕死,但是要想想為什麼我們怕死
[00:04:05.000 --> 00:04:07.000]  為什麼我們可以不怕
[00:04:07.000 --> 00:04:14.000]  或者我們要知道生和死,好像一個雙胞胎
[00:04:14.000 --> 00:04:21.000]  我們出生,我們知道有生我們就會有死
[00:04:21.000 --> 00:04:26.000]  但是另外一樣東西,我們要想到
[00:04:27.000 --> 00:04:31.000]  如果我們不死的話,我們不會有永生
[00:04:31.000 --> 00:04:37.000]  這件事我想我給大家將來回去可以再考慮
[00:04:37.000 --> 00:04:45.000]  因為今天我們要說的,特別是神為我們預備我們的生命是應該怎樣
[00:04:45.000 --> 00:04:56.000]  我記得在讀一些聖經課程的時候
[00:04:56.000 --> 00:05:02.000]  老師教導我們去做怎樣跟別人講福音
[00:05:02.000 --> 00:05:05.000]  特別是用到羅馬書
[00:05:05.000 --> 00:05:14.000]  我們很喜歡用羅馬書裡面講的一些經節
[00:05:14.000 --> 00:05:18.000]  羅馬書從第三章一直到第十章裡面
[00:05:18.000 --> 00:05:22.000]  有一連串的經節是給我們經常用
