
[00:00:00.000 --> 00:00:13.000]  曾經講到「米利巴」,又再一次「以色列人與神爭拗」,「米利巴」就是「爭拗」的意思。
[00:00:13.000 --> 00:00:17.000]  在這裡,上帝說祂顯為聖。
[00:00:17.000 --> 00:00:25.000]  今日,我們會從這段經文,講到摩西(Moses)他人生一個最大的遺憾。
[00:00:25.000 --> 00:00:28.000]  摩西最大的遺憾是什麼?
[00:00:28.000 --> 00:00:31.000]  就是入不到迦蘭地。
[00:00:31.000 --> 00:00:36.000]  你有沒有人生,有沒有一些遺憾呢?
[00:00:36.000 --> 00:00:42.000]  「臨班」又不是你的遺憾嗎?
[00:00:42.000 --> 00:00:46.000]  我就「臨過班」了。
[00:00:46.000 --> 00:00:52.000]  想不到你,你這麼聰明的體律,都幾聰明的人,竟然會「臨班」。
[00:00:52.000 --> 00:00:57.000]  聰明才「臨班」了才慘。
[00:00:57.000 --> 00:01:06.000]  我記得我讀會計系一年級的時候,我是一個很情緒化的年輕人。
[00:01:06.000 --> 00:01:11.000]  很情緒化,我讀書覺得自己讀得不太好。
[00:01:11.000 --> 00:01:15.000]  我那年就放棄考試,我要再讀一年。
[00:01:15.000 --> 00:01:17.000]  你有沒有試過這樣?
[00:01:17.000 --> 00:01:21.000]  我放棄,我讀得這麼差,好像打機一樣。
[00:01:21.000 --> 00:01:23.000]  這輩子不玩,再玩過。
[00:01:23.000 --> 00:01:34.000]  我是這樣的,我那時接受不到自己讀得不好,我要再「臨班」。
[00:01:34.000 --> 00:01:41.000]  但後來發覺原來這樣是很蠢的,我應該讀得不好才「升班」。
[00:01:41.000 --> 00:01:45.000]  但這是其中一個人生的遺憾。
[00:01:45.000 --> 00:01:50.000]  我父母的人生應該有兩個遺憾的。
[00:01:50.000 --> 00:01:58.000]  第一個就是,我十五歲的時候,我家人,我媽媽失業。
[00:01:58.000 --> 00:02:02.000]  後來我透過爸爸的朋友找到一份工作。
[00:02:02.000 --> 00:02:06.000]  因為這份工作我就右手受傷,失去了四隻手指。
[00:02:06.000 --> 00:02:09.000]  這個就是我父母的一個遺憾。
[00:02:09.000 --> 00:02:12.000]  說起來,我媽媽都哭了。
[00:02:12.000 --> 00:02:18.000]  第二個遺憾就是,他們控制不了,就是我有遺傳病。
[00:02:18.000 --> 00:02:24.000]  這樣我就會到現在傷目失明。
[00:02:24.000 --> 00:02:30.000]  這是其中我父母人生兩個很重要的遺憾。
[00:02:30.000 --> 00:02:36.000]  人生有沒有一些遺憾,你覺得很艱難,不知怎樣面對呢?
[00:02:36.000 --> 00:02:42.000]  今日我們都很想藉助摩西,摩西人生都有一個很大的遺憾,
[00:02:42.000 --> 00:02:44.000]  來給大家一些提醒。
[00:02:44.000 --> 00:02:50.000]  人生縱然有遺憾,可能覺得很難過,
[00:02:50.000 --> 00:02:56.000]  但是上帝的恩典,聖經說:「神的恩典救我們勇,神要扭轉。」
[00:02:56.000 --> 00:03:03.000]  聖經說到將來,我們再沒有死亡,再沒有疼痛,再沒有眼淚,
[00:03:03.000 --> 00:03:07.000]  亦都是再沒有遺憾。
[00:03:07.000 --> 00:03:10.000]  人生可以怎樣沒有遺憾呢?
[00:03:10.000 --> 00:03:16.000]  過去的歷史是改變不了,以前我做不好的事,做錯的事,
[00:03:16.000 --> 00:03:18.000]  怎樣可以扭轉呢?
[00:03:18.000 --> 00:03:20.000]  這是一個奧秘。
[00:03:20.000 --> 00:03:22.000]  但是神說得很清楚,
[00:03:22.000 --> 00:03:27.000]  我們將來,我們的生命在神裏面可以比雪更白,
[00:03:27.000 --> 00:03:30.000]  可以白如羊毛,比雪更白。
[00:03:30.000 --> 00:03:34.000]  兄弟姐妹,今日,如果你人生有遺憾,
[00:03:34.000 --> 00:03:39.000]  我們一起看看摩西在生命裏面,其中一個主要的遺憾。
[00:03:39.000 --> 00:03:43.000]  剛才我們讀過,在經文裏面,
[00:03:43.000 --> 00:03:47.000]  第一、第二節,文述記二十章,
[00:03:47.000 --> 00:03:51.000]  摩西,他又遇到以色列人發怨言,
[00:03:51.000 --> 00:03:56.000]  我們讀第一和第二節,預備起。
[00:03:56.000 --> 00:03:59.000]  好了,一、二節。
[00:03:59.000 --> 00:04:01.000]  「正月間」,即是何時呢?
[00:04:01.000 --> 00:04:10.000]  我們照著經文,第二段,三十三章,文述記第三十八節,
[00:04:10.000 --> 00:04:13.000]  一起讀,預備起。
[00:04:13.000 --> 00:04:18.000]  這裏講到,在出埃及第四十年,五月一日,
[00:04:18.000 --> 00:04:22.000]  阿倫就在荷里山死了,荷爾山是荷里山嗎?
