
[00:00:00.000 --> 00:00:06.420]  感謝神給我機會在這裡宣講上帝的說話
[00:00:06.420 --> 00:00:08.320]  這次是挺特別的
[00:00:08.320 --> 00:00:11.740]  我每次來到伯福都坐滿了人
[00:00:11.740 --> 00:00:14.000]  這次大家坐在家裡
[00:00:14.000 --> 00:00:18.240]  希望同樣不會影響大家敬拜的時間
[00:00:18.240 --> 00:00:19.740]  我出了一個題目
[00:00:19.740 --> 00:00:23.240]  其實Hungry之後覺得有點古靈精怪
[00:00:23.240 --> 00:00:26.520]  好像多謝都沒聲音 說什麼呢?
[00:00:26.520 --> 00:00:31.200]  這其實是我看一段經文的時候第一個感覺
[00:00:31.200 --> 00:00:33.820]  如果大家誠實地看剛才讀的經文
[00:00:33.820 --> 00:00:36.780]  你嘗試找寶來說多謝
[00:00:36.780 --> 00:00:38.520]  你是找不到的
[00:00:38.520 --> 00:00:42.980]  你讀完整篇 你不覺得它有一點謝意
[00:00:42.980 --> 00:00:45.820]  我就想利用這段時間
[00:00:45.820 --> 00:00:49.320]  看看為什麼它會這樣寫
[00:00:49.320 --> 00:00:51.400]  我先說說我自己
[00:00:51.400 --> 00:00:55.020]  我是在澳門出生的
[00:00:55.020 --> 00:00:56.740]  所以我是澳門人
[00:00:56.740 --> 00:00:59.280]  大家都知道澳門這幾年
[00:00:59.280 --> 00:01:03.020]  年年都有錢派
[00:01:03.020 --> 00:01:06.440]  有時派一萬 有時多過一萬
[00:01:06.440 --> 00:01:09.820]  去年情景不太好 還要給你消費卡
[00:01:09.820 --> 00:01:13.160]  加起來一萬多二萬元
[00:01:13.160 --> 00:01:16.440]  但從來沒有一個人知道我在澳門出生
[00:01:16.440 --> 00:01:17.660]  從來沒有一個人問我
[00:01:17.660 --> 00:01:21.480]  你有沒有多謝澳門的特首
[00:01:21.480 --> 00:01:23.060]  沒有人會問的
[00:01:23.060 --> 00:01:25.060]  我相信大家香港人
