
[00:00:00.000 --> 00:00:03.400]  今天是馬年的年初三
[00:00:03.400 --> 00:00:06.000]  我們叫赤口
[00:00:06.000 --> 00:00:08.400]  最好不要說太多
[00:00:08.400 --> 00:00:10.800]  免得口舌招搖
[00:00:10.800 --> 00:00:13.800]  不過如果你好像以下這位媽媽
[00:00:13.800 --> 00:00:15.200]  那麼有智慧
[00:00:15.200 --> 00:00:17.000]  你就不怕她拜年了
[00:00:17.000 --> 00:00:19.000]  有一位媽媽
[00:00:19.000 --> 00:00:23.000]  去美國探望她的兒子和她的媳婦
[00:00:23.000 --> 00:00:26.000]  她發現兒子探望媳婦的時候
[00:00:26.000 --> 00:00:27.200]  探望她家的時候
[00:00:27.200 --> 00:00:28.600]  發現兒子胖了
[00:00:28.600 --> 00:00:33.200]  他太太的媳婦瘦了
[00:00:33.200 --> 00:00:36.200]  她心裏面很心痛
[00:00:36.200 --> 00:00:41.200]  忍不住就問她的媳婦
[00:00:41.200 --> 00:00:43.200]  為什麼會瘦成這樣
[00:00:43.200 --> 00:00:46.200]  這個很年輕的媳婦
[00:00:46.200 --> 00:00:48.200]  一時按不住氣
[00:00:48.200 --> 00:00:51.200]  就向家婆退苦水
[00:00:51.200 --> 00:00:54.200]  就說你兒子不懂做家務
[00:00:54.200 --> 00:00:57.200]  也不肯做
[00:00:57.200 --> 00:01:00.200]  認路又差
[00:01:00.200 --> 00:01:02.200]  做什麼錯什麼
[00:01:02.200 --> 00:01:05.200]  當媽媽聽到兒子被人批評
[00:01:05.200 --> 00:01:06.200]  你會怎樣呢
[00:01:06.200 --> 00:01:08.200]  可能你會為他平反
[00:01:08.200 --> 00:01:10.200]  不過她沒有平反
[00:01:10.200 --> 00:01:13.200]  她就笑口口跟媳婦說
[00:01:13.200 --> 00:01:15.200]  不過她有一樣事做對了
[00:01:15.200 --> 00:01:17.200]  這個媳婦問什麼事
[00:01:17.200 --> 00:01:19.200]  就是娶了你
[00:01:19.200 --> 00:01:22.200]  那麼有本事
[00:01:22.200 --> 00:01:23.200]  很有智慧
[00:01:23.200 --> 00:01:25.200]  如果你這樣去拜年
[00:01:25.200 --> 00:01:27.200]  一定會跟別人吵架
[00:01:27.200 --> 00:01:32.200]  所以基督徒百無禁忌
[00:01:32.200 --> 00:01:34.200]  年初三
[00:01:34.200 --> 00:01:38.200]  你召他去拜年也不怕
[00:01:38.200 --> 00:01:40.200]  今天我們來到思想
[00:01:40.200 --> 00:01:44.200]  這個視師記
[00:01:44.200 --> 00:01:48.200]  當我們來到思想視師記的時候
[00:01:48.200 --> 00:01:52.200]  視師究竟是什麼人物呢
[00:01:52.200 --> 00:01:54.200]  在這段聖經
[00:01:54.200 --> 00:01:57.200]  或者在承卷視師裡面
[00:01:57.200 --> 00:02:02.200]  視師不只是對內
[00:02:02.200 --> 00:02:05.200]  作為一個公正嚴明
[00:02:05.200 --> 00:02:08.200]  去審判正直的一個這樣的人
[00:02:08.200 --> 00:02:13.200]  其實最突出的視師的特徵
[00:02:13.200 --> 00:02:17.200]  就是他是一個民族的救星
[00:02:17.200 --> 00:02:21.200]  在上一個星期
[00:02:21.200 --> 00:02:23.200]  林牧師跟我們思想
[00:02:23.200 --> 00:02:26.200]  這個視師記
[00:02:26.200 --> 00:02:27.200]  他告訴我們
[00:02:27.200 --> 00:02:30.200]  視師記有兩個的罪言
[00:02:30.200 --> 00:02:35.200]  然後其實還有兩個的結論
[00:02:35.200 --> 00:02:37.200]  我們遲些會思想的
[00:02:37.200 --> 00:02:38.200]  很特別
[00:02:38.200 --> 00:02:42.200]  當一些學者來分析視師記裡面
[00:02:42.200 --> 00:02:43.200]  他們發現
[00:02:43.200 --> 00:02:46.200]  好像有兩個的罪言
[00:02:46.200 --> 00:02:49.200]  而我們新的
[00:02:49.200 --> 00:02:52.200]  在第三章第七節
[00:02:52.200 --> 00:02:56.200]  講到俄陀列的一個視師
[00:02:56.200 --> 00:03:01.200]  是第一個用故事的方式
[00:03:01.200 --> 00:03:08.200]  來將罪言所講的循環
[00:03:08.200 --> 00:03:13.200]  來在一個人物身上表達
[00:03:13.200 --> 00:03:16.200]  這裡有一個什麼的循環呢
[00:03:16.200 --> 00:03:18.200]  這個循環就在
[00:03:18.200 --> 00:03:21.200]  大家繼續看視師記裡面
[00:03:21.200 --> 00:03:23.200]  你會看到
[00:03:23.200 --> 00:03:27.200]  在視師記的視師的故事當中
[00:03:27.200 --> 00:03:31.200]  有一個好像既定的循環
[00:03:31.200 --> 00:03:34.200]  這個既定的循環裡面有八點
[00:03:34.200 --> 00:03:36.200]  第一來到描述以色列人
[00:03:36.200 --> 00:03:38.200]  去行眼中
[00:03:38.200 --> 00:03:40.200]  也就是說眼中不好的事
[00:03:40.200 --> 00:03:43.200]  神就來到管教他們
[00:03:43.200 --> 00:03:45.200]  將他們交在一些
[00:03:45.200 --> 00:03:48.200]  外邦的皇帝的手裡壓迫他們
[00:03:48.200 --> 00:03:52.200]  他們就服侍了這些外邦的皇帝
[00:03:52.200 --> 00:03:54.200]  幾多年
[00:03:54.200 --> 00:03:56.200]  然後他們就向神呼求
[00:03:56.200 --> 00:03:58.200]  神就興起拯救者
[00:03:58.200 --> 00:04:03.200]  神的靈降臨在這些拯救者身上
[00:04:03.200 --> 00:04:06.200]  他們就能夠得勝了這些拯救者
[00:04:06.200 --> 00:04:12.200]  而國中在太平有幾多年
[00:04:12.200 --> 00:04:19.200]  這個循環在以後的視師身上
[00:04:19.200 --> 00:04:21.200]  你會不斷地看到
[00:04:21.200 --> 00:04:25.200]  不過在俄陀列這個故事裡面
[00:04:25.200 --> 00:04:27.200]  最特別的
[00:04:27.200 --> 00:04:32.200]  就這八點完全地寫出來
[00:04:32.200 --> 00:04:35.200]  在以後你會看到
[00:04:35.200 --> 00:04:37.200]  有些視師
[00:04:37.200 --> 00:04:39.200]  可能其中有一兩點
[00:04:39.200 --> 00:04:42.200]  或者沒有了
[00:04:42.200 --> 00:04:45.200]  或者不是這麼清楚地交代
[00:04:45.200 --> 00:04:49.200]  所以這個俄陀列的故事
[00:04:49.200 --> 00:04:52.200]  可以成為以後視師的故事
[00:04:52.200 --> 00:04:54.200]  一個翻版
[00:04:54.200 --> 00:04:56.200]  一個循環
[00:04:56.200 --> 00:04:57.200]  另外
