
[00:00:00.000 --> 00:00:02.260]  有關人質教會今年的主題
[00:00:02.260 --> 00:00:03.680]  因此盡顯生命成全
[00:00:03.680 --> 00:00:04.900]  我一會兒會再講
[00:00:04.900 --> 00:00:07.900]  講完「針研」這個系列
[00:00:07.900 --> 00:00:10.300]  去年我講到是講「針研」
[00:00:10.300 --> 00:00:12.260]  講完七至到第九章
[00:00:12.260 --> 00:00:14.780]  是因為頭九章是「針研」
[00:00:14.780 --> 00:00:16.940]  是所羅門的「針研」是一大部份的
[00:00:16.940 --> 00:00:18.980]  它分成七大部份
[00:00:18.980 --> 00:00:20.260]  七至九章
[00:00:20.260 --> 00:00:22.180]  或者七至二十四章開始
[00:00:22.180 --> 00:00:24.700]  至到第九章是其中一大部份
[00:00:24.700 --> 00:00:26.340]  當然我沒辦法講得完的
[00:00:26.340 --> 00:00:29.060]  我就會選擇中間的兩點跟大家講
[00:00:29.060 --> 00:00:31.180]  在這段經文裏面
[00:00:31.180 --> 00:00:32.700]  它可以分成八個段落
[00:00:32.700 --> 00:00:34.700]  即是四段四段的
[00:00:34.700 --> 00:00:36.940]  頭一段和第五段都是短一點
[00:00:36.940 --> 00:00:38.860]  和做出一些呼籲的
[00:00:38.860 --> 00:00:42.420]  之前就用父親的角色來呼籲眾子
[00:00:42.420 --> 00:00:44.540]  要遠離淫婦
[00:00:44.540 --> 00:00:49.020]  因為淫婦的家是導向死亡和陰間的
[00:00:49.020 --> 00:00:51.140]  第五段那裏就是智慧
[00:00:51.140 --> 00:00:53.740]  即是化身了做一個好像人物那樣的
[00:00:53.740 --> 00:00:55.660]  呼籲眾子要聽從他
[00:00:55.660 --> 00:00:57.500]  因為從他那裏是怎樣的
[00:00:57.500 --> 00:00:59.140]  是得到生命的
[00:00:59.140 --> 00:01:00.940]  如果恨惡智慧的
[00:01:00.940 --> 00:01:03.140]  就是那些喜歡死亡的
[00:01:03.140 --> 00:01:05.300]  不喜歡他 不喜歡生命的
[00:01:05.300 --> 00:01:07.860]  往後還有幾段的經文
[00:01:07.860 --> 00:01:10.980]  都是重複講智慧是怎樣的
[00:01:10.980 --> 00:01:12.820]  智慧自身的價值是怎樣的
[00:01:12.820 --> 00:01:14.700]  智慧有甚麼特徵的
[00:01:14.700 --> 00:01:16.780]  智慧怎樣在這個世間掌權
[00:01:16.780 --> 00:01:20.780]  智慧是怎樣仍然來參與這個世間
[00:01:20.780 --> 00:01:23.420]  第九章那裏講智慧的婦人
[00:01:23.420 --> 00:01:25.460]  和最後一段講愚昧的婦人
[00:01:25.460 --> 00:01:26.780]  大家都在那裏呼籲
[00:01:26.780 --> 00:01:29.460]  不過有些是呼籲你走向生命
[00:01:29.460 --> 00:01:31.460]  有些是走向陰間
