
[00:00:00.000 --> 00:00:06.280]  今天的講題可以說是聖經裡面四福音
[00:00:06.280 --> 00:00:10.800]  甚至全本正經是最難解的經文之一
[00:00:10.800 --> 00:00:16.380]  甚至有學者認為這段經文是最難解的經文
[00:00:16.380 --> 00:00:17.540]  這段經文說什麼呢?
[00:00:17.540 --> 00:00:19.280]  在題目裡面就看到了
[00:00:19.280 --> 00:00:22.960]  今世前才永恆眼光
[00:00:22.960 --> 00:00:26.080]  今 永 時間性
[00:00:26.080 --> 00:00:29.760]  我大概有這個簡介
[00:00:29.760 --> 00:00:31.380]  物質性前才
[00:00:31.380 --> 00:00:35.640]  眼光是心裡的選擇
[00:00:35.640 --> 00:00:38.940]  這些難解經文以前當然要先破冰
[00:00:38.940 --> 00:00:40.980]  有些謎語難解的
[00:00:40.980 --> 00:00:42.900]  讓你有些感覺
[00:00:42.900 --> 00:00:46.140]  看看這些難解困惑的東西
[00:00:46.140 --> 00:00:49.440]  當然破冰應該是挺好玩的
[00:00:49.440 --> 00:00:50.000]  挺好笑的
[00:00:50.000 --> 00:00:51.300]  先問一下大家
[00:00:51.300 --> 00:00:54.540]  有什麼東西越洗越髒的?
[00:00:54.540 --> 00:00:55.520]  銀紙
[00:00:55.520 --> 00:00:58.300]  銀紙 還沒想到
[00:00:58.300 --> 00:01:00.860]  如果有髒的可以給我就行了
[00:01:00.860 --> 00:01:02.860]  也可能是的
[00:01:02.860 --> 00:01:03.760]  還有呢?
[00:01:03.760 --> 00:01:04.380]  水
[00:01:04.380 --> 00:01:07.340]  水 厲害 滿有智慧
[00:01:07.340 --> 00:01:08.580]  好了
[00:01:08.580 --> 00:01:10.580]  有什麼書人人要看
[00:01:10.580 --> 00:01:13.580]  但是很多人從來都不看的?
[00:01:13.580 --> 00:01:14.680]  《聖經》
[00:01:14.680 --> 00:01:16.440]  很傷心
[00:01:16.440 --> 00:01:18.380]  又好像很有道理
[00:01:18.380 --> 00:01:19.760]  雖然我的答案不是
[00:01:19.760 --> 00:01:22.060]  也適合下次加起來
[00:01:22.060 --> 00:01:24.060]  還有呢?
