
[00:00:00.000 --> 00:00:01.460]  弟兄姊妹 早
[00:00:01.460 --> 00:00:06.520]  我想問 上個禮拜天下午
[00:00:06.520 --> 00:00:08.520]  在政府總部
[00:00:08.520 --> 00:00:10.560]  政府總部舉辦那個
[00:00:10.560 --> 00:00:14.140]  愛家共融祈禱音樂會
[00:00:14.140 --> 00:00:16.760]  有多少人有參加 好不好舉手
[00:00:16.760 --> 00:00:18.440]  感謝主的恩典
[00:00:18.440 --> 00:00:22.700]  我相信 因為有一些
[00:00:22.700 --> 00:00:27.080]  在那邊已經非常熟的一些弟兄
[00:00:27.080 --> 00:00:28.340]  告訴我們
[00:00:28.340 --> 00:00:32.600]  當天 當整個草坪坐滿了人的時間
[00:00:32.600 --> 00:00:35.640]  那個應該有六萬人以上
[00:00:35.640 --> 00:00:37.940]  在那個地方來的聚會
[00:00:37.940 --> 00:00:40.340]  我們也知道在地鐵那個地方
[00:00:40.340 --> 00:00:42.840]  因為有一些人沒有辦法進入會場
[00:00:42.840 --> 00:00:43.920]  他們在外圍
[00:00:43.920 --> 00:00:46.640]  在外圍那個地方來的去聚會
[00:00:46.640 --> 00:00:49.040]  我們為了這一切來的獻上感恩
[00:00:49.040 --> 00:00:52.800]  我們去那個地方來的聚會
[00:00:52.800 --> 00:00:57.040]  主要是表達我們對性傾向
[00:00:57.040 --> 00:00:59.040]  歧視立法的意見
[00:00:59.040 --> 00:01:04.440]  我們反對這個立法
[00:01:04.440 --> 00:01:06.440]  不是因為我們贊成歧視
[00:01:06.440 --> 00:01:07.840]  剛好相反
[00:01:07.840 --> 00:01:10.840]  我們反對任何形式的歧視
[00:01:10.840 --> 00:01:13.640]  但是這個條例的本身
[00:01:13.640 --> 00:01:15.640]  卻是帶來另外一種的歧視
[00:01:15.640 --> 00:01:17.640]  我們叫利性的歧視
[00:01:17.640 --> 00:01:19.640]  因為這個緣故
[00:01:19.640 --> 00:01:21.640]  我們要表達我們的聲音
[00:01:21.640 --> 00:01:23.640]  希望政府在立法的時間
[00:01:23.640 --> 00:01:25.640]  要考慮這些
[00:01:27.440 --> 00:01:31.440]  你可以說是立下的歧視不會發生
[00:01:31.440 --> 00:01:33.440]  原因在哪裡呢
[00:01:33.440 --> 00:01:36.840]  因為在過去歐美那些的地方
[00:01:36.840 --> 00:01:40.640]  當推行這個法律的時間
[00:01:40.640 --> 00:01:43.240]  我們看見最早有三方面的自由
[00:01:43.240 --> 00:01:44.940]  受到限制
[00:01:44.940 --> 00:01:46.040]  第一個自由
[00:01:46.040 --> 00:01:48.240]  宗教的自由
[00:01:48.240 --> 00:01:50.640]  要是你們到google去search
[00:01:50.640 --> 00:01:54.240]  你們可以找到連丹麥這個國家
[00:01:54.240 --> 00:01:58.040]  都要強迫所有的教會
[00:01:58.040 --> 00:02:01.440]  要為同性戀的人舉行婚禮
[00:02:01.440 --> 00:02:06.440]  其實這個是非常嚴重的影響
[00:02:06.440 --> 00:02:09.440]  嚴重的來的剝奪
[00:02:09.440 --> 00:02:11.440]  他們這個宗教的自由
[00:02:11.440 --> 00:02:13.840]  變成教會沒有種主權
[00:02:13.840 --> 00:02:16.040]  來的做這個決定
[00:02:16.040 --> 00:02:17.240]  第二個方面
[00:02:17.240 --> 00:02:20.040]  它也影響了言論的自由
[00:02:20.040 --> 00:02:21.440]  任何的人
[00:02:21.440 --> 00:02:24.640]  當他表達對這個同性戀的方面
[00:02:24.640 --> 00:02:26.640]  不同的意見的時間
[00:02:26.640 --> 00:02:30.840]  他們也同樣很容易會被控告
