
[00:00:00.000 --> 00:00:02.580]  在講道之前我們做一個簡單祈禱
[00:00:02.580 --> 00:00:03.960]  下請大家同心圖告
[00:00:03.960 --> 00:00:09.120]  天父我們仰望你又真又活的上帝
[00:00:09.120 --> 00:00:14.240]  繼續幫助引領主你自己各樣的聖功
[00:00:14.240 --> 00:00:17.120]  保守所有侍奉你的弟兄姊妹
[00:00:17.120 --> 00:00:20.080]  又讓我們每一位的信徒
[00:00:20.080 --> 00:00:22.240]  你自己的門徒們
[00:00:22.240 --> 00:00:25.360]  我們都能夠做一個合神心意的人
[00:00:25.360 --> 00:00:27.600]  懇求主帶領我們以下的時間
[00:00:27.600 --> 00:00:30.360]  藉著聖靈幫助我們進入你的真理
[00:00:30.360 --> 00:00:32.440]  奉耶穌基督的名 阿們
[00:00:32.440 --> 00:00:39.800]  如果問大家一個問題
[00:00:39.800 --> 00:00:44.200]  用一句說話來描繪我們整個人生
[00:00:44.200 --> 00:00:46.520]  最希望神給我們一個評語
[00:00:46.520 --> 00:00:52.280]  或者給我們一些形容
[00:00:52.280 --> 00:00:55.720]  你覺得甚麼是最寶貴的呢?
[00:00:55.720 --> 00:00:58.480]  如果神說你是一個這樣的人
[00:00:58.480 --> 00:01:01.640]  我們覺得這個實在是最寶貴的
[00:01:01.640 --> 00:01:06.440]  當然這個問題與今天的講道有關
[00:01:06.440 --> 00:01:09.600]  我相信如果神給我們一個評語
[00:01:09.600 --> 00:01:11.320]  來概括我們的人生
[00:01:11.320 --> 00:01:15.000]  祂說你是一個合我心意的人
[00:01:15.000 --> 00:01:17.880]  如果其他人給你一個評語
[00:01:17.880 --> 00:01:21.800]  說你是一個合神心意的人
[00:01:21.800 --> 00:01:25.200]  我相信這個評語實在是太寶貴了
[00:01:25.200 --> 00:01:30.800]  太沒有其他評語比得上了
[00:01:30.800 --> 00:01:32.720]  我們可以這樣想
[00:01:32.720 --> 00:01:34.920]  如果你僱用一些工人
[00:01:34.920 --> 00:01:36.720]  或者你自己就是那個工人
[00:01:36.720 --> 00:01:39.200]  你去做很多事情
[00:01:39.200 --> 00:01:42.360]  裝修也好 修理也好 修車也好
[00:01:42.360 --> 00:01:44.840]  或者你要佈置你的家居
[00:01:44.840 --> 00:01:48.880]  你僱用他們 或者你去幫助人去做這些一切
[00:01:48.880 --> 00:01:52.280]  做完了 花了很多心思 很多努力
[00:01:52.280 --> 00:01:56.400]  最後這個僱主 或者你的老闆
[00:01:56.400 --> 00:01:57.720]  給你一個評語
[00:01:57.720 --> 00:02:01.720]  說你做了這麼多事情都不合我心意的
[00:02:01.720 --> 00:02:08.080]  這個實在是一個非常痛苦的評語
[00:02:08.080 --> 00:02:11.560]  因為我做了這麼多事情 最後都不合你心意
[00:02:11.560 --> 00:02:14.360]  這個就是白做
[00:02:14.360 --> 00:02:17.320]  如果我們做人做了一生 做了很多努力
[00:02:17.320 --> 00:02:20.720]  以為自己所做的事情都是不錯的
[00:02:20.720 --> 00:02:24.320]  結果做完一切 回到見主的面前
[00:02:24.320 --> 00:02:31.360]  然後神說 都不合我的心意
[00:02:31.360 --> 00:02:36.080]  如果這樣真是痛苦了 真是何等悲哀
[00:02:36.080 --> 00:02:39.680]  當然神不會這樣作弄我們
[00:02:39.680 --> 00:02:41.920]  祂一定會引導我們 幫助我們
[00:02:41.920 --> 00:02:44.480]  以致最後我們來到祂面前
[00:02:44.480 --> 00:02:45.920]  其實是靠著祂的恩典
[00:02:45.920 --> 00:02:50.040]  神說 好 這就是我們最希望的
