
[00:00:00.000 --> 00:00:02.000]  今天想跟大家看一段經文
[00:00:02.000 --> 00:00:04.620]  我相信是大家很熟悉的經文
[00:00:04.620 --> 00:00:07.220]  在《馬太福音》裏面
[00:00:07.220 --> 00:00:12.060]  記載了有兩件耶穌
[00:00:12.060 --> 00:00:15.180]  餵飽了很多人的神蹟
[00:00:15.180 --> 00:00:18.360]  我想對於大家來講
[00:00:18.360 --> 00:00:19.540]  應該很熟悉的
[00:00:19.540 --> 00:00:22.580]  餵飽五千人這件事
[00:00:22.580 --> 00:00:26.900]  我想對不信耶穌的人都可能聽過
[00:00:26.900 --> 00:00:32.320]  四卷福音書都有記載餵飽五千人
[00:00:32.320 --> 00:00:35.820]  但是對於餵飽四千人這件事
[00:00:35.820 --> 00:00:38.880]  我不知道大家熟不熟悉
[00:00:38.880 --> 00:00:43.260]  其實在經文只相隔了一章
[00:00:43.260 --> 00:00:47.560]  《馬可》第六章差不多到尾聲的時候
[00:00:47.560 --> 00:00:50.040]  講完耶穌餵飽五千人之後
[00:00:50.040 --> 00:00:53.300]  大概一章經文之後
[00:00:53.300 --> 00:00:58.860]  《馬可》記載了另外一個耶穌餵飽四千人的
[00:00:58.860 --> 00:01:00.860]  很相似的神蹟
[00:01:00.860 --> 00:01:04.480]  兩件事、兩個神蹟
[00:01:04.480 --> 00:01:08.620]  有很多地方都是差不多一樣的
[00:01:08.620 --> 00:01:10.080]  我舉一個例子
[00:01:10.080 --> 00:01:13.620]  兩件神蹟都是在曠野發生
[00:01:13.620 --> 00:01:15.620]  第一
[00:01:15.620 --> 00:01:16.980]  第二就是
[00:01:16.980 --> 00:01:22.220]  兩件神蹟都是耶穌主動向門徒提出
[00:01:22.220 --> 00:01:24.680]  「你去餵飽他們吧」
[00:01:24.680 --> 00:01:26.680]  是耶穌主動
[00:01:26.680 --> 00:01:29.780]  另外第三個相似的地方
[00:01:29.780 --> 00:01:33.680]  就是當門徒收到耶穌的命令之後
[00:01:33.680 --> 00:01:36.680]  門徒覺得很為難我們
[00:01:36.680 --> 00:01:41.680]  在哪裡找到這麼多食物餵飽這麼多人
[00:01:41.680 --> 00:01:43.680]  而第四個相同的地方
[00:01:43.680 --> 00:01:46.680]  就是兩件神蹟完結之後
[00:01:46.680 --> 00:01:49.860]  都有很多剩餘了
