
[00:00:00.000 --> 00:00:03.000]  聖誕節是一個充滿歡樂的季節
[00:00:03.000 --> 00:00:06.000]  到處充滿了美麗的燈飾
[00:00:06.000 --> 00:00:10.000]  那今年我們教會的聖誕節更是美麗
[00:00:10.000 --> 00:00:12.000]  特別是在晚上的時候
[00:00:12.000 --> 00:00:15.000]  我們不但在聖誕樹上有燈
[00:00:15.000 --> 00:00:18.000]  旁邊還有個小路上也有燈
[00:00:18.000 --> 00:00:23.000]  我們外面的遮陽板上也是充滿了燈
[00:00:23.000 --> 00:00:26.000]  如果你晚上沒有來過教會
[00:00:26.000 --> 00:00:30.000]  我真的鼓勵你值得把小孩子帶到教會來
[00:00:30.000 --> 00:00:34.000]  然後照幾張美麗的照片傳送親友
[00:00:34.000 --> 00:00:37.000]  你們在聖誕節的期間裏面
[00:00:37.000 --> 00:00:42.000]  我不知道你最歡喜的事情是什麼事情
[00:00:42.000 --> 00:00:48.000]  是shopping 是拿到禮物 還是參加party
[00:00:48.000 --> 00:00:52.000]  我不知道你們想到過主耶穌基督呢
[00:00:52.000 --> 00:00:58.000]  畢竟祂纔是神在這個季節裏面賜給我們最寶貴的禮物
[00:00:58.000 --> 00:00:59.000]  Amen
[00:00:59.000 --> 00:01:05.000]  然而我們看見這個世界卻選擇不去接受這個禮物
[00:01:05.000 --> 00:01:12.000]  甚至故意要在這樣的季節當中忽略了聖誕節真正的含義
[00:01:12.000 --> 00:01:14.000]  現在如果你去shopping center
[00:01:14.000 --> 00:01:18.000]  你發現已經沒有什麼聖誕快樂的字眼
[00:01:18.000 --> 00:01:21.000]  取而代之的是假期快樂
[00:01:21.000 --> 00:01:23.000]  你到San Jose downtown
[00:01:23.000 --> 00:01:25.000]  你去看Christmas in the park
[00:01:25.000 --> 00:01:30.000]  你一點都看不見馬槽聖鷹的景象
[00:01:30.000 --> 00:01:36.000]  難怪這個世界已經失去了真正的平安跟喜樂
[00:01:36.000 --> 00:01:39.000]  因爲這個世界選擇拒絕了
[00:01:39.000 --> 00:01:44.000]  這位真正能夠賜下平安喜樂的神
[00:01:44.000 --> 00:01:45.000]  Amen
[00:01:45.000 --> 00:01:48.000]  所以求主幫助我們在今年的聖誕節的時候
[00:01:48.000 --> 00:01:54.000]  讓我們再一次把耶穌放回到我們生命的中心點
[00:01:54.000 --> 00:01:56.000]  好像第一個聖誕節一樣
[00:01:56.000 --> 00:01:58.000]  在第一個聖誕節當中
[00:01:58.000 --> 00:02:02.000]  你就看見耶穌就是一切的焦點不是嗎
[00:02:02.000 --> 00:02:05.000]  你知道在整個聖誕故事當中
[00:02:05.000 --> 00:02:10.000]  最令人感覺充滿神祕色彩的故事
[00:02:10.000 --> 00:02:14.000]  莫過於是東方博士的故事
[00:02:14.000 --> 00:02:16.000]  他們遠從東方而來
[00:02:16.000 --> 00:02:21.000]  隨着晨星的引導獻上珍貴的禮物
[00:02:21.000 --> 00:02:23.000]  他們到底是誰呀
[00:02:23.000 --> 00:02:26.000]  實際上說他們是東方的博士
[00:02:26.000 --> 00:02:28.000]  其實在原文裏面不是博士
[00:02:28.000 --> 00:02:32.000]  在原文裏面他們是一羣有智慧的人
[00:02:32.000 --> 00:02:36.000]  我相信這裏所說的智慧不是隻屬於屬地的智慧
[00:02:36.000 --> 00:02:39.000]  一定是一個屬靈的智慧
[00:02:39.000 --> 00:02:45.000]  因爲他們竟然願意放下這屬世的財寶
[00:02:45.000 --> 00:02:50.000]  去追求生命當中真正的祝福
[00:02:50.000 --> 00:02:52.000]  他們是一批怎麼樣的人呢
[00:02:52.000 --> 00:02:56.000]  今天早上我們就要從東方博士裏面
[00:02:56.000 --> 00:03:00.000]  一同來思想一個智慧者的心
[00:03:00.000 --> 00:03:02.000]  我們從四方面來看
[00:03:02.000 --> 00:03:04.000]  一個智慧者的心
[00:03:04.000 --> 00:03:05.000]  首先第一個
[00:03:05.000 --> 00:03:07.000]  我們看他們是有一個渴慕的心
[00:03:07.000 --> 00:03:11.000]  跟你們說他們有個渴慕的心
[00:03:11.000 --> 00:03:14.000]  他們渴慕來遇見主耶穌
[00:03:14.000 --> 00:03:21.000]  這種渴慕使他們願意付上一切的代價來到伯利亨
[00:03:21.000 --> 00:03:23.000]  你要知道在兩千多年前
[00:03:23.000 --> 00:03:26.000]  那種旅行不像我們現在這麼方便
[00:03:26.000 --> 00:03:28.000]  現在如果你要去以色列
[00:03:28.000 --> 00:03:29.000]  其實買一張機票
[00:03:29.000 --> 00:03:32.000]  只要兩天最多兩天你就到了
