
[00:00:00.000 --> 00:00:05.680]  弟兄姐妹主內平安 很高興和大家見面
[00:00:05.680 --> 00:00:10.700]  真的非常的 我覺得很欣賞我們傳恩堂的弟兄姐妹
[00:00:10.700 --> 00:00:16.940]  在主日的時間 大多數的弟兄姐妹都把攝像頭打開了
[00:00:16.940 --> 00:00:20.480]  這個是我很激動 很興奮的一件事情
[00:00:20.480 --> 00:00:22.360]  因為在我自己的教會
[00:00:22.360 --> 00:00:25.580]  弟兄姐妹是不是不好意思還是不方便呢?
[00:00:25.580 --> 00:00:31.780]  我講到的時候 鏡頭 我的電腦前面是一片漆黑的
[00:00:31.780 --> 00:00:37.140]  所以我是真的是全憑著我們聖靈的這個交通
[00:00:37.140 --> 00:00:39.060]  主愛無疆的講
[00:00:39.060 --> 00:00:43.140]  但是我今天一參加你們的崇拜 我就好興奮
[00:00:43.140 --> 00:00:46.860]  因為我看到每一個弟兄姐妹的那個畫面
[00:00:46.860 --> 00:00:49.220]  我們在主裡的人真的是
[00:00:49.220 --> 00:00:53.580]  因為跟隨主 我們每個人都越看你們就越可愛
[00:00:53.580 --> 00:00:56.540]  越看你們就越好 所以很欣賞你們
[00:00:56.540 --> 00:00:59.840]  所以我們不能實體崇拜 不能現場的時候
[00:00:59.840 --> 00:01:04.620]  我下個星期等一下 我就馬上告訴我的弟兄姐妹
[00:01:04.620 --> 00:01:08.600]  我們應該是這樣的 我們應該是互相見到 對不對?
[00:01:08.600 --> 00:01:12.100]  因為我們一個星期沒有見了 所以我很激動
[00:01:12.100 --> 00:01:14.460]  我等一下講的時候 我可以看到你們
[00:01:14.460 --> 00:01:17.300]  也可以有這樣的回應
[00:01:17.300 --> 00:01:22.580]  因為一片漆黑的時候 我好像是在自己和自己講
[00:01:22.580 --> 00:01:24.940]  所以很欣賞你們 首先
[00:01:24.940 --> 00:01:29.940]  那麼我們在聽到之前 我們也一起來禱告
[00:01:29.940 --> 00:01:35.340]  我們將接下來的大概三、四十分鐘的時間
[00:01:35.340 --> 00:01:39.500]  我們完全交給神 我們也把這段時間分別出來
[00:01:39.500 --> 00:01:44.460]  我看大家都非常的認真投入在神的裡面
[00:01:44.460 --> 00:01:46.940]  神都看得到 其實說實話
[00:01:46.940 --> 00:01:50.500]  姜牧師還有其他的同工牧師
[00:01:50.500 --> 00:01:52.340]  都看不到你們的狀態的
[00:01:52.340 --> 00:01:55.980]  但最重要 神看得到我們的一個敬拜的態度
[00:01:55.980 --> 00:01:58.260]  當我們有一個好的敬拜態度
[00:01:58.260 --> 00:02:01.140]  其實是對我們自己有好處 是吧?
[00:02:01.140 --> 00:02:02.660]  好 我們一起來禱告
[00:02:02.660 --> 00:02:07.060]  我們將接下來聽到 我們將我自己講到的時間
[00:02:07.060 --> 00:02:09.300]  都要求聖靈和神給智慧
[00:02:09.300 --> 00:02:12.740]  我們一起禱告 我們閉眼睛
[00:02:12.740 --> 00:02:16.100]  天父上帝 我們是屬於你的
[00:02:16.100 --> 00:02:19.060]  你配得一切的敬拜和讚美
[00:02:19.060 --> 00:02:24.940]  今天是主你自己的時間 求主你帶領和祝福我們的相聚
[00:02:24.940 --> 00:02:29.420]  我們特別要將傳恩堂的牧者弟兄姐妹
[00:02:29.420 --> 00:02:32.260]  仰望在主你的寶座前
[00:02:32.260 --> 00:02:37.340]  求主你接下來我們要一起來學習主你寶貴的話語
[00:02:37.340 --> 00:02:41.700]  求主你透過你的話語來祝福我們 來建立我們
[00:02:41.700 --> 00:02:44.780]  讓我們眾弟兄姐妹因著敬拜
[00:02:44.780 --> 00:02:49.260]  我們的心思意念 我們的生命 都蒙主你的悅納
[00:02:49.260 --> 00:02:52.220]  求主你也來使用你自己的使女
[00:02:52.220 --> 00:02:55.420]  能夠讓我可以和傳恩堂的弟兄姐妹
[00:02:55.420 --> 00:03:00.780]  一起從今天的詩篇121篇裡面
[00:03:00.780 --> 00:03:05.820]  得到力量 得到安慰 生命 成為更多人的祝福
[00:03:05.820 --> 00:03:11.780]  謝謝主 我們以上的禱告奉主你的名而求 阿們
[00:03:11.780 --> 00:03:17.300]  好的 那弟兄姐妹我和大家來分享一下今天的PPT
[00:03:17.300 --> 00:03:23.660]  你可以這樣可以看著我的PPT
[00:03:23.660 --> 00:03:28.780]  好 那我的講題是《跨越生命的山》
[00:03:28.780 --> 00:03:33.180]  那這個經文就是剛才所讀的121篇
[00:03:33.180 --> 00:03:37.060]  如果你在你的桌前有一本聖經就更好了
[00:03:37.060 --> 00:03:39.140]  那我就要更加欣賞你們了
[00:03:39.140 --> 00:03:43.500]  所以我們拿出聖經來 然後你就反覆對照
[00:03:43.500 --> 00:03:47.580]  因為我們今天的經文就是八節 有八節的經文
[00:03:47.580 --> 00:03:50.580]  《跨越生命當中的山》
[00:03:50.580 --> 00:03:54.940]  這個也是我最近的一個心路歷程
[00:03:54.940 --> 00:03:58.140]  也作為今天的一個講題
[00:03:58.140 --> 00:04:02.740]  大家看這個山 這個綿延不斷的山
[00:04:02.740 --> 00:04:05.660]  我和山也是有特別的感情
[00:04:05.660 --> 00:04:09.380]  如果你們還記得的話 一年多前我到傳恩堂講道
[00:04:09.380 --> 00:04:12.540]  我介紹自己我是來自雲南
[00:04:12.540 --> 00:04:16.540]  我不單來自雲南 我是來自雲南的山裡的山
[00:04:16.540 --> 00:04:19.260]  山當中的山 來自很高山
[00:04:19.260 --> 00:04:22.500]  因為我的父親是少數民族 是彝族
[00:04:22.500 --> 00:04:24.220]  媽媽是利蘇族
[00:04:24.220 --> 00:04:28.020]  所以我們姓朱也是因為當年傳教士
[00:04:28.020 --> 00:04:33.300]  他們起初在市區 在城市去傳福音
[00:04:33.300 --> 00:04:35.540]  但是後來他們轉了方向
[00:04:35.540 --> 00:04:37.980]  然後就往雲南的山裡面
[00:04:37.980 --> 00:04:44.820]  據說是從緬甸騎著毛驢 騎著馬走著山路
[00:04:44.820 --> 00:04:46.700]  就進入到我們雲南
[00:04:46.700 --> 00:04:50.460]  然後我最近我特別的想家
[00:04:50.460 --> 00:04:53.260]  因為我回不去對不對 馬上要過年了
[00:04:53.260 --> 00:04:57.700]  我這個心裡很想回 我的家人也很想我回
[00:04:57.700 --> 00:04:59.980]  然後我就翻出這張照片
[00:04:59.980 --> 00:05:03.220]  這張照片是每一次搭飛機的時候
[00:05:03.220 --> 00:05:07.260]  快到雲南境內的時候
[00:05:07.260 --> 00:05:09.620]  我就是拍的一個照片
[00:05:09.620 --> 00:05:12.700]  雲南算很高原的很多的山的地方
[00:05:12.700 --> 00:05:14.540]  不知道大家有沒有去過
[00:05:14.540 --> 00:05:20.740]  我自己也是為什麼說和山有這樣很深的一個感情
[00:05:20.740 --> 00:05:23.140]  因為我就是從山裡出來的
[00:05:23.140 --> 00:05:26.820]  雖然我現在在香港 但是對山真的是
[00:05:26.820 --> 00:05:29.380]  因為我從小六歲以前
[00:05:29.380 --> 00:05:33.580]  我和媽媽就是生活在你們現在看到的這個
[00:05:33.580 --> 00:05:37.860]  屏幕前面那個很涼極的 不像香港的山
[00:05:37.860 --> 00:05:40.980]  這個環保啊 樹林啊 很茂密
[00:05:40.980 --> 00:05:45.380]  我當時就是生活在這樣的山裡面的村裡面
[00:05:45.380 --> 00:05:47.900]  這個是去年過年的時候
[00:05:47.900 --> 00:05:50.460]  我帶著女兒 我們全家回去
[00:05:50.460 --> 00:05:54.860]  現在政府已經把我們從對面的山搬遷到
[00:05:54.860 --> 00:05:58.060]  山對面比較平坦一點的地方
[00:05:58.060 --> 00:06:00.780]  所以那兩個孩子 一個是我的侄女
[00:06:00.780 --> 00:06:02.860]  紫色衣服的是我的女兒
[00:06:02.860 --> 00:06:07.140]  我就告訴他們 我說我以前就生活在那個山的那裡
[00:06:07.140 --> 00:06:09.060]  他們兩個很驚訝 他們想
[00:06:09.060 --> 00:06:12.620]  哎呀 那個不是猴子在的地方嗎?
[00:06:12.620 --> 00:06:15.500]  怎麼媽媽是在那個地方生活 完全不敢想像
[00:06:15.500 --> 00:06:17.420]  但是是切切實實
[00:06:17.420 --> 00:06:20.140]  我六歲以前和媽媽和爸爸
[00:06:20.140 --> 00:06:22.980]  他們還沒有出外去募會 去教會的時候
[00:06:22.980 --> 00:06:25.140]  我們就在這個山裡面生活的
[00:06:25.140 --> 00:06:29.980]  所以我對山是有很多的一個思念和感情
[00:06:29.980 --> 00:06:33.540]  所以和大家分享
[00:06:33.540 --> 00:06:39.540]  那麼這個山到底是對我們的生命是如何的呢?
[00:06:39.540 --> 00:06:41.700]  這個孟子他說
[00:06:41.700 --> 00:06:48.780]  孔子登東山而小魯 登泰山而小天下
[00:06:48.780 --> 00:06:50.780]  我們看到其實我們都
[00:06:50.780 --> 00:06:53.380]  我不知道最近你們有沒有行山
[00:06:53.380 --> 00:06:56.060]  可能現在因為疫情的原因
[00:06:56.060 --> 00:06:59.300]  可能山裡面的人都多過旺角的 是不是?
[00:06:59.300 --> 00:07:01.060]  會不會有這樣的景象?
[00:07:01.060 --> 00:07:04.860]  大家秋冬、秋天、冬天可能是香港行山
[00:07:04.860 --> 00:07:06.380]  最好的一個季節了
[00:07:06.380 --> 00:07:09.620]  所以大家看到孟子在這裡說到
[00:07:09.620 --> 00:07:15.380]  他說當我們登上這個泰山的時候
[00:07:15.380 --> 00:07:20.300]  其實魯國都變小了 天下都變小了
[00:07:20.300 --> 00:07:25.180]  我們也知道站得高、看得遠、心胸視野
[00:07:25.180 --> 00:07:29.380]  我們眼前的景象都會寬廣 對不對?
[00:07:29.380 --> 00:07:30.700]  這個我們都有
[00:07:30.700 --> 00:07:33.780]  當你登山的時候、行山的時候
[00:07:33.780 --> 00:07:36.980]  你都會有這樣的一個景象
[00:07:36.980 --> 00:07:42.300]  那麼其實我自己對山有特別的感情
[00:07:42.300 --> 00:07:43.660]  我不知道你是怎麼樣
[00:07:43.660 --> 00:07:45.500]  當你行山你有什麼樣的感受
[00:07:45.500 --> 00:07:51.540]  或當你今天看到這些綿延不斷的山丘是怎樣的呢?
[00:07:51.540 --> 00:07:53.900]  其實我會想到我們的人生
[00:07:53.900 --> 00:07:55.980]  也是好像行山一樣
[00:07:55.980 --> 00:07:58.460]  我們精力高高低低
[00:07:58.460 --> 00:08:01.660]  當我們回顧我們自己的人生的時候
[00:08:01.660 --> 00:08:04.460]  的確我們行過很多的山 對不對?
[00:08:04.460 --> 00:08:06.940]  可是有的時候可能很難行
[00:08:06.940 --> 00:08:08.700]  行山的時候我最有印象了
