
[00:00:00.000 --> 00:00:02.000]  大兄姊妹,平安!
[00:00:02.000 --> 00:00:04.000]  讓我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  真是顛覆我們
[00:00:06.000 --> 00:00:08.000]  感謝你自己的恩典
[00:00:08.000 --> 00:00:10.000]  讓我們在主日的清晨
[00:00:10.000 --> 00:00:12.000]  可以一齊來到這裡敬拜你
[00:00:12.000 --> 00:00:14.000]  聆聽聖經的教導
[00:00:14.000 --> 00:00:16.000]  最後求你保守帶領
[00:00:16.000 --> 00:00:18.000]  講的會講得清楚
[00:00:18.000 --> 00:00:20.000]  聽的也會得到聖靈的幫助
[00:00:20.000 --> 00:00:22.000]  明白
[00:00:22.000 --> 00:00:24.000]  並且願意進行學習
[00:00:24.000 --> 00:00:26.000]  你自己華語的教導
[00:00:26.000 --> 00:00:28.000]  奉主耶穌基督的名祈禱
[00:00:28.000 --> 00:00:30.000]  今天是
[00:00:30.000 --> 00:00:32.000]  順著聖靈而行
[00:00:32.000 --> 00:00:34.000]  的系列
[00:00:34.000 --> 00:00:36.000]  講道的第二講
[00:00:36.000 --> 00:00:38.000]  上次講完之後
[00:00:38.000 --> 00:00:40.000]  我沒有收到任何提問
[00:00:40.000 --> 00:00:42.000]  我就假設
[00:00:42.000 --> 00:00:44.000]  大家都很明白
[00:00:44.000 --> 00:00:46.000]  上星期的講解
[00:00:46.000 --> 00:00:48.000]  上星期我也給大家
[00:00:48.000 --> 00:00:50.000]  一個功課
[00:00:50.000 --> 00:00:52.000]  鼓勵大家想一想
[00:00:52.000 --> 00:00:54.000]  當我們平日做決定的時候
[00:00:54.000 --> 00:00:56.000]  我們有沒有
[00:00:56.000 --> 00:00:58.000]  尋求聖靈的帶領
[00:00:58.000 --> 00:01:00.000]  或者指引呢?
[00:01:00.000 --> 00:01:02.000]  不知道
[00:01:02.000 --> 00:01:04.000]  大家有沒有做
[00:01:04.000 --> 00:01:06.000]  無論如何
[00:01:06.000 --> 00:01:08.000]  我先總結一下
[00:01:08.000 --> 00:01:10.000]  從上一次的講道
[00:01:10.000 --> 00:01:12.000]  《約翰福音》
[00:01:12.000 --> 00:01:14.000]  十六至十七章
[00:01:14.000 --> 00:01:16.000]  有關聖靈的形式
