
[00:00:00.000 --> 00:00:03.800]  今日我想同大家分享一個訊息
[00:00:03.800 --> 00:00:09.300]  就是剛才唱歌、唱詩的時候的訊息
[00:00:09.300 --> 00:00:11.400]  其實那個訊息是說
[00:00:11.400 --> 00:00:14.300]  I have a dream 我有一個夢
[00:00:14.300 --> 00:00:17.600]  作詩的人向我做了一個夢
[00:00:17.600 --> 00:00:20.800]  那個夢裏面是讓我們看到一個聖城
[00:00:20.800 --> 00:00:24.800]  那個聖城是上帝祝福以色列民的
[00:00:24.800 --> 00:00:30.200]  是和他們納約讓他們建立這個聖殿
[00:00:30.200 --> 00:00:33.500]  祝福他們這個城市就是耶路撒冷
[00:00:33.500 --> 00:00:36.000]  Jerusalem 耶路撒冷
[00:00:36.000 --> 00:00:39.000]  很祝福這個城市
[00:00:39.000 --> 00:00:41.500]  但上帝要和他們納約
[00:00:41.500 --> 00:00:43.200]  一會兒我們會看聖經
[00:00:43.200 --> 00:00:44.800]  上帝和他們納約
[00:00:44.800 --> 00:00:50.500]  原本是大衛想為他建殿
[00:00:50.500 --> 00:00:52.000]  但上帝說不要
[00:00:52.000 --> 00:00:53.200]  你不要為我建殿
[00:00:53.200 --> 00:00:54.800]  因為你的手充滿血眼
[00:00:54.800 --> 00:00:57.100]  因為你打仗打得很多
[00:00:57.100 --> 00:01:02.300]  我很想你的兒子所羅門去建造這個殿
[00:01:02.300 --> 00:01:05.000]  所以他請所羅門建造這個殿
[00:01:05.000 --> 00:01:10.000]  那首歌講到這個殿是怎樣的
[00:01:10.000 --> 00:01:12.300]  然後他有第二幅圖畫
[00:01:12.300 --> 00:01:14.000]  他說很可惜
[00:01:14.000 --> 00:01:16.000]  當我們看到這個榮耀的殿
[00:01:16.000 --> 00:01:18.600]  一段時間很快翠
[00:01:18.600 --> 00:01:24.100]  原本是很慶賀的千千萬萬的羊牛
[00:01:24.100 --> 00:01:27.000]  是獻給上帝
[00:01:27.000 --> 00:01:30.000]  並且是所羅門向上帝祈求
[00:01:30.000 --> 00:01:32.300]  一會兒會和大家講
[00:01:32.300 --> 00:01:34.400]  所羅門向上帝祈求
[00:01:34.400 --> 00:01:36.600]  如果我們怎樣向你禱告
[00:01:36.600 --> 00:01:38.000]  怎樣在這裡獻祭
[00:01:38.000 --> 00:01:39.100]  你會祝福我們
[00:01:39.100 --> 00:01:41.100]  你會怎樣幫助我們
[00:01:41.100 --> 00:01:42.300]  如果我們首先犯罪
[00:01:42.300 --> 00:01:46.400]  我們在這個禱告獻祭這裡赦免我們的罪
