
[00:00:00.000 --> 00:00:02.080]  猶大書的作者猶大
[00:00:02.080 --> 00:00:06.320]  心朝如焚地寫信給他的弟兄姊妹
[00:00:06.320 --> 00:00:11.800]  他說你要為那個曾一次給過你們的信仰
[00:00:11.800 --> 00:00:15.960]  這個聖徒的信仰而奮力或者奮戰
[00:00:15.960 --> 00:00:21.640]  奮戰這個詞是一個充滿運動的動感的字詞
[00:00:21.640 --> 00:00:25.520]  原本在當時希臘的文化裏面就是用在運動員
[00:00:25.520 --> 00:00:27.480]  在場上對戰
[00:00:27.480 --> 00:00:28.520]  比賽
[00:00:28.520 --> 00:00:29.600]  很激烈
[00:00:29.680 --> 00:00:34.280]  彼此身心受到一個煎熬的地步的形式
[00:00:34.280 --> 00:00:40.360]  而在當中的運動員那種奮戰是代表他在這個激烈的對抗裏面
[00:00:40.360 --> 00:00:43.600]  他有一個決心去擊倒對手
[00:00:43.600 --> 00:00:47.960]  猶大就是這樣用這個字詞提醒我們
[00:00:47.960 --> 00:00:51.600]  各位弟兄姊妹你要為了你所得的信仰
[00:00:51.600 --> 00:00:55.080]  你有這份好像運動員一樣的奮戰的決心
[00:00:55.080 --> 00:00:56.360]  那種鬥志
[00:00:56.360 --> 00:00:59.240]  直到最後勝出這場比賽
[00:01:00.680 --> 00:01:02.680]  奮力作戰
[00:01:02.680 --> 00:01:05.520]  是今天我們要捉住的字詞
[00:01:05.520 --> 00:01:07.840]  守護著你已經得著
[00:01:07.840 --> 00:01:10.360]  一次給過你很完整
[00:01:10.360 --> 00:01:13.840]  不用再加東西的這個聖徒的信仰
[00:01:13.840 --> 00:01:18.040]  猶大書肯定是我們在新約裏面少讀的書
[00:01:18.040 --> 00:01:23.280]  作者猶大是誰呢?可能問十個人有一半都未必答到
[00:01:23.280 --> 00:01:26.440]  在第一節猶大這樣介紹自己
[00:01:26.440 --> 00:01:28.560]  他是雅各的弟兄猶大
[00:01:28.680 --> 00:01:31.960]  這位雅各就是當時大家都認識
[00:01:31.960 --> 00:01:34.080]  耶路撒冷教會的首領
[00:01:34.080 --> 00:01:36.800]  雅各也是耶穌基督的兄弟
[00:01:36.800 --> 00:01:39.360]  這個猶大是雅各的兄弟
[00:01:39.360 --> 00:01:41.960]  換言之他也是耶穌基督的兄弟
[00:01:41.960 --> 00:01:45.640]  其實在馬克福音六章曾經都列出過
[00:01:45.640 --> 00:01:49.600]  瑪利亞和約瑟所生的兒子還有另外幾位
[00:01:49.600 --> 00:01:52.160]  雅各、約瑟、猶大、西門
[00:01:52.160 --> 00:01:56.240]  所以這裏就見到這個猶大書的作者
[00:01:57.200 --> 00:02:00.400]  一般都認為就是耶穌基督的兄弟
[00:02:00.400 --> 00:02:01.720]  猶大自己
[00:02:01.720 --> 00:02:04.120]  這個猶大他經歷了很大的轉變
[00:02:04.120 --> 00:02:09.880]  他最初對於耶穌的兄弟是救主這件事很懷疑
[00:02:09.880 --> 00:02:12.840]  在約翰福音都曾經記載過
[00:02:12.840 --> 00:02:16.840]  耶穌的兄弟是不相信他就是微塞雅的
[00:02:16.840 --> 00:02:23.920]  和他一起生活了三十年的兄弟是你們口中所說的救主
[00:02:23.920 --> 00:02:26.640]  不是吧?所以他們個個都不相信
[00:02:27.400 --> 00:02:30.120]  但是到了耶穌受死復活之後
[00:02:30.120 --> 00:02:32.680]  這群兄弟真正相信了
[00:02:32.680 --> 00:02:36.720]  他真是救約瑟所應許的救世主微塞雅
[00:02:36.720 --> 00:02:40.680]  猶大這位兄弟也是這樣
[00:02:40.680 --> 00:02:43.960]  從此他自己就是這樣
[00:02:43.960 --> 00:02:46.600]  一直用剛才說的運動員的心態
[00:02:46.600 --> 00:02:53.640]  奮力守護著他終於用了很多年去明白的寶貴真理
[00:02:54.680 --> 00:02:58.400]  他奮勇作戰奮力堅守這個信仰
[00:02:58.400 --> 00:03:01.240]  突然之間這個猶大書很短的
[00:03:01.240 --> 00:03:05.960]  你上個星期去背我們的金句的時候你會發覺沒有章
[00:03:05.960 --> 00:03:11.440]  初期教會就是將這個猶大書分了節有25節
[00:03:11.440 --> 00:03:16.920]  裡面的內容你看過剛才聽了一些幾節的經文
[00:03:16.920 --> 00:03:19.920]  你發覺都不是我們常常讀到的一些內容
[00:03:20.520 --> 00:03:27.920]  而他其中的用詞在全本聖經裡面是猶大書用的字都有14個
[00:03:27.920 --> 00:03:29.920]  其他書卷沒有用過
[00:03:29.920 --> 00:03:32.920]  我們會分兩個星期去看猶大書
[00:03:32.920 --> 00:03:37.000]  今天我們會主要看前半三至十六節
