
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹
[00:00:02.000 --> 00:00:07.080]  對人沒有半點的寬容的人
[00:00:07.080 --> 00:00:09.080]  是很可怕的
[00:00:09.080 --> 00:00:11.080]  對人不寬容
[00:00:11.080 --> 00:00:13.080]  這類的朋友是很可怕的
[00:00:13.080 --> 00:00:18.640]  不過對罪惡寬容是更加可怕
[00:00:18.640 --> 00:00:22.880]  對一些罪惡的存在卻是寬容
[00:00:22.880 --> 00:00:25.640]  這種情況是更加可怕的
[00:00:25.640 --> 00:00:27.640]  因為對罪惡的寬容
[00:00:27.640 --> 00:00:30.720]  其實是對罪惡的一種參與
[00:00:30.720 --> 00:00:32.720]  其實是上帝所責備的
[00:00:32.720 --> 00:00:34.720]  基督
[00:00:34.720 --> 00:00:40.720]  在二弗所書第五章25-26節這樣記載的
[00:00:40.720 --> 00:00:42.720]  基督愛教會
[00:00:42.720 --> 00:00:44.720]  為教會捨己
[00:00:44.720 --> 00:00:47.720]  然後說把教會洗淨
[00:00:47.720 --> 00:00:49.720]  使它成為聖潔
[00:00:49.720 --> 00:00:52.720]  其實是出於這份愛
[00:00:52.720 --> 00:00:54.720]  出於這份愛
[00:00:54.720 --> 00:00:56.720]  祂就將我們擺置在一起
[00:00:56.720 --> 00:00:58.720]  特別是上個星期
[00:00:58.720 --> 00:01:00.720]  有11位弟兄姊妹
[00:01:00.720 --> 00:01:02.720]  在神和我們面前
[00:01:02.720 --> 00:01:04.720]  接受灑水禮
[00:01:04.720 --> 00:01:05.720]  我們都說了
[00:01:05.720 --> 00:01:07.720]  平時我們是用浸禮的方式
[00:01:07.720 --> 00:01:12.720]  是更加明明行動本身
[00:01:12.720 --> 00:01:15.720]  將人浸入水再出來
[00:01:15.720 --> 00:01:20.720]  是象徵著我們和基督同死同埋葬
[00:01:20.720 --> 00:01:22.720]  然後從死裏復活過來
[00:01:22.720 --> 00:01:24.720]  一種這樣的生命力
[00:01:24.720 --> 00:01:26.720]  不過疫情的緣故
[00:01:26.720 --> 00:01:28.720]  所以才用灑水的方式
[00:01:28.720 --> 00:01:32.720]  當然在特別的情況下
[00:01:32.720 --> 00:01:34.720]  在危急的情況下
[00:01:34.720 --> 00:01:37.720]  我們都會考慮用灑水的方式
[00:01:37.720 --> 00:01:39.720]  不過無論用甚麼方式
[00:01:39.720 --> 00:01:41.720]  其實這是象徵
[00:01:41.720 --> 00:01:43.720]  實質上耶穌基督愛我們
[00:01:43.720 --> 00:01:47.720]  所以將我們擺置在我們的救恩當中
[00:01:47.720 --> 00:01:48.720]  在祂的恩典裏面
[00:01:48.720 --> 00:01:50.720]  然後亦將我們擺在一起
[00:01:50.720 --> 00:01:52.720]  成為一間教會
[00:01:52.720 --> 00:01:55.720]  當然上帝的教會不單止只是柴浸
[00:01:55.720 --> 00:01:57.720]  還有很多其他
[00:01:57.720 --> 00:02:00.720]  尊崇耶穌基督為主的教會
[00:02:00.720 --> 00:02:03.720]  然後我們大家一齊來傳揚福音
[00:02:03.720 --> 00:02:04.720]  高舉基督
[00:02:04.720 --> 00:02:06.720]  更多人歸順
[00:02:06.720 --> 00:02:08.720]  以致參與其中
[00:02:08.720 --> 00:02:12.720]  歸入基督和基督的身體裏面
[00:02:12.720 --> 00:02:14.720]  所以基督愛教會
[00:02:14.720 --> 00:02:16.720]  祂是用自己的生命
[00:02:16.720 --> 00:02:18.720]  為教會來捨己
[00:02:18.720 --> 00:02:22.720]  而這個舉動就繼續去潔淨我們個人
[00:02:22.720 --> 00:02:24.720]  也潔淨我們這個群體
[00:02:24.720 --> 00:02:26.720]  成為聖傑
[00:02:26.720 --> 00:02:28.720]  不過就出於這份愛
[00:02:28.720 --> 00:02:31.720]  耶穌基督就在啟示錄當中
[00:02:31.720 --> 00:02:33.720]  寫信給七間教會
[00:02:33.720 --> 00:02:35.720]  過往我們看了幾間
[00:02:35.720 --> 00:02:40.720]  今日我們看別加摩教會和推亞推拉教會
[00:02:40.720 --> 00:02:42.720]  這兩間教會
[00:02:42.720 --> 00:02:46.720]  不單止是寫給他們的
[00:02:46.720 --> 00:02:49.720]  其實是寫給今天的教會
[00:02:49.720 --> 00:02:51.720]  這個情況是
[00:02:51.720 --> 00:02:54.720]  七封教會的書信都是這樣
[00:02:54.720 --> 00:02:56.720]  在第十七節
[00:02:56.720 --> 00:02:57.720]  第十七節
[00:02:57.720 --> 00:02:58.720]  聖經說
[00:02:58.720 --> 00:03:04.720]  「凡有耳朵的都應當聽聖靈向眾教會所說的話」
