
[00:00:00.000 --> 00:00:03.000]  今天和大家分享這篇簡文的時候
[00:00:03.000 --> 00:00:07.000]  我想和大家用一個比較的角度
[00:00:07.000 --> 00:00:10.000]  一個信仰的思考來比較
[00:00:10.000 --> 00:00:14.000]  我的題目是找真銀還是找真理
[00:00:14.000 --> 00:00:17.000]  我不和你解釋什麼是真銀和真理
[00:00:17.000 --> 00:00:22.000]  從一個很宏觀的角度去看一個重要的思考
[00:00:22.000 --> 00:00:25.000]  是捨棄放下自己
[00:00:25.000 --> 00:00:30.000]  承接著在《約翰福音》第十九章裡邊
[00:00:30.000 --> 00:00:32.000]  一路講述的言論
[00:00:32.000 --> 00:00:38.000]  就是當耶穌一路來到整個耶路撒冷裡邊
[00:00:38.000 --> 00:00:42.000]  祂將要走向十字架上面
[00:00:42.000 --> 00:00:44.000]  附上生命的日子的時候
[00:00:44.000 --> 00:00:46.000]  種種的遭遇
[00:00:46.000 --> 00:00:48.000]  祂來到去鼓勵身邊的人
[00:00:48.000 --> 00:00:53.000]  提醒他們來跟隨真理的時候
[00:00:53.000 --> 00:00:57.000]  帶來很多的感動的時候
[00:00:57.000 --> 00:01:02.000]  甚至乎連法利賽人都在驚訝
[00:01:02.000 --> 00:01:06.000]  世上的人都跟隨主了
[00:01:06.000 --> 00:01:08.000]  他們所做的一切
[00:01:08.000 --> 00:01:13.000]  途具形式的一切的宗教教導行為
[00:01:13.000 --> 00:01:18.000]  竟然就在這一刻來到去崩潰
[00:01:18.000 --> 00:01:21.000]  他們內心裡邊很不安的時候
[00:01:21.000 --> 00:01:25.000]  耶穌是接觸著法利賽人的驚訝
[00:01:25.000 --> 00:01:29.000]  世上的人都隨著耶穌了
[00:01:29.000 --> 00:01:30.000]  就在這個段落裡邊
[00:01:30.000 --> 00:01:35.000]  就出現了希臘人來去求問耶穌的事情
[00:01:35.000 --> 00:01:40.000]  我們一起同心來去禱告
[00:01:40.000 --> 00:01:45.000]  求祢聖靈的光照亮我們
[00:01:45.000 --> 00:01:48.000]  照亮我們內心的黑暗
[00:01:48.000 --> 00:01:53.000]  放下纏累著我們生命裡邊的種種黑暗
[00:01:53.000 --> 00:01:57.000]  讓我們能夠親近主祢
[00:01:57.000 --> 00:02:02.000]  願祢讓我們好好地在聖經裡邊學習
[00:02:02.000 --> 00:02:05.000]  去認識這位創造生命
[00:02:05.000 --> 00:02:08.000]  創始成中的耶穌基督
[00:02:08.000 --> 00:02:10.000]  求聖靈帶領著我們
[00:02:10.000 --> 00:02:12.000]  在我們一會兒的時間
[00:02:12.000 --> 00:02:14.000]  願祢讓人有限的智慧
[00:02:14.000 --> 00:02:16.000]  愚拙的學識
[00:02:16.000 --> 00:02:21.000]  不足以去完完全全地去講述上帝的真理的時候
[00:02:21.000 --> 00:02:25.000]  願聖靈親自來教導之人
[00:02:25.000 --> 00:02:27.000]  我們祈禱奉耶穌基督的聖名祈求
[00:02:27.000 --> 00:02:28.000]  阿門
[00:02:47.000 --> 00:02:49.000]  因為這個洩底
[00:02:49.000 --> 00:02:54.000]  就已經令我們有一個警覺性
[00:02:54.000 --> 00:02:56.000]  我們開始計數
[00:02:56.000 --> 00:02:59.000]  原來我們每天都在計數
[00:02:59.000 --> 00:03:01.000]  計數這門功夫
[00:03:01.000 --> 00:03:04.000]  在我們日常生活裡邊是不可缺少的
[00:03:04.000 --> 00:03:09.000]  我相信我們雖然不會封自己為數學家
[00:03:09.000 --> 00:03:12.000]  但是如果我說你會計數嗎?
[00:03:12.000 --> 00:03:14.000]  你不會計數的
[00:03:14.000 --> 00:03:16.000]  你不會那麼甘心
[00:03:16.000 --> 00:03:18.000]  我怎會不會計數?
[00:03:18.000 --> 00:03:22.000]  你一定會堅持我會計數
[00:03:22.000 --> 00:03:24.000]  為什麼?
[00:03:24.000 --> 00:03:27.000]  我會懂得去找好東西
[00:03:27.000 --> 00:03:30.000]  我不會洩底的
[00:03:30.000 --> 00:03:31.000]  的確
[00:03:31.000 --> 00:03:33.000]  計數這東西
[00:03:33.000 --> 00:03:35.000]  是我們天生的本能
[00:03:35.000 --> 00:03:39.000]  因為我們是比較去做選擇
[00:03:39.000 --> 00:03:43.000]  不過我想你記住一條數學的概念
[00:03:43.000 --> 00:03:45.000]  真的是數學概念
[00:03:45.000 --> 00:03:47.000]  任何數乘以無限大
[00:03:47.000 --> 00:03:48.000]  是等於什麼?
[00:03:48.000 --> 00:03:50.000]  無限大
[00:03:50.000 --> 00:03:53.000]  任何數乘以一
[00:03:53.000 --> 00:03:54.000]  不是一
[00:03:54.000 --> 00:03:56.000]  都是一個質數
[00:03:56.000 --> 00:03:58.000]  質數是有限的
[00:03:58.000 --> 00:04:00.000]  就是說在這兩個題目裡邊
[00:04:00.000 --> 00:04:02.000]  你就知道一個是無限大
[00:04:02.000 --> 00:04:06.000]  一個是有限
[00:04:06.000 --> 00:04:09.000]  如果我問你
[00:04:09.000 --> 00:04:11.000]  沒有回報沒有增益的投資
[00:04:11.000 --> 00:04:13.000]  你會不會做呢?
[00:04:13.000 --> 00:04:17.000]  一定不會
[00:04:17.000 --> 00:04:21.000]  什麼值得我們好好去投資呢?
[00:04:21.000 --> 00:04:26.000]  這個就是我們計數的本能
[00:04:26.000 --> 00:04:29.000]  任何人都會期望自己的投資
[00:04:29.000 --> 00:04:31.000]  能夠得到回報
[00:04:31.000 --> 00:04:34.000]  就是說要增值
[00:04:34.000 --> 00:04:36.000]  這個就是我們現在現代社會
[00:04:36.000 --> 00:04:42.000]  很強調很推崇的自我增值概念的基本
[00:04:42.000 --> 00:04:45.000]  終身學習
[00:04:45.000 --> 00:04:49.000]  看似都很崇高理想
[00:04:49.000 --> 00:04:50.000]  其實很辛苦的
[00:04:50.000 --> 00:04:52.000]  你想想如果要一個80歲的人讀希臘文
[00:04:52.000 --> 00:04:56.000]  要一個90歲的人背希伯來文
[00:04:56.000 --> 00:04:58.000]  你願不願意呢?
[00:04:58.000 --> 00:05:00.000]  70歲開始學鋼琴
[00:05:00.000 --> 00:05:01.000]  我不知道行不行呢?
[00:05:01.000 --> 00:05:03.000]  終身學習
[00:05:03.000 --> 00:05:04.000]  為了增值
[00:05:04.000 --> 00:05:08.000]  為了保障自己
[00:05:08.000 --> 00:05:11.000]  為了把握美好的將來
[00:05:11.000 --> 00:05:13.000]  懂得計數就變得很重要
[00:05:13.000 --> 00:05:17.000]  去找增值的事情就很重要
[00:05:17.000 --> 00:05:20.000]  增值保障自己
[00:05:20.000 --> 00:05:25.000]  不吃虧充斥著後現代的社會
[00:05:25.000 --> 00:05:27.000]  大學生做巴士司機
[00:05:27.000 --> 00:05:30.000]  讀完法律專業去做神父
[00:05:30.000 --> 00:05:32.000]  讀完大學去做宣教士
[00:05:32.000 --> 00:05:36.000]  不做名醫去做義務醫生
[00:05:36.000 --> 00:05:38.000]  我相信在很多人的眼中
[00:05:38.000 --> 00:05:40.000]  這些事情都是不切實際的
[00:05:40.000 --> 00:05:44.000]  是一個吃虧的投資
[00:05:44.000 --> 00:05:46.000]  不知道信了耶穌的你
[00:05:46.000 --> 00:05:49.000]  你又怎麼計這些數呢?
[00:05:49.000 --> 00:05:51.000]  有很多人認為做傳道人的工作
[00:05:51.000 --> 00:05:53.000]  是一個很大的犧牲
[00:05:53.000 --> 00:05:57.000]  因為要放下以前那些高薪
[00:05:57.000 --> 00:05:59.000]  好環境
[00:05:59.000 --> 00:06:02.000]  是不是真的這樣的呢?
[00:06:02.000 --> 00:06:03.000]  吃虧呢?
[00:06:03.000 --> 00:06:05.000]  不單止傳道人
[00:06:05.000 --> 00:06:09.000]  就算是我們那些平信徒
[00:06:09.000 --> 00:06:12.000]  要認認真真去跟隨耶穌那些
[00:06:12.000 --> 00:06:13.000]  其實都不是平信徒
[00:06:13.000 --> 00:06:14.000]  不便宜的
[00:06:14.000 --> 00:06:15.000]  一點都不便宜
[00:06:15.000 --> 00:06:16.000]  是重價買熟的
[00:06:16.000 --> 00:06:20.000]  在很多人眼中都會被認為是吃虧的
