
[00:00:00.000 --> 00:00:05.000]  曾經有人說過,人的一生都是不斷去追求愛
[00:00:05.000 --> 00:00:09.000]  人用很多的努力去建立自己
[00:00:09.000 --> 00:00:13.000]  好讓他能夠得到別人的認同、別人的愛
[00:00:13.000 --> 00:00:19.000]  自己亦都不斷地去努力、去付出
[00:00:19.000 --> 00:00:21.000]  很想他身邊所愛的人
[00:00:21.000 --> 00:00:25.000]  能夠去經歷那份很溫暖的愛
[00:00:25.000 --> 00:00:29.000]  我們感謝上帝,因為我們能夠經歷愛的源頭
[00:00:29.000 --> 00:00:33.000]  每一個信主耶穌的人能夠經歷神那種很奇妙的愛
[00:00:33.000 --> 00:00:35.000]  這是何等寶貴
[00:00:35.000 --> 00:00:38.000]  很多人都喜歡看童話
[00:00:38.000 --> 00:00:42.000]  因為童話裏面的愛是有結果的
[00:00:42.000 --> 00:00:46.000]  童話裏面我們能夠經歷那些的愛
[00:00:46.000 --> 00:00:49.000]  很真摯、沒有瑕疵
[00:00:49.000 --> 00:00:51.000]  所以我們每次說童話故事
[00:00:51.000 --> 00:00:54.000]  我們就會說Once upon a time
[00:00:54.000 --> 00:00:57.000]  從前很久很久以前
[00:00:57.000 --> 00:00:59.000]  然後最後我們會說
[00:00:59.000 --> 00:01:04.000]  那個很美麗的公主和很英偉的王子
[00:01:04.000 --> 00:01:10.000]  他們結合然後一起住在城堡裏面
[00:01:10.000 --> 00:01:14.000]  快快樂樂、開開心心、幸幸福福地
[00:01:14.000 --> 00:01:16.000]  直到永遠
[00:01:16.000 --> 00:01:24.000]  今天的講道就讓我用一個好像童話一樣的開始
[00:01:25.000 --> 00:01:28.000]  從前在很久很久以前
[00:01:28.000 --> 00:01:32.000]  有一個地方有一個女子
[00:01:32.000 --> 00:01:34.000]  她的背景沒有什麼特別
[00:01:34.000 --> 00:01:37.000]  甚至在另一個民族體內
[00:01:37.000 --> 00:01:42.000]  是一些我們不笑、不值得欣賞的背景
[00:01:42.000 --> 00:01:47.000]  這個女子有一個比較可憐的身世
[00:01:47.000 --> 00:01:53.000]  她在她的地方裏面遇到在外地搬來的她的丈夫
[00:01:53.000 --> 00:01:55.000]  她的丈夫一家四口
[00:01:55.000 --> 00:01:58.000]  有她的父母也有另一個兄弟
[00:01:58.000 --> 00:02:03.000]  她和她的兄弟都同樣娶了這個地方裏面的女子
[00:02:03.000 --> 00:02:04.000]  為她的妻子
[00:02:04.000 --> 00:02:06.000]  但短短十年間
[00:02:06.000 --> 00:02:09.000]  竟然這個家庭裏面每一個男人都死去
[00:02:09.000 --> 00:02:12.000]  老爺死去兩個兄弟都死去
[00:02:12.000 --> 00:02:15.000]  這個女子成為了一個寡婦
[00:02:15.000 --> 00:02:20.000]  在當時的時代沒有丈夫好像什麼都沒有一樣
[00:02:20.000 --> 00:02:23.000]  不單是這樣
[00:02:23.000 --> 00:02:25.000]  她的婆婆竟然跟他們說
[00:02:25.000 --> 00:02:27.000]  我想回到我自己的地方
[00:02:27.000 --> 00:02:28.000]  你們留下吧
[00:02:28.000 --> 00:02:30.000]  你們不要跟著我
[00:02:30.000 --> 00:02:34.000]  但這個女子其實她和她的婆婆一樣什麼都沒有
[00:02:34.000 --> 00:02:35.000]  沒有丈夫
[00:02:35.000 --> 00:02:37.000]  而這個婆婆更慘沒有子女
[00:02:37.000 --> 00:02:39.000]  其實這個女子都沒有子女
[00:02:39.000 --> 00:02:40.000]  沒有所依求
[00:02:40.000 --> 00:02:42.000]  但她看著自己
[00:02:42.000 --> 00:02:45.000]  她是不是應該還有青春有自由呢
[00:02:45.000 --> 00:02:46.000]  這個婆婆就這樣說
[00:02:46.000 --> 00:02:47.000]  你走吧
[00:02:47.000 --> 00:02:48.000]  你再嫁個夫君
[00:02:48.000 --> 00:02:49.000]  再找自己的人生
[00:02:49.000 --> 00:02:51.000]  不要跟著我
[00:02:51.000 --> 00:02:53.000]  這個女子什麼都沒有
[00:02:53.000 --> 00:02:55.000]  但她有一樣東西
[00:02:55.000 --> 00:02:57.000]  她有愛
[00:02:57.000 --> 00:03:00.000]  她就把自己安靜下來
[00:03:00.000 --> 00:03:02.000]  或者這麼說
[00:03:02.000 --> 00:03:05.000]  她唯一可以拿著的那份愛
[00:03:05.000 --> 00:03:07.000]  她堅定地去愛這個婆婆
[00:03:07.000 --> 00:03:08.000]  她說婆婆不是
[00:03:08.000 --> 00:03:09.000]  我要跟著你
[00:03:09.000 --> 00:03:11.000]  你去哪裏我就跟著你去哪裏
[00:03:11.000 --> 00:03:12.000]  你在哪裏住宿
[00:03:12.000 --> 00:03:13.000]  我又跟著你住宿
[00:03:13.000 --> 00:03:14.000]  你的國是我的國
[00:03:14.000 --> 00:03:16.000]  你的神是我的神
[00:03:16.000 --> 00:03:18.000]  就算你死
[00:03:18.000 --> 00:03:20.000]  我仍然要跟著你
[00:03:20.000 --> 00:03:21.000]  你葬在哪裏
[00:03:21.000 --> 00:03:24.000]  我就葬在哪裏
[00:03:24.000 --> 00:03:26.000]  這個女子
[00:03:26.000 --> 00:03:27.000]  她雖然窮
[00:03:27.000 --> 00:03:29.000]  她的身世不是特別好
[00:03:29.000 --> 00:03:30.000]  但她拿起她自己
[00:03:30.000 --> 00:03:32.000]  可以自由運用的愛
[00:03:32.000 --> 00:03:36.000]  堅定地去追隨她的婆婆
[00:03:36.000 --> 00:03:38.000]  這個女子帶著愛
[00:03:38.000 --> 00:03:40.000]  不知道是愛感動了上天
[00:03:40.000 --> 00:03:43.000]  還是上天起了她的愛
[00:03:43.000 --> 00:03:44.000]  她走到
[00:03:44.000 --> 00:03:45.000]  跟著她的婆婆
[00:03:45.000 --> 00:03:48.000]  去到那個地方
[00:03:48.000 --> 00:03:49.000]  她的腳中
[00:03:49.000 --> 00:03:50.000]  每到一個地方
[00:03:50.000 --> 00:03:52.000]  無論她很卑微地去田間
[00:03:52.000 --> 00:03:54.000]  撿人家剩下來的東西
[00:03:54.000 --> 00:03:56.000]  那些工人也都一待她
[00:03:56.000 --> 00:03:57.000]  去到那個田間
[00:03:57.000 --> 00:04:00.000]  竟然遇上一個大好人的財主
[00:04:00.000 --> 00:04:03.000]  一個更加是她近親的一個人
[00:04:03.000 --> 00:04:04.000]  原來當時那個地方
[00:04:04.000 --> 00:04:06.000]  那些律法說
[00:04:06.000 --> 00:04:08.000]  如果那個人離開世界
[00:04:08.000 --> 00:04:09.000]  他至近的親屬
[00:04:09.000 --> 00:04:12.000]  需要娶那個人的太太為妻子
[00:04:12.000 --> 00:04:14.000]  並且為她留下後代
[00:04:14.000 --> 00:04:18.000]  用她的金錢去贖回她的田地
[00:04:18.000 --> 00:04:19.000]  我再說這個女人
[00:04:19.000 --> 00:04:20.000]  其實什麼都沒有
[00:04:20.000 --> 00:04:23.000]  不過她有愛
[00:04:23.000 --> 00:04:24.000]  她走過的地方
[00:04:24.000 --> 00:04:27.000]  好像彷彿變了一個愛的地方
[00:04:27.000 --> 00:04:28.000]  她見到的
[00:04:28.000 --> 00:04:30.000]  盡是能夠幫助她的人
[00:04:30.000 --> 00:04:32.000]  她投靠這個人
[00:04:32.000 --> 00:04:34.000]  而這個人就盡了這個的本份
[00:04:34.000 --> 00:04:36.000]  娶了她為妻
[00:04:36.000 --> 00:04:38.000]  在這個故事的結尾
[00:04:38.000 --> 00:04:41.000]  就好像童話一樣
[00:04:41.000 --> 00:04:43.000]  這對好人的男女
