
[00:00:00.000 --> 00:00:03.200]  好啦 我哋今晚一定會講完哂嗰啲嘅王㗎喇
[00:00:03.200 --> 00:00:06.840]  咁原來喺北邊嘅國家呢 我哋講淨一個王㗎啫
[00:00:06.840 --> 00:00:10.460]  北邊嘅國家就叫做「河西亞」
[00:00:10.460 --> 00:00:11.960]  或者
[00:00:11.960 --> 00:00:13.960]  聖經一個好大嘅困難㗎
[00:00:13.960 --> 00:00:17.600]  聶王記同埋歷代字嘅翻譯都可以唔同㗎
[00:00:17.600 --> 00:00:19.280]  佢叫「河西亞」吖嘛
[00:00:19.280 --> 00:00:22.240]  但係另外一卷書就叫「河西亞」
[00:00:22.240 --> 00:00:23.240]  「河西亞」
[00:00:23.240 --> 00:00:25.040]  咁呢 所以呢
[00:00:25.040 --> 00:00:27.360]  所以而家你留意到而家啲聖經呢
[00:00:27.360 --> 00:00:28.400]  即係新譯嗰啲呢
[00:00:28.400 --> 00:00:30.000]  就會統一哂一個嘅名字
[00:00:30.000 --> 00:00:30.960]  如果唔係我哋好亂㗎
[00:00:30.960 --> 00:00:32.080]  你明唔明我個意思
[00:00:32.080 --> 00:00:33.400]  好啦「河西亞」
[00:00:33.400 --> 00:00:35.880]  咁呢佢就係以色列最後一個王
[00:00:35.880 --> 00:00:37.720]  叫「末代皇帝」
[00:00:37.720 --> 00:00:39.920]  清朝末代皇帝叫咩呀
[00:00:39.920 --> 00:00:40.560]  「普爾」
[00:00:40.560 --> 00:00:41.240]  係喇 咁大家好
[00:00:41.240 --> 00:00:42.200]  咁你記住呢
[00:00:42.200 --> 00:00:44.200]  北角最後個皇帝叫乜嘢
[00:00:44.200 --> 00:00:45.360]  「河西亞」
[00:00:45.360 --> 00:00:46.400]  咁要容易啲記呢
[00:00:46.400 --> 00:00:47.480]  就係「河西亞」都得嘅
[00:00:47.480 --> 00:00:48.120]  咁呢就係
[00:00:48.120 --> 00:00:50.440]  但係唔同舊約「河西亞」書嗰個啦
[00:00:50.440 --> 00:00:51.880]  咁呢佢就係點樣呢
[00:00:51.880 --> 00:00:53.680]  嗰陣時
[00:00:53.680 --> 00:00:54.800]  考下大家
[00:00:54.800 --> 00:00:55.920]  最早期你記唔記得
[00:00:55.920 --> 00:00:58.880]  我哋成日欺負以色列國嗰個係咩國家
[00:00:58.880 --> 00:01:00.320]  喺北面嘅叫做
[00:01:00.320 --> 00:01:02.840]  阿瑞個老公定老婆呀
[00:01:02.840 --> 00:01:03.920]  阿蘭係喇
[00:01:03.920 --> 00:01:06.960]  阿蘭係一路嘅好強吖嘛
[00:01:06.960 --> 00:01:09.480]  咁但係開始阿蘭沒落啦
[00:01:09.480 --> 00:01:11.520]  就出現咗兩個嘅大國
[00:01:11.520 --> 00:01:13.520]  你記住仲未有巴比倫
[00:01:13.520 --> 00:01:16.240]  一個就叫做阿述
