
[00:00:00.000 --> 00:00:02.640]  在全圖書裏面大家如果看這個結語
[00:00:02.640 --> 00:00:06.120]  是寫著全圖書三章十一節
[00:00:06.120 --> 00:00:09.020]  這節聖經是很厲害很重要的
[00:00:09.020 --> 00:00:11.200]  為甚麼你說這麼厲害這麼重要呢
[00:00:11.200 --> 00:00:14.920]  因為在這個人世間裏面有一個很重要的問題
[00:00:14.920 --> 00:00:17.280]  很多人都嘗試去解答
[00:00:17.280 --> 00:00:19.640]  是回答不到的
[00:00:19.640 --> 00:00:22.920]  為了回答人覺得是不滿意的
[00:00:22.920 --> 00:00:27.320]  最近有人問類似的問題 裏面有關的問題
[00:00:27.320 --> 00:00:31.440]  就問了一個牧師 問這個全圖 又問這個全圖
[00:00:31.440 --> 00:00:35.400]  然後他說最忠肯都是牧師講的答案
[00:00:35.400 --> 00:00:39.240]  人家說究竟牧師講甚麼 大家知不知道
[00:00:39.240 --> 00:00:42.680]  聰明的你已經想到了 想到沒有
[00:00:42.680 --> 00:00:45.560]  牧師說我不知道
[00:00:45.560 --> 00:00:49.360]  牧師說我不知道
[00:00:49.360 --> 00:00:51.440]  答案是甚麼我不知道
[00:00:51.440 --> 00:00:53.880]  但這個是最忠肯的答案
[00:00:53.880 --> 00:00:59.040]  因為這個世界裏面有些東西我們要承認是我們不知不明的
[00:00:59.040 --> 00:01:02.960]  很簡單的 神在哪裏來你告訴我
[00:01:02.960 --> 00:01:05.520]  如果你告訴我神在哪裏來的時候
[00:01:05.520 --> 00:01:07.800]  我就找那個不找這個
[00:01:07.800 --> 00:01:10.680]  對不對 大家明白我的意思嗎
[00:01:10.680 --> 00:01:12.600]  所以這個世界裏面其實有些東西
[00:01:12.600 --> 00:01:15.960]  我們人很嘗試去尋求答案
[00:01:15.960 --> 00:01:18.080]  但根本是沒有答案的
[00:01:18.080 --> 00:01:21.880]  不是說沒有答案 是我們的腦沒辦法明白答案
[00:01:21.880 --> 00:01:24.440]  我們的腦沒辦法想到這個答案
[00:01:24.440 --> 00:01:27.520]  我相信就算我們再想多幾百年幾千年
[00:01:27.520 --> 00:01:30.640]  都不會想到這個答案 為甚麼呢
[00:01:30.640 --> 00:01:32.880]  我們看看這節經文
[00:01:32.880 --> 00:01:35.680]  我昨天在教會的辦公室
[00:01:35.680 --> 00:01:38.840]  就和另一位幹事傾談
[00:01:38.840 --> 00:01:41.600]  我就和他分享這節經文
[00:01:41.600 --> 00:01:43.760]  分享的時候 另一位幹事說
[00:01:43.760 --> 00:01:49.480]  牧師 這節經文不是解答了那次那個人問的問題嗎
[00:01:49.480 --> 00:01:51.760]  我們看看這節經文
[00:01:51.760 --> 00:01:53.840]  在這節經文裏面 傳道書說
[00:01:53.840 --> 00:01:56.600]  神造萬物 記住第幾章
[00:01:56.600 --> 00:01:59.880]  311 誰不記得311的舉手
[00:01:59.880 --> 00:02:01.480]  311很容易記 為甚麼
[00:02:01.480 --> 00:02:03.000]  大家知道是甚麼事
[00:02:03.000 --> 00:02:06.400]  Sulami 不是Salami 是Sulami
[00:02:06.400 --> 00:02:08.840]  是311 大家記得 是不是
[00:02:08.840 --> 00:02:12.320]  911大家都很記得 是甚麼
[00:02:12.320 --> 00:02:15.720]  311傳道書三章十一字 聖經怎樣說
[00:02:15.720 --> 00:02:20.400]  神造萬物 國安其事成為美好
[00:02:20.400 --> 00:02:25.240]  又將永恆放在 安放在世人心裏
[00:02:25.240 --> 00:02:28.560]  首先這裏有個很重要的字眼
[00:02:28.560 --> 00:02:31.040]  如果你手裏拿的那本是和合本
[00:02:31.040 --> 00:02:32.480]  它應該不是這樣譯法
[00:02:32.480 --> 00:02:35.680]  它說叫做 又將永生放在世人心裏
[00:02:35.680 --> 00:02:37.200]  對不對 是永生
[00:02:37.200 --> 00:02:40.360]  但那是錯誤的翻譯 是不正確的翻譯
[00:02:40.360 --> 00:02:42.240]  應該譯作永恆
[00:02:42.240 --> 00:02:45.840]  因為跟著第三章十四節 過幾節之後
[00:02:45.840 --> 00:02:47.600]  在原文同一個字 Alam
[00:02:47.600 --> 00:02:48.800]  在希伯來文 Alam
[00:02:48.800 --> 00:02:51.000]  同一個字 同一個節 但譯作甚麼呢
[00:02:51.000 --> 00:02:52.600]  就不譯作永生
[00:02:52.600 --> 00:02:54.200]  要譯作永恆才合理
[00:02:54.200 --> 00:02:56.600]  因為你不譯作永恆是不合理的
[00:02:56.600 --> 00:02:58.160]  所以其實這裏是說甚麼
[00:02:58.160 --> 00:03:00.600]  是神當祂創造萬物的時候
[00:03:00.600 --> 00:03:03.040]  國安其事成為美好
[00:03:03.040 --> 00:03:04.240]  甚麼國安其事呢
[00:03:04.240 --> 00:03:06.520]  大家很知道在傳道書第三章
[00:03:06.520 --> 00:03:07.480]  很出名的是甚麼
[00:03:07.480 --> 00:03:10.520]  就是生有時死有時 甚麼有時甚麼有時
[00:03:10.520 --> 00:03:13.000]  讀書有時不讀書有時 玩有時不玩有時
[00:03:13.000 --> 00:03:16.520]  大家是不是 記得 我只是多作幾句內容而已
[00:03:16.520 --> 00:03:19.960]  所以國安其事成為美好
[00:03:19.960 --> 00:03:22.640]  因為在神的掌握當中
[00:03:22.640 --> 00:03:24.520]  在神的計劃當中
[00:03:24.520 --> 00:03:26.480]  甚麼是好 甚麼是不好
[00:03:26.480 --> 00:03:28.200]  甚麼是出現 甚麼是不出現
[00:03:28.200 --> 00:03:32.000]  是合還是離 生還是死
[00:03:32.000 --> 00:03:34.160]  是贏還是輸
[00:03:34.160 --> 00:03:37.200]  你別以為說輸當然不好 死當然不好
[00:03:37.200 --> 00:03:40.640]  不是一定的
[00:03:40.640 --> 00:03:42.560]  試過有一個國家
[00:03:42.560 --> 00:03:44.720]  他打輸了一場仗
[00:03:44.720 --> 00:03:48.000]  就因為輸了那場仗他痛定思痛
[00:03:48.000 --> 00:03:53.680]  於是乎他再一次精心去練他的兵
[00:03:53.680 --> 00:03:56.760]  和是要一雪前恥
[00:03:56.760 --> 00:04:00.160]  所以接著整個國家不是很多人
[00:04:00.160 --> 00:04:04.600]  他們結果接著那場仗是以寡敵眾被他贏了
[00:04:04.600 --> 00:04:07.200]  就是因為他輸了一場仗
[00:04:07.200 --> 00:04:08.560]  所以他才會這樣
[00:04:08.560 --> 00:04:11.000]  全個國家是同心合意
[00:04:11.000 --> 00:04:13.880]  一起努力去抗敵
[00:04:13.880 --> 00:04:16.640]  所以我們在這個世界裏面
[00:04:16.640 --> 00:04:18.800]  很多事我們不知道為甚麼
[00:04:18.800 --> 00:04:20.360]  為甚麼我那麼喜歡那個女孩
[00:04:20.360 --> 00:04:21.280]  她不喜歡我
