
[00:00:00.000 --> 00:00:03.840]  第一次每天早晨很高興能夠今天再次和大家一起見面
[00:00:03.840 --> 00:00:06.900]  去崇拜並且學習神的話語
[00:00:06.900 --> 00:00:08.480]  讓我們聆聽主導的意思
[00:00:08.480 --> 00:00:10.500]  讓我們一起再次低頭禱告
[00:00:10.500 --> 00:00:12.700]  仰望主於我們的神的面前
[00:00:12.700 --> 00:00:15.160]  讓我們一起同心低頭禱告
[00:00:15.160 --> 00:00:16.200]  慈悲的天父多謝祢
[00:00:16.200 --> 00:00:20.640]  讓我們能夠再次回來在祢的說話的面前學習
[00:00:20.640 --> 00:00:23.860]  求祢讓我們能夠在今天的敬拜裏面
[00:00:23.860 --> 00:00:25.560]  藉著祢的話語
[00:00:25.560 --> 00:00:29.340]  成就我們生命更豐富的地方
[00:00:29.340 --> 00:00:31.680]  也讓我們能夠真正知道
[00:00:31.680 --> 00:00:34.680]  如何在這個有限的日子裏面
[00:00:34.680 --> 00:00:38.600]  我們如何活出屬主祢應有的生命
[00:00:38.600 --> 00:00:41.400]  求祢的聖靈與我們同在
[00:00:41.400 --> 00:00:42.320]  我們同心的禱告
[00:00:42.320 --> 00:00:44.860]  奉靠主耶穌得聖名自求
[00:00:44.860 --> 00:00:46.160]  阿們
[00:00:46.160 --> 00:00:49.260]  好 今天和大家一起去分享的經文
[00:00:49.260 --> 00:00:53.920]  仍然是出自這個約爾書的第三章
[00:00:53.920 --> 00:00:55.640]  今天會看多一點的經文
[00:00:55.640 --> 00:00:58.520]  從第四節至第八節的經文
[00:00:58.520 --> 00:01:00.720]  今天所說的主題叫做
[00:01:00.720 --> 00:01:08.520]  「自作孽 神追究 Inescapable Judgement of God on Our Sin」
[00:01:08.520 --> 00:01:11.520]  好 今天開始說到這裏
[00:01:11.520 --> 00:01:14.020]  或者讓我們去給個機會
[00:01:14.020 --> 00:01:18.440]  我和大家一起去看看一些有關歷史的事情
[00:01:18.440 --> 00:01:21.440]  在中國的古代裏面
[00:01:21.440 --> 00:01:24.480]  曾經有一段時間叫做三國的時期
[00:01:24.480 --> 00:01:31.920]  當時有三個國家偽屬吾這三個主要的國家
[00:01:31.920 --> 00:01:38.080]  當時這三個國家可以說是在中國歷史上頂足而立
[00:01:38.080 --> 00:01:43.960]  於是每一個國家都希望能夠吞併其它的國家
[00:01:43.960 --> 00:01:49.080]  而其中一個國家裏面的首相或者叫做丞相
[00:01:49.080 --> 00:01:51.000]  就叫做諸葛亮
[00:01:51.000 --> 00:01:56.520]  諸葛亮當時是屬國當中的丞相
[00:01:56.520 --> 00:02:00.760]  他曾經有很多都很出名的一些說話
[00:02:00.760 --> 00:02:03.360]  譬如有一句說話他這樣說過
[00:02:03.360 --> 00:02:09.400]  「勿以惡小而為之 勿以善小而不為」
[00:02:09.400 --> 00:02:11.680]  意思就是說 如果當我們以為
[00:02:11.680 --> 00:02:14.960]  一些只是小小的錯的事情
[00:02:14.960 --> 00:02:16.200]  很小的而已
