
[00:00:00.000 --> 00:00:07.420]  詩篇裏有很多首歌充滿了奇妙的因典
[00:00:07.420 --> 00:00:12.300]  如果有一天你知道自己忽然患了一個大病
[00:00:12.300 --> 00:00:14.740]  你心裏很焦急
[00:00:14.740 --> 00:00:18.140]  你渴求天父來醫治你
[00:00:18.140 --> 00:00:20.600]  於是你很懇切的祈禱
[00:00:20.600 --> 00:00:22.740]  純聽了你的禱告
[00:00:22.740 --> 00:00:25.740]  祂讓你看到一個很好的醫生
[00:00:25.740 --> 00:00:31.620]  可能透過手術 透過藥物 讓你的病得著痊癒
[00:00:31.620 --> 00:00:34.620]  甚至有些是患了癌症的
[00:00:34.620 --> 00:00:38.720]  他需要開刀將腫瘤切除
[00:00:38.720 --> 00:00:41.720]  然後繼續接受化療 電療
[00:00:41.720 --> 00:00:47.600]  但神保守他 一切的過程是出乎意料之外
[00:00:47.600 --> 00:00:51.480]  很平安 很經歷神的恩典
[00:00:51.480 --> 00:00:56.280]  或者你是做生意的 最近疫情這麼嚴峻
[00:00:56.280 --> 00:01:00.000]  你的生意受到很大的衝擊
[00:01:00.000 --> 00:01:01.700]  你不知道怎麼辦
[00:01:01.700 --> 00:01:04.920]  可能你亦都向神呼求
[00:01:04.920 --> 00:01:08.700]  今天我想送一篇詩篇給大家
[00:01:08.700 --> 00:01:12.460]  大家可以打開慢慢來讀
[00:01:12.460 --> 00:01:16.760]  這篇詩篇是詩篇三十篇
[00:01:16.760 --> 00:01:18.760]  我給它一個名字
[00:01:18.760 --> 00:01:24.600]  就是「為何我要歌頌清者神?」
[00:01:24.600 --> 00:01:26.820]  不知你有時會否問
[00:01:26.820 --> 00:01:28.820]  為何我還要感恩?
[00:01:28.820 --> 00:01:31.180]  為何我還要讚美祂?
[00:01:31.180 --> 00:01:34.080]  為何我還要歌頌我的神?
[00:01:34.080 --> 00:01:37.120]  好像我都跌入了一個困境
[00:01:37.120 --> 00:01:40.080]  我跌入了一個爛處裏面
[00:01:40.080 --> 00:01:42.580]  這篇詩是誰作的呢?
[00:01:42.580 --> 00:01:46.080]  相傳都是大衛作的
[00:01:46.080 --> 00:01:50.660]  因為這篇詩是講到神救拔他之後
[00:01:50.660 --> 00:01:53.440]  他的經歷
[00:01:53.440 --> 00:01:56.800]  有些人說大衛可能是患病
[00:01:56.800 --> 00:02:02.180]  或者有人說以色列人在歷史裏面曾經試過
[00:02:02.180 --> 00:02:04.060]  大衛他很自恃
[00:02:04.060 --> 00:02:06.480]  他就去數點人數
[00:02:06.480 --> 00:02:08.920]  結果神很不喜悅
[00:02:08.920 --> 00:02:10.720]  因為他數點人數之後
[00:02:10.720 --> 00:02:12.340]  以為自己很厲害
