
[00:00:00.000 --> 00:00:03.500]  剛纔讀出的經文
[00:00:03.500 --> 00:00:08.000]  就是撒姆爾記上的第十八章
[00:00:08.000 --> 00:00:10.000]  在這一章之前
[00:00:10.000 --> 00:00:14.500]  我們要看得見一個簡單的回顧
[00:00:14.500 --> 00:00:21.000]  就是我們需要重溫撒姆爾記上一個簡單的脈絡
[00:00:21.000 --> 00:00:24.000]  其實從第一至第八章
[00:00:24.000 --> 00:00:27.000]  就是在講撒姆爾他的出生
[00:00:27.000 --> 00:00:30.500]  神揀選了他作爲先知
[00:00:30.500 --> 00:00:32.500]  帶領以色列人
[00:00:32.500 --> 00:00:35.000]  但是以色列人羨慕
[00:00:35.000 --> 00:00:38.500]  或者是嫉妒外邦人的生活
[00:00:38.500 --> 00:00:41.000]  他們不要撒姆爾了
[00:00:41.000 --> 00:00:44.500]  就叫撒姆爾幫他們去立一個王
[00:00:44.500 --> 00:00:47.500]  想國家變得強大
[00:00:47.500 --> 00:00:51.000]  但是其實以色列人不要的並非撒姆爾
[00:00:51.000 --> 00:00:55.500]  他們不要的乃是慢慢地去不要神
[00:00:55.500 --> 00:00:58.000]  到了第九至第十五章
[00:00:58.000 --> 00:01:01.000]  神就揀選了掃羅作王
[00:01:01.000 --> 00:01:05.500]  他一開始爲以色列人戰勝外敵
[00:01:05.500 --> 00:01:10.000]  不過掃羅一次又一次又一次地犯錯
[00:01:10.000 --> 00:01:14.500]  一次又一次地不聽從神的帶領
[00:01:14.500 --> 00:01:20.000]  最終神是不容許一個不聽從神話的人
[00:01:20.000 --> 00:01:22.500]  去帶領他自己的子民
[00:01:22.500 --> 00:01:24.500]  神不容許
[00:01:24.500 --> 00:01:27.000]  掃羅王繼續作王
[00:01:27.000 --> 00:01:31.000]  到了第十六章和第十七章
[00:01:31.000 --> 00:01:35.500]  掃羅這個人就變得心煩意亂
[00:01:35.500 --> 00:01:40.000]  他的神僕就找了一個年輕人、少年人
[00:01:40.000 --> 00:01:42.500]  來到皇宮幫他彈音樂
[00:01:42.500 --> 00:01:44.500]  希望安撫一下他的心
[00:01:44.500 --> 00:01:49.000]  這個少年人就是將來要作王的大衛
[00:01:49.000 --> 00:01:51.000]  這個斯文的少年
[00:01:51.000 --> 00:01:53.500]  當時的故事就發展到
[00:01:53.500 --> 00:01:56.500]  他代表了整個以色列
[00:01:56.500 --> 00:02:00.500]  去對付一個恐武有力
[00:02:00.500 --> 00:02:03.500]  一個高大威猛的敵人
[00:02:03.500 --> 00:02:05.500]  這個就是哥尼亞
[00:02:05.500 --> 00:02:07.500]  在這一刻
[00:02:07.500 --> 00:02:10.500]  大衛戰勝了哥尼亞
[00:02:10.500 --> 00:02:12.000]  在這一刻
[00:02:12.000 --> 00:02:17.500]  大衛成爲了整個以色列的民族英雄
[00:02:17.500 --> 00:02:19.500]  掃羅在這一刻
[00:02:19.500 --> 00:02:24.500]  仍然是那個高高在上的以色列王
[00:02:24.500 --> 00:02:26.500]  不過就是這一剎那開始
[00:02:26.500 --> 00:02:28.500]  兩個人的關係
[00:02:28.500 --> 00:02:30.500]  他們就急轉直下
[00:02:30.500 --> 00:02:35.500]  題目是當執道變成什麼什麼
[00:02:35.500 --> 00:02:38.500]  執道會變成什麼呢?
[00:02:38.500 --> 00:02:40.500]  我們今天就一起去看一看
[00:02:40.500 --> 00:02:41.500]  一開始之前
[00:02:41.500 --> 00:02:43.500]  我和大家想做一個遊戲
[00:02:43.500 --> 00:02:45.500]  做一個活動好嗎?
[00:02:45.500 --> 00:02:47.500]  大家都聽過了
[00:02:47.500 --> 00:02:48.500]  《阿拉丁神燈》
[00:02:48.500 --> 00:02:50.500]  有聽過的請你舉手好嗎?
[00:02:50.500 --> 00:02:52.500]  有聽過
[00:02:52.500 --> 00:02:55.500]  只要你手上有這盞神燈
[00:02:55.500 --> 00:02:57.500]  只要你觸一觸這盞神燈
[00:02:57.500 --> 00:02:59.500]  就會有一個精靈
[00:02:59.500 --> 00:03:01.500]  從神燈裏面飄出來
[00:03:01.500 --> 00:03:05.500]  精靈會給你三個願望成真的機會
[00:03:05.500 --> 00:03:06.500]  好嗎?
[00:03:06.500 --> 00:03:08.500]  現在邀請大家閉上眼睛
[00:03:08.500 --> 00:03:11.500]  閉上眼睛
[00:03:11.500 --> 00:03:13.500]  你想象一下
[00:03:13.500 --> 00:03:16.500]  在你面前有一個茶壺
[00:03:16.500 --> 00:03:19.500]  我們是華人不觸神燈的形狀差不多
[00:03:19.500 --> 00:03:22.500]  在你面前有一個茶壺
[00:03:22.500 --> 00:03:25.500]  然後你觸一觸茶壺
[00:03:25.500 --> 00:03:26.500]  觸三下
