
[00:00:00.000 --> 00:00:02.000]  各位大兄姐妹早晨
[00:00:02.000 --> 00:00:05.000]  很高興第一次回來港福堂
[00:00:05.000 --> 00:00:08.000]  轉眼間我來港福堂已經來了25年
[00:00:08.000 --> 00:00:10.000]  第一次來是1999年
[00:00:10.000 --> 00:00:13.000]  那堂的信息叫做我的中國心
[00:00:13.000 --> 00:00:14.000]  我還記得
[00:00:14.000 --> 00:00:21.000]  去年我在10月24日在多倫多負責講座
[00:00:21.000 --> 00:00:26.000]  但講到最後結束的時候發現我腰痛
[00:00:26.000 --> 00:00:31.000]  講不到就要按著講台講到最後十幾分鐘
[00:00:31.000 --> 00:00:32.000]  接著去檢查
[00:00:32.000 --> 00:00:35.000]  家庭醫生叫我去急症室
[00:00:35.000 --> 00:00:38.000]  馬上去了醫院
[00:00:38.000 --> 00:00:40.000]  照了一個CT scan
[00:00:40.000 --> 00:00:42.000]  就發現我腰部有個瘤
[00:00:42.000 --> 00:00:46.000]  那時候已經是10.2公分那麼大
[00:00:46.000 --> 00:00:49.000]  10.2乘6.2乘6.7
[00:00:49.000 --> 00:00:50.000]  即是有一塊東西
[00:00:50.000 --> 00:00:51.000]  已經很大
[00:00:51.000 --> 00:00:53.000]  所以他說可能壓到神經線
[00:00:53.000 --> 00:00:54.000]  所以痛
[00:00:54.000 --> 00:00:57.000]  我11月1日就預備了回中國
[00:00:57.000 --> 00:00:58.000]  以及來香港
[00:00:58.000 --> 00:00:59.000]  我問醫生可不可以
[00:00:59.000 --> 00:01:00.000]  他說你可以回去
[00:01:00.000 --> 00:01:02.000]  但如果有事發高燒很痛
[00:01:02.000 --> 00:01:03.000]  立即去急症室
[00:01:03.000 --> 00:01:05.000]  就不要拖
[00:01:05.000 --> 00:01:07.000]  我就回來香港去了中國
[00:01:07.000 --> 00:01:11.000]  講完之後回去再驗
[00:01:11.000 --> 00:01:18.000]  去年來的時候就在梓梅區
[00:01:18.000 --> 00:01:19.000]  梓寧 國語堂
[00:01:19.000 --> 00:01:21.000]  國語區講了五堂
[00:01:21.000 --> 00:01:24.000]  回去多倫多再驗
[00:01:24.000 --> 00:01:27.000]  在12月的時候再驗
[00:01:27.000 --> 00:01:29.000]  去到1月再驗
