
[00:00:00.000 --> 00:00:02.720]  各位弟兄姊妹,各位朋友,你好
[00:00:02.720 --> 00:00:04.720]  早上好
[00:00:04.720 --> 00:00:06.660]  很感謝神
[00:00:06.660 --> 00:00:08.200]  姜牧師給我這個機會
[00:00:08.200 --> 00:00:10.200]  跟大家來分享一個題目
[00:00:10.200 --> 00:00:14.320]  就是團隊配的恩賜甕
[00:00:14.320 --> 00:00:16.320]  我們知道
[00:00:16.320 --> 00:00:19.520]  姜牧師是一個很有領導力的牧者
[00:00:19.520 --> 00:00:23.400]  他給我們很多很清楚的方向去跑
[00:00:23.400 --> 00:00:26.400]  當我準備這個講道的時候
[00:00:26.400 --> 00:00:27.400]  我就禱告
[00:00:27.400 --> 00:00:32.200]  禱告以後我就跟姜牧師去交通
[00:00:32.200 --> 00:00:34.000]  他交通的時間
[00:00:34.000 --> 00:00:39.200]  他有一次兩次也有給我一點異地的方向、意見
[00:00:39.200 --> 00:00:41.400]  還是很有用的一些資料
[00:00:41.400 --> 00:00:46.000]  讓我在禱告裡面尋求明白神的心意
[00:00:46.000 --> 00:00:47.600]  很多時候我們就覺得
[00:00:47.600 --> 00:00:51.200]  神的心意在我們身上就是我自己去領受
[00:00:51.200 --> 00:00:53.200]  但是很多時候在群體裡面
[00:00:53.200 --> 00:00:55.800]  我們就是要彼此配達
[00:00:55.800 --> 00:01:00.000]  姜牧師領受的就是一個牧養教導的恩賜
[00:01:00.000 --> 00:01:03.400]  在我們中間牧養我們、教導我們
[00:01:03.400 --> 00:01:05.400]  所以當我要教導大家
[00:01:05.400 --> 00:01:09.200]  在主日的講道裡面跟大家分享的時候
[00:01:09.200 --> 00:01:11.200]  我就要跟他有配達
[00:01:11.200 --> 00:01:13.400]  這個就是恩賜配達
[00:01:13.400 --> 00:01:17.600]  這個恩賜配達我們就能夠運用我們不同的恩賜
[00:01:17.600 --> 00:01:20.200]  我們來把整個團隊
[00:01:20.200 --> 00:01:21.600]  什麼是團隊呢?
[00:01:21.600 --> 00:01:24.600]  團隊在這個時代很多時候也談
[00:01:24.600 --> 00:01:27.800]  就是談到團隊就好像一個organization
[00:01:27.800 --> 00:01:29.200]  一個機構
[00:01:29.200 --> 00:01:30.200]  什麼是機構?
[00:01:30.200 --> 00:01:32.600]  機構不是四腹腸
[00:01:32.600 --> 00:01:36.000]  不是一個關起來的一群人
[00:01:36.000 --> 00:01:37.600]  而是有生命的
[00:01:37.600 --> 00:01:40.800]  所以organization我們很多時候就是說
[00:01:40.800 --> 00:01:42.200]  這個是organism
[00:01:42.200 --> 00:01:44.200]  這個是一個生命體
[00:01:44.200 --> 00:01:46.400]  這個團隊就是一個生命體
[00:01:46.400 --> 00:01:50.600]  這個團隊裡面的生命體的源頭在哪裡?
[00:01:50.600 --> 00:01:55.400]  我們同樣地就是擁有基督的生命在我們裡面
[00:01:55.400 --> 00:01:57.000]  所以今天我們要談的就是
[00:01:57.000 --> 00:02:00.600]  那個團隊就是有基督生命的一群人
[00:02:00.600 --> 00:02:03.200]  他們怎麼樣配達一起來
[00:02:03.200 --> 00:02:07.000]  就好像身體裡面的手、腳等等的
[00:02:07.000 --> 00:02:08.400]  彼此的配達
[00:02:08.400 --> 00:02:09.800]  配達得好的時候
[00:02:09.800 --> 00:02:12.800]  我們就能夠把神給我們的每一個人
[00:02:12.800 --> 00:02:14.600]  不同的能力
[00:02:14.600 --> 00:02:17.400]  我們稱為白白得來的能力
[00:02:17.400 --> 00:02:18.800]  那個就是禮物
[00:02:18.800 --> 00:02:21.600]  禮物的意思就是恩賜的意思
