
[00:00:00.000 --> 00:00:04.440]  我們低頭祈禱,準備領受神的信息
[00:00:04.440 --> 00:00:06.640]  主,我們謙卑來到你面前
[00:00:06.640 --> 00:00:08.680]  因為主,我們敬拜你
[00:00:08.680 --> 00:00:12.600]  我們也都要聽你對我們說話
[00:00:12.600 --> 00:00:14.840]  主,我們求你透過你僕人的口
[00:00:14.840 --> 00:00:17.360]  也都透過他所準備的信息
[00:00:17.360 --> 00:00:23.800]  來和我們思想主你的華語當中寶貴的道理
[00:00:23.800 --> 00:00:25.680]  主,願你與我們同在
[00:00:25.680 --> 00:00:27.040]  你謙卑我們的心
[00:00:27.040 --> 00:00:29.160]  你也都高抹你僕人的口
[00:00:29.160 --> 00:00:30.880]  奉主耶穌的聖名
[00:00:30.880 --> 00:00:32.560]  Amen
[00:00:32.560 --> 00:00:36.560]  在上次的講道當中
[00:00:36.560 --> 00:00:39.880]  我是與《創世紀》第一章
[00:00:39.880 --> 00:00:41.640]  可能大家都還記得
[00:00:41.640 --> 00:00:43.840]  作為這個講道的經文
[00:00:43.840 --> 00:00:45.760]  在講道當中
[00:00:45.760 --> 00:00:47.280]  我提到
[00:00:47.280 --> 00:00:51.120]  《創世紀》第一章提到很多很多東西
[00:00:51.120 --> 00:00:53.720]  因為神創造了很多東西
[00:00:53.720 --> 00:00:56.400]  我們很容易眼花撩亂
[00:00:56.400 --> 00:00:59.280]  因為有這有那
[00:00:59.280 --> 00:01:01.840]  就好像我們自身在當中的時候
[00:01:01.840 --> 00:01:04.720]  我們看得很興奮
[00:01:04.720 --> 00:01:08.520]  也會令我們的注意力很分散
[00:01:08.520 --> 00:01:11.000]  因為這就看那
[00:01:11.000 --> 00:01:16.320]  忘記了最主要的主角是誰
[00:01:16.320 --> 00:01:17.560]  就是神
[00:01:17.560 --> 00:01:21.200]  神才是主角
[00:01:21.200 --> 00:01:23.640]  那位神就是我們所信的
[00:01:23.640 --> 00:01:25.280]  那位全能的父
[00:01:25.280 --> 00:01:28.240]  創造天地的主
