
[00:00:00.000 --> 00:00:04.000]  中國人對死亡總是有忌諱的
[00:00:04.000 --> 00:00:10.000]  這些忌諱通常我跟一些很簡單的對話當中可以看出
[00:00:10.000 --> 00:00:14.000]  如果你家裏有個人過世
[00:00:14.000 --> 00:00:16.000]  有人問「阿邊又怎樣」
[00:00:16.000 --> 00:00:20.000]  你說「他走了」
[00:00:20.000 --> 00:00:23.000]  或者說「他去了」
[00:00:23.000 --> 00:00:25.000]  有些年輕人不熟悉
[00:00:25.000 --> 00:00:28.000]  「他走了?何時走的?去哪裏了?」
[00:00:28.000 --> 00:00:30.000]  「他去了?去哪裏了?」
[00:00:30.000 --> 00:00:32.000]  那怎樣回答他?
[00:00:32.000 --> 00:00:39.000]  甚至在教會我們都難免會對生死問題有些禁忌
[00:00:39.000 --> 00:00:41.000]  所以有時候我們完了崇拜
[00:00:41.000 --> 00:00:44.000]  我們找間吉房去開會好不好?
[00:00:44.000 --> 00:00:47.000]  甚麼吉房?空的房
[00:00:47.000 --> 00:00:50.000]  原來我們不說空房,我們說吉房
[00:00:50.000 --> 00:00:54.000]  這就是一個中國人對死亡一種忌諱
[00:00:54.000 --> 00:00:56.000]  一種含蓄的表現
[00:00:56.000 --> 00:01:02.000]  但其實有人說「所有宗教都是勸人為善」
[00:01:02.000 --> 00:01:05.000]  「所有宗教都是殊途同歸」
[00:01:05.000 --> 00:01:07.000]  將這些複雜問題簡單化
[00:01:07.000 --> 00:01:09.000]  其實他完全不懂宗教
[00:01:09.000 --> 00:01:11.000]  懂宗教的人不會這樣說
[00:01:11.000 --> 00:01:15.000]  因為宗教,真正的宗教
[00:01:15.000 --> 00:01:17.000]  你不計民間信仰
[00:01:17.000 --> 00:01:20.000]  都會碰到生死問題
[00:01:20.000 --> 00:01:23.000]  而宗教最不同的地方
[00:01:23.000 --> 00:01:27.000]  就是在生死的教義上是不同的
[00:01:27.000 --> 00:01:30.000]  所不同者,正是歸不同
[00:01:30.000 --> 00:01:33.000]  不是殊途同歸,是歸不同
[00:01:33.000 --> 00:01:36.000]  這就是正正一個倒轉後
[00:01:36.000 --> 00:01:39.000]  我們相反的看法
[00:01:39.000 --> 00:01:44.000]  所以印度教,印度人
[00:01:44.000 --> 00:01:46.000]  死了之後,無論貧富
[00:01:46.000 --> 00:01:50.000]  都希望在恆河河邊去火化
[00:01:50.000 --> 00:01:52.000]  將骨灰散在恆河
[00:01:52.000 --> 00:01:55.000]  於是一生的罪孽可以洗清
[00:01:55.000 --> 00:01:58.000]  日本人相信死後
[00:01:58.000 --> 00:02:01.000]  都會去到另一個世界
[00:02:01.000 --> 00:02:04.000]  他們對生命好像櫻花一樣
[00:02:04.000 --> 00:02:06.000]  主要是短暫的
[00:02:06.000 --> 00:02:08.000]  但一定要開得燦爛
[00:02:08.000 --> 00:02:13.000]  其實每個宗教都有一套解釋生死的教義
[00:02:13.000 --> 00:02:15.000]  而今天我們唱詩當中
[00:02:15.000 --> 00:02:17.000]  我們很開心唱詩
[00:02:17.000 --> 00:02:19.000]  其實唱一些很不吉利的詩歌
[00:02:19.000 --> 00:02:21.000]  都講到死亡
[00:02:21.000 --> 00:02:24.000]  講到耶穌的死亡
[00:02:24.000 --> 00:02:26.000]  在我們信仰當中
[00:02:26.000 --> 00:02:32.000]  其實我們在處理一個生和死的問題
[00:02:32.000 --> 00:02:35.000]  但有時候我們習慣在教會說一下愛
[00:02:35.000 --> 00:02:39.000]  說一下互相的支持、關懷、團契
[00:02:39.000 --> 00:02:43.000]  我們稍微欠缺了一些進入一個比較深層次
[00:02:43.000 --> 00:02:46.000]  去處理到生死問題
[00:02:46.000 --> 00:02:53.000]  當然在教會當中也有很多的安息禮拜會舉行
[00:02:53.000 --> 00:02:56.000]  我相信梁牧師以至宗教的同工
[00:02:56.000 --> 00:02:59.000]  一個星期可能教會越大
[00:02:59.000 --> 00:03:02.000]  總會有些會友會離開
[00:03:02.000 --> 00:03:07.000]  有時候我去到基督教的安息禮拜
[00:03:07.000 --> 00:03:09.000]  發覺了很不同
[00:03:09.000 --> 00:03:12.000]  有一種很踏實的平安
[00:03:12.000 --> 00:03:14.000]  日本人去安息禮拜
[00:03:14.000 --> 00:03:18.000]  第一會對死者的思念
[00:03:18.000 --> 00:03:19.000]  因為可能是你的好朋友
[00:03:19.000 --> 00:03:20.000]  你認識的親人
[00:03:20.000 --> 00:03:22.000]  很直接你自己認識的死者
[00:03:22.000 --> 00:03:24.000]  有時候我們不認識死者
[00:03:24.000 --> 00:03:26.000]  不過我們跟他的家人很熟
[00:03:26.000 --> 00:03:28.000]  我們去安慰一下家人
[00:03:28.000 --> 00:03:32.000]  甚至社會上有時候我們對一個人不是很熟
[00:03:32.000 --> 00:03:34.000]  不過在社交禮儀上
[00:03:34.000 --> 00:03:35.000]  因為那個是名人
[00:03:35.000 --> 00:03:37.000]  於是我都要去歌功
[00:03:37.000 --> 00:03:41.000]  或者做個花牌過去
[00:03:41.000 --> 00:03:45.000]  來紀念一下作為一種社交禮儀
[00:03:45.000 --> 00:03:47.000]  但是相對來說
[00:03:47.000 --> 00:03:49.000]  我們對每一次去到安息禮拜
[00:03:49.000 --> 00:03:51.000]  每一次去觸及生死問題
[00:03:51.000 --> 00:03:56.000]  其實都給我們一個很深入對生命的思考
[00:03:56.000 --> 00:04:02.000]  同時我相信一個合神心的安息禮拜的平安當中
[00:04:02.000 --> 00:04:06.000]  亦都是帶給與會者對死亡
[00:04:06.000 --> 00:04:09.000]  有一個更加行切的盼望
[00:04:09.000 --> 00:04:14.000]  當然我不是太贊成將安息禮拜搞到像報道會一樣
[00:04:14.000 --> 00:04:17.000]  我都試過一次幫一位好朋友
[00:04:17.000 --> 00:04:18.000]  他的母親死亡
[00:04:18.000 --> 00:04:21.000]  我幫他講了一個安慰訊息
[00:04:21.000 --> 00:04:23.000]  他說你講長一點
[00:04:23.000 --> 00:04:27.000]  因為都有很多微信主的演藝界朋友去的
[00:04:27.000 --> 00:04:28.000]  我講了半個小時
[00:04:28.000 --> 00:04:31.000]  主席竟然後來想呼召
[00:04:31.000 --> 00:04:33.000]  當然我不會阻止
[00:04:33.000 --> 00:04:36.000]  但我覺得不是一個最好的時間
[00:04:36.000 --> 00:04:38.000]  但能夠在那些時刻
[00:04:38.000 --> 00:04:41.000]  是讓人平時忙忙碌碌
[00:04:41.000 --> 00:04:43.000]  慵慵碌碌去謀生的時候
[00:04:43.000 --> 00:04:45.000]  突然間去想到
[00:04:45.000 --> 00:04:48.000]  如果今天躺在那裏的是我
[00:04:48.000 --> 00:04:49.000]  我會怎樣呢
[00:04:49.000 --> 00:04:53.000]  這就是我們處理生死的問題
[00:04:53.000 --> 00:04:55.000]  在《新約聖經》
[00:04:55.000 --> 00:05:02.000]  耶穌有兩段非常難解的說話
[00:05:02.000 --> 00:05:06.000]  一段是講重生
[00:05:06.000 --> 00:05:09.000]  一段是我們今天所選的經文
[00:05:09.000 --> 00:05:12.000]  其實是講我們另一次的死亡
[00:05:12.000 --> 00:05:13.000]  即是我們作為基督徒
[00:05:13.000 --> 00:05:16.000]  除了我們在肉身上的死亡之外
[00:05:16.000 --> 00:05:19.000]  我們需要有生命一次的重生
[00:05:19.000 --> 00:05:21.000]  如果生命當中一次的死亡
[00:05:21.000 --> 00:05:23.000]  即是我們有重生有重死
[00:05:23.000 --> 00:05:26.000]  我們會生兩次死兩次
[00:05:26.000 --> 00:05:29.000]  我們是要出死入生
[00:05:29.000 --> 00:05:31.000]  耶穌很特別的
