
[00:00:00.000 --> 00:00:03.000]  各位朋友 弟兄姊妹 早晨
[00:00:03.000 --> 00:00:07.000]  過去幾個月我們一直在討論馬可福音
[00:00:07.000 --> 00:00:10.000]  由今天開始我們會進入另一卷書
[00:00:10.000 --> 00:00:12.000]  就是《創世紀》
[00:00:12.000 --> 00:00:14.000]  我今天會討論亞國
[00:00:14.000 --> 00:00:18.000]  我們會從《創世紀》去看亞國這個人物
[00:00:18.000 --> 00:00:21.000]  我想先考考大家
[00:00:21.000 --> 00:00:25.000]  這一支是哪個國家的國旗?
[00:00:25.000 --> 00:00:31.000]  大家都知道 知道以色列這個名字是怎樣來的嗎?
[00:00:31.000 --> 00:00:33.000]  有沒有人知道?
[00:00:33.000 --> 00:00:35.000]  你知道的 舉手我就不用你講了
[00:00:35.000 --> 00:00:37.000]  知道的
[00:00:37.000 --> 00:00:43.000]  你知道以色列這個名字有什麼意思嗎?
[00:00:43.000 --> 00:00:44.000]  有沒有人知道?
[00:00:44.000 --> 00:00:46.000]  你舉手我就不用你講了
[00:00:46.000 --> 00:00:47.000]  有些人知道
[00:00:47.000 --> 00:00:49.000]  看看答案是否正確
[00:00:49.000 --> 00:00:54.000]  以色列原來在希伯來文的意思是「與神角力者」
[00:00:54.000 --> 00:01:01.000]  話說這個名字的來源是來自猶太人的祖先亞國
[00:01:01.000 --> 00:01:06.000]  話說有一次他與天使率交並且得勝
[00:01:06.000 --> 00:01:10.000]  這個故事就記載在《創世紀》的32章
[00:01:10.000 --> 00:01:12.000]  所以他率交完之後
[00:01:12.000 --> 00:01:16.000]  神就將他的名字由亞國改為以色列
[00:01:16.000 --> 00:01:20.000]  亞國到底是一個怎樣的人物呢?
[00:01:20.000 --> 00:01:23.000]  為什麼他對以色列有這麼深遠的影響呢?
[00:01:23.000 --> 00:01:29.000]  由今天開始我們會從《創世紀》來看亞國的生命
[00:01:29.000 --> 00:01:33.000]  亞國可以說是一個極之不尋常的人物
[00:01:33.000 --> 00:01:38.000]  他是以色列先祖阿伯拉罕的孫子 以撒的兒子
[00:01:38.000 --> 00:01:42.000]  現在我們會嘗試從這段經文裡
[00:01:42.000 --> 00:01:46.000]  來發掘一下亞國不尋常的地方
[00:01:46.000 --> 00:01:50.000]  我們有幾點
[00:01:50.000 --> 00:01:55.000]  第一點是亞國是超然而不是自然而得
[00:01:55.000 --> 00:01:59.000]  你和我都應該是自然而得
[00:01:59.000 --> 00:02:02.000]  你的出生有沒有很特別的經歷?
[00:02:02.000 --> 00:02:04.000]  他就很特別
[00:02:04.000 --> 00:02:12.000]  話說以撒的父親娶了亞國的媽媽利伯加的時候
[00:02:12.000 --> 00:02:13.000]  就是40歲
[00:02:13.000 --> 00:02:17.000]  但是結婚之後十多年都沒有孩子
[00:02:17.000 --> 00:02:20.000]  你知道在以色列人的文化裡面
[00:02:20.000 --> 00:02:23.000]  一個女人結了婚卻生不到育的話
[00:02:23.000 --> 00:02:26.000]  其實對她來說是一個很大的羞恥
[00:02:26.000 --> 00:02:31.000]  所以以撒就為此去懇求耶和華
