
[00:00:00.000 --> 00:00:01.320]  大英哲明早晨
[00:00:01.320 --> 00:00:04.720]  今晚在聽到之前我們低頭祈禱
[00:00:04.720 --> 00:00:13.620]  親愛的天父上帝,我們來到您面前
[00:00:13.620 --> 00:00:17.320]  我們敬拜您,我們讚美您
[00:00:17.320 --> 00:00:20.820]  我們也都要聽您親自對我們說話
[00:00:20.820 --> 00:00:23.340]  著求您透過您僕人的口
[00:00:23.340 --> 00:00:25.080]  祂所準備的訊息
[00:00:25.080 --> 00:00:28.860]  讓我們可以得聽您
[00:00:30.020 --> 00:00:32.240]  透過這些來對我們說話
[00:00:32.240 --> 00:00:35.080]  求轉您也給我們有謙卑的心
[00:00:35.080 --> 00:00:37.880]  有受救的心
[00:00:37.880 --> 00:00:40.700]  我們在您面前安靜等候的時候
[00:00:40.700 --> 00:00:43.060]  我們就聽到您
[00:00:43.060 --> 00:00:45.100]  親自對我們說話
[00:00:45.100 --> 00:00:48.180]  完全交託給您,求轉您帶領
[00:00:48.180 --> 00:00:51.000]  奉主耶穌基督的聖名
[00:00:51.000 --> 00:00:56.720]  我們也都需要承認
[00:00:56.720 --> 00:00:58.980]  在我們人生當中
[00:00:58.980 --> 00:01:02.120]  經常有很多的變化
[00:01:02.120 --> 00:01:05.340]  這不是我們可以計劃的
[00:01:05.340 --> 00:01:07.960]  也不是我們可以預料的
[00:01:07.960 --> 00:01:11.220]  正所謂就是
[00:01:11.220 --> 00:01:13.080]  信息民變
[00:01:13.080 --> 00:01:16.140]  很容易就
[00:01:16.140 --> 00:01:18.720]  變化到令我們很錯愕
[00:01:18.720 --> 00:01:22.240]  或者都會令我們措手不及
[00:01:22.240 --> 00:01:25.580]  在過去,或者甚至到
[00:01:25.580 --> 00:01:28.380]  最近也好,在牧養的
[00:01:28.380 --> 00:01:31.060]  經驗當中,就見到
[00:01:31.060 --> 00:01:34.100]  很多事情的變化,令我們覺得
[00:01:34.100 --> 00:01:36.400]  嘩,真的很戲劇性
[00:01:36.400 --> 00:01:39.860]  今天看起來好像
[00:01:39.860 --> 00:01:42.900]  兩個沒有關係的人
[00:01:42.900 --> 00:01:44.740]  在教會當中
[00:01:44.740 --> 00:01:48.640]  這兩個是主內的弟兄姊妹
[00:01:48.640 --> 00:01:51.880]  但是這兩個好像沒有什麼關係
[00:01:51.880 --> 00:01:55.480]  就算是便契的時候,你坐一角,我坐一角
[00:01:55.480 --> 00:01:59.000]  就好像兩個沒什麼關係的人
[00:01:59.000 --> 00:02:02.440]  突然有一天,就來找我
[00:02:02.440 --> 00:02:03.440]  牧師
[00:02:03.440 --> 00:02:06.300]  我們快要結婚了
[00:02:06.300 --> 00:02:10.940]  誰啊?
[00:02:10.940 --> 00:02:14.160]  我問他,你什麼時候認識的?
[00:02:14.160 --> 00:02:17.360]  其實當然是認識的
[00:02:17.360 --> 00:02:20.360]  只是沒有感覺到他們的關係很親密
[00:02:20.360 --> 00:02:23.320]  突然就說
[00:02:23.320 --> 00:02:26.260]  我還記得,我們曾見到
[00:02:26.260 --> 00:02:29.400]  兩個單身的,很相襯
[00:02:29.400 --> 00:02:32.240]  都跟那個弟兄說
[00:02:32.240 --> 00:02:35.500]  不如這樣吧
[00:02:35.500 --> 00:02:40.080]  有時候牧師不是想做妹,但都比較多事
[00:02:40.080 --> 00:02:43.500]  忍受不到見到弟兄姊妹,孤孤獨獨
