
[00:00:00.000 --> 00:00:02.520]  好,我們領受神的話語之前,我們先低頭向祂禱告
[00:00:02.520 --> 00:00:05.600]  天父,我多謝祢給孩子有機會和弟兄姊妹來分享
[00:00:05.600 --> 00:00:07.880]  很願意臣祢自己透過祢的話語
[00:00:07.880 --> 00:00:09.400]  成為我們生命的幫助
[00:00:09.400 --> 00:00:10.160]  提醒我們
[00:00:10.160 --> 00:00:13.080]  今天我們在一個較為暢順的境況裏面
[00:00:13.080 --> 00:00:14.480]  叫我們不會忘記祢
[00:00:14.480 --> 00:00:16.160]  求主祢自己親自眷顧
[00:00:16.160 --> 00:00:17.280]  帶領以後的時間
[00:00:17.280 --> 00:00:18.720]  祈禱拉奉主德聖的名
[00:00:18.720 --> 00:00:19.480]  Amen
[00:00:19.480 --> 00:00:21.880]  其實今天分享的題目
[00:00:21.880 --> 00:00:24.440]  或者內容中心點很簡單
[00:00:24.440 --> 00:00:25.440]  只有一句而已
[00:00:25.440 --> 00:00:27.800]  就是不要因為你有了錢
[00:00:27.800 --> 00:00:29.240]  你富裕之後
[00:00:29.240 --> 00:00:30.480]  就忘記神
[00:00:30.480 --> 00:00:32.920]  這個就是這麼簡單的中心點
[00:00:32.920 --> 00:00:34.920]  但是呢,雖然是很簡單
[00:00:34.920 --> 00:00:36.480]  但是我們有沒有去探討過
[00:00:36.480 --> 00:00:39.080]  今天我們的信仰和我們的財富
[00:00:39.080 --> 00:00:40.240]  有沒有關係呢?
[00:00:40.240 --> 00:00:42.080]  有時候在一些報道會裏面
[00:00:42.080 --> 00:00:43.640]  來講信徒耶穌的時候
[00:00:43.640 --> 00:00:45.440]  神就會祝福我們很多的了
[00:00:45.440 --> 00:00:47.520]  這個似乎是成功神學
[00:00:47.520 --> 00:00:50.080]  裏面有沒有一些問題呢?
[00:00:50.080 --> 00:00:51.680]  如果在這樣的時候
[00:00:51.680 --> 00:00:53.280]  如果我們又遇到困難
[00:00:53.280 --> 00:00:55.920]  甚至我們在窮乏的當中
[00:00:55.920 --> 00:00:58.320]  我們又怎麼看我們的信仰呢?
[00:00:58.320 --> 00:01:00.160]  當我們有錢的時候
[00:01:00.160 --> 00:01:02.560]  我們又要持著什麼樣的態度呢?
[00:01:02.560 --> 00:01:05.840]  今天我們就會透過《生命記》第八章
[00:01:05.840 --> 00:01:09.160]  這一章的經文來去了解
[00:01:09.160 --> 00:01:13.600]  每個人都心裏面是渴望富有的
[00:01:13.600 --> 00:01:15.840]  不單單是心中富有
[00:01:15.840 --> 00:01:18.560]  更加期望物質的富有,是不是?
[00:01:18.560 --> 00:01:20.160]  這個是正常的
[00:01:20.160 --> 00:01:22.920]  所以你留意到香港的樓價越來越高
[00:01:22.920 --> 00:01:25.600]  但是你留意到那些納米樓
[00:01:25.600 --> 00:01:27.000]  一百多呎的那些
[00:01:27.000 --> 00:01:30.360]  其實那個樓的呎數是很貴的
