
[00:00:00.000 --> 00:00:06.000]  前一陣子我和一位弟兄分享我最近生活的一些趣事
[00:00:06.000 --> 00:00:13.000]  在我家附近的馬路邊有一棵桑樹
[00:00:13.000 --> 00:00:17.000]  今年因為特別多雨水,所以桑子長得很茂盛
[00:00:17.000 --> 00:00:23.000]  吸引了我的注意力,我和我的小女兒去摘了幾次
[00:00:23.000 --> 00:00:28.000]  原來桑子比我想像中更加甜
[00:00:28.000 --> 00:00:31.000]  這位弟兄很關心我
[00:00:31.000 --> 00:00:37.000]  他說:陶牧師,你很清楚那些是可以吃的
[00:00:37.000 --> 00:00:40.000]  你知道那些桑子是可以吃的
[00:00:40.000 --> 00:00:45.000]  意思是你不會摘錯,一會兒中毒了
[00:00:45.000 --> 00:00:49.000]  我說不會,因為我知道桑子是怎樣
[00:00:49.000 --> 00:00:52.000]  我小時候見過摘過吃過
[00:00:52.000 --> 00:00:57.000]  我是因為看到那些果子才留意到那棵是桑樹
[00:00:57.000 --> 00:01:01.000]  因為其他樹都是一起遮住
[00:01:01.000 --> 00:01:06.000]  是因為有桑子,是有果子才知道那棵是桑樹
[00:01:06.000 --> 00:01:11.000]  今天我和大家講這個題目
[00:01:11.000 --> 00:01:16.000]  我們為什麼要結好果子
[00:01:16.000 --> 00:01:24.000]  因為只能夠從果子才能分辨到我們究竟是什麼樹
[00:01:24.000 --> 00:01:30.000]  相信大家都明白,我們有什麼屬靈的果子,有什麼品格
[00:01:30.000 --> 00:01:34.000]  我們才能反映出我們是屬於主的
[00:01:34.000 --> 00:01:39.000]  是真正主的門徒
[00:01:39.000 --> 00:01:45.000]  上次的講道我講了登山寶訓主要內容之後
[00:01:45.000 --> 00:01:49.000]  耶穌叫我們聽的人要作出回應
[00:01:49.000 --> 00:01:54.000]  當然祂要我們選擇去聽從祂的教訓
[00:01:54.000 --> 00:01:58.000]  祂先講第一個比喻引導我們選擇
[00:01:58.000 --> 00:02:04.000]  第一個是要選擇進入永生和福氣的閘門
[00:02:04.000 --> 00:02:08.000]  大家還記得閘門闊門的比喻
[00:02:08.000 --> 00:02:11.000]  今天我繼續講第二個比喻
[00:02:11.000 --> 00:02:15.000]  就是我們要選擇結出好果子
[00:02:15.000 --> 00:02:20.000]  結出好果子來證明我們是主的真門徒
[00:02:20.000 --> 00:02:25.000]  但首先主耶穌說能否結出好果子的前提
[00:02:25.000 --> 00:02:31.000]  就是我們先不要被那些假師傅瞞騙我們
[00:02:31.000 --> 00:02:35.000]  教錯我們,否則我們是結不出好果子的
[00:02:35.000 --> 00:02:38.000]  今天我們大家一起去學這個題目
[00:02:38.000 --> 00:02:42.000]  我們要努力去結出好的果子
[00:02:42.000 --> 00:02:47.000]  我們先看今天的經文是馬太福音七章第十五節
[00:02:47.000 --> 00:02:54.000]  你們要防備假先知,他們道你們者裡來
[00:02:54.000 --> 00:02:58.000]  外面披著羊皮,裡面卻是殘暴的羅
[00:02:58.000 --> 00:03:01.000]  在舊約的時代
[00:03:01.000 --> 00:03:06.000]  先知是神所委派代神發言
[00:03:06.000 --> 00:03:09.000]  向百姓講說話的人
[00:03:09.000 --> 00:03:12.000]  但是每當先知發言要講話的時候
[00:03:12.000 --> 00:03:14.000]  通常都不是好事
[00:03:14.000 --> 00:03:19.000]  都是因為當時的百姓離棄神,犯罪
[00:03:19.000 --> 00:03:21.000]  走錯方向
[00:03:21.000 --> 00:03:24.000]  而先知的出現就是代神去警告他們
[00:03:24.000 --> 00:03:29.000]  勸他們要悔改,要回頭,要歸回正路
[00:03:29.000 --> 00:03:33.000]  否則神的懲罰會臨到
[00:03:33.000 --> 00:03:40.000]  再由使徒的時代到現在的時代
[00:03:40.000 --> 00:03:44.000]  先知的定義已經有所改變
[00:03:44.000 --> 00:03:48.000]  轉為是宣講和教導神話語的人
[00:03:48.000 --> 00:03:53.000]  不再會有代神說話的先知
[00:03:53.000 --> 00:04:00.000]  所以現今如果仍然有人會自稱自己是先知的時候
[00:04:00.000 --> 00:04:07.000]  我們可以大膽地說他們是假先知
[00:04:07.000 --> 00:04:10.000]  大家如果有上個月
[00:04:10.000 --> 00:04:14.000]  Terence和Anissa他們教的主一學
[00:04:14.000 --> 00:04:16.000]  認識異端的時候
[00:04:16.000 --> 00:04:21.000]  那些異端,所有異端的發起人,創始人
[00:04:21.000 --> 00:04:24.000]  都是自稱先知
[00:04:24.000 --> 00:04:28.000]  很奇怪,所以我們都可以大膽地說
[00:04:28.000 --> 00:04:32.000]  他們是假先知
[00:04:32.000 --> 00:04:36.000]  所以今天我所說的提到假先知的時候
[00:04:36.000 --> 00:04:42.000]  可以引申為假牧師,假傳道人,假長老,假執事
[00:04:42.000 --> 00:04:49.000]  假老師,假領袖,甚至是假信徒,假弟兄,假姐妹
[00:04:49.000 --> 00:04:52.000]  相信大家都會領悟到這個意思
[00:04:52.000 --> 00:05:01.000]  所謂假,是指他們的教導有偏差,甚至是錯誤的
[00:05:01.000 --> 00:05:07.000]  好了,為什麼我們要防備假先知呢?
[00:05:07.000 --> 00:05:11.000]  既然是假的,我們怎麼會聽他講呢?
[00:05:11.000 --> 00:05:14.000]  何須要防備呢?
[00:05:14.000 --> 00:05:17.000]  大家都知道吧
[00:05:17.000 --> 00:05:20.000]  因為假先知絕不會在額頭上作假字
[00:05:20.000 --> 00:05:23.000]  讓人看到也會說是假的
[00:05:23.000 --> 00:05:28.000]  不會吧?為什麼呢?聖經說他們是披著羊皮的狼
[00:05:28.000 --> 00:05:32.000]  在外表看來,你無法分辨到他們是狼
[00:05:32.000 --> 00:05:35.000]  你一定看到他們是羊
[00:05:35.000 --> 00:05:38.000]  無法從外表分辨到
[00:05:38.000 --> 00:05:42.000]  假先知也是,在外表看來他們和寶龍的信徒是一模一樣
[00:05:42.000 --> 00:05:47.000]  你無法在外表上判斷到他們是假先知
[00:05:47.000 --> 00:05:58.000]  只能夠從他們的果子和品格看出來
[00:05:58.000 --> 00:06:04.000]  所以主耶穌立刻轉了另一個隱喻
[00:06:04.000 --> 00:06:10.000]  假先知告訴你,你無法在外表上分辨到他們
[00:06:10.000 --> 00:06:12.000]  怎麼才能分辨到他們呢?
[00:06:12.000 --> 00:06:14.000]  第十六節,主耶穌說
[00:06:14.000 --> 00:06:20.000]  要憑著他們的果子就能認出他們來
[00:06:20.000 --> 00:06:23.000]  耶穌教的方法很簡單
