
[00:00:00.000 --> 00:00:02.220]  第五姊妹平安 大家好
[00:00:02.220 --> 00:00:04.900]  我們今天早上要繼續的來分享
[00:00:04.900 --> 00:00:06.780]  啟示錄的七個教會
[00:00:06.780 --> 00:00:10.620]  我們已經在今天要把七個教會結束了
[00:00:10.620 --> 00:00:16.220]  今天要講的最後一個教會 大家知道是什麼嗎?
[00:00:16.220 --> 00:00:17.420]  老底家教會
[00:00:17.420 --> 00:00:18.820]  當你聽到老底家教會
[00:00:18.820 --> 00:00:21.900]  我相信第五姊妹很多人都一定很熟悉這個教會
[00:00:21.900 --> 00:00:23.500]  大概你想到老底家教會
[00:00:23.500 --> 00:00:27.440]  最想到的就是這個教會是什麼教會?
[00:00:27.440 --> 00:00:30.080]  很有錢
[00:00:30.080 --> 00:00:34.280]  你是指托倫斯林良塔嗎?
[00:00:34.280 --> 00:00:35.600]  老底家這個教會
[00:00:35.600 --> 00:00:38.800]  其實如果你仔細看它的背景
[00:00:38.800 --> 00:00:44.920]  這個教會它事實上是一個貿易和交通的要道樞紐
[00:00:44.920 --> 00:00:46.680]  所以我們看這個圖裡面
[00:00:46.680 --> 00:00:51.180]  其實老底家它是三個道路的一個交叉的地方
[00:00:51.180 --> 00:00:53.600]  所以它是一個交通的樞紐
[00:00:53.600 --> 00:00:55.320]  也是一個貿易的樞紐
[00:00:55.320 --> 00:00:57.680]  是銀行商業的中心
[00:00:57.680 --> 00:00:58.960]  所以它很有錢
[00:00:58.960 --> 00:00:59.880]  它是一個
[00:00:59.880 --> 00:01:02.200]  我在讀到這裡我就想到說
[00:01:02.200 --> 00:01:04.960]  其實像香港那個地理的位置
[00:01:04.960 --> 00:01:07.400]  它是一個金融一個貿易的中心
[00:01:07.400 --> 00:01:11.160]  也是一個很多的一個這種交通的轉接
[00:01:11.160 --> 00:01:12.120]  到亞洲的
[00:01:12.120 --> 00:01:14.640]  到中國去大概都要經過那個地方
[00:01:14.640 --> 00:01:17.240]  所以它是一個很富有的一個城市
[00:01:17.240 --> 00:01:18.800]  它是一個很富有的地方
[00:01:18.800 --> 00:01:24.800]  而且它又生產這些這個烏黑的羊毛
[00:01:24.800 --> 00:01:30.040]  所以它是蠻有錢的一個地方
[00:01:30.040 --> 00:01:33.880]  因為這個教會它是一個富有的教會
[00:01:33.880 --> 00:01:36.920]  所以很自然人有了錢之後
[00:01:36.920 --> 00:01:39.760]  人就會開始比較安逸
[00:01:39.760 --> 00:01:40.920]  人有了錢之後
[00:01:40.920 --> 00:01:42.400]  人就開始放鬆
[00:01:42.400 --> 00:01:44.080]  人開始會覺得自滿
[00:01:44.080 --> 00:01:50.400]  人開始過得覺得以他自己所擁有的財富來驕傲
[00:01:50.400 --> 00:01:51.960]  那麼聖經上裡面
[00:01:51.960 --> 00:01:53.880]  我們看到這七個教會
[00:01:53.880 --> 00:01:57.600]  主耶穌責備的教會
[00:01:57.600 --> 00:02:01.120]  主耶穌只有稱讚兩個教會
[00:02:01.120 --> 00:02:04.400]  我們上禮拜講到那個教會是什麼教會
[00:02:04.400 --> 00:02:07.080]  菲拉鐵非教會
[00:02:07.080 --> 00:02:10.000]  那麼除了菲拉鐵非教會之外
[00:02:10.000 --> 00:02:16.000]  還有哪一個教會被主稱讚的考一下
[00:02:16.000 --> 00:02:18.000]  還有哪一個教會
[00:02:18.000 --> 00:02:19.280]  斯美拉教會
[00:02:19.280 --> 00:02:22.120]  斯美拉這個教會你就記得它是一個苦難
[00:02:22.120 --> 00:02:24.040]  斯美拉就是末要的意思
[00:02:24.040 --> 00:02:27.640]  所以它是一個經過苦難還能夠堅守祖德道的教會
[00:02:27.640 --> 00:02:29.760]  所以這兩個教會是被主稱讚的
[00:02:29.760 --> 00:02:31.360]  但聖經上有兩個教會
[00:02:31.360 --> 00:02:32.760]  它沒有被主稱讚
[00:02:32.760 --> 00:02:34.040]  只有被主責備的
[00:02:34.040 --> 00:02:39.200]  哪兩個教會
[00:02:39.200 --> 00:02:42.080]  一個是沙迪教會
[00:02:42.080 --> 00:02:44.480]  另外一個呢
[00:02:44.480 --> 00:02:45.680]  另外一個是什麼
[00:02:45.680 --> 00:02:50.880]  就是勞底加教會
[00:02:50.880 --> 00:02:53.240]  那主責備這個勞底加教會
[00:02:53.240 --> 00:02:57.320]  主責備它什麼呢
[00:02:57.320 --> 00:02:59.320]  我們來看一下
[00:02:59.320 --> 00:03:03.320]  15節到17節這裡講到主責備它的
[00:03:03.320 --> 00:03:10.360]  那你看主責備它一開始講什麼
[00:03:10.360 --> 00:03:12.480]  它說
[00:03:12.480 --> 00:03:15.240]  前面是講的不冷不熱對不對
[00:03:15.240 --> 00:03:18.480]  但是事實上它講的不冷不熱的原因是什麼
[00:03:18.480 --> 00:03:20.080]  是下面說什麼
[00:03:20.080 --> 00:03:22.400]  它說你說我是富足的
[00:03:22.400 --> 00:03:23.680]  已經發了財
[00:03:23.680 --> 00:03:24.800]  一氧都不缺
[00:03:24.800 --> 00:03:32.520]  卻不知道你是那困苦可憐貧窮瞎眼赤身的
[00:03:32.520 --> 00:03:33.480]  丟準備
[00:03:33.480 --> 00:03:40.240]  這一個教會我稱它叫做虛有其表
[00:03:40.240 --> 00:03:44.040]  或者說華而不實
[00:03:44.040 --> 00:03:45.760]  你會發現一個意思
[00:03:45.760 --> 00:03:49.720]  沙迪教會跟它都有類似的問題
[00:03:49.720 --> 00:03:51.600]  沙迪教會其實更慘
[00:03:51.600 --> 00:03:54.000]  沙迪教會它的問題是什麼
[00:03:54.000 --> 00:03:55.080]  主責備它什麼
[00:03:55.080 --> 00:03:57.800]  說它暗明是活的
[00:03:57.800 --> 00:04:00.280]  其實是死的
[00:04:00.280 --> 00:04:05.520]  換句話說是有明無實
[00:04:05.520 --> 00:04:07.000]  那以今天的話語來講
[00:04:07.000 --> 00:04:10.840]  一個基督徒如果是有明無實和暗明是活的
[00:04:10.840 --> 00:04:13.800]  其實是死的是什麼意思呢
[00:04:13.800 --> 00:04:15.680]  就是他是掛名的基督徒
[00:04:15.680 --> 00:04:19.160]  他根本沒有重生得救
[00:04:19.160 --> 00:04:20.800]  老底家的教會
[00:04:20.800 --> 00:04:22.240]  老底家的信徒
[00:04:22.240 --> 00:04:23.520]  他們說我很有錢
