
[00:00:00.000 --> 00:00:01.540]  各位親愛的兄弟姐妹你們好
[00:00:01.540 --> 00:00:04.600]  我很衷心地去感謝天父
[00:00:04.600 --> 00:00:07.680]  讓我有機會和大家一齊分享神的話語
[00:00:07.680 --> 00:00:09.100]  也感謝教會
[00:00:09.100 --> 00:00:10.200]  特別是勞牧師
[00:00:10.200 --> 00:00:12.840]  讓我有機會和大家有六堂的時間
[00:00:12.840 --> 00:00:14.560]  來分享這個課題
[00:00:14.560 --> 00:00:17.280]  大國的崛起與衰亡
[00:00:17.280 --> 00:00:21.320]  我們過去曾經有三堂時間看《約拿書》
[00:00:21.320 --> 00:00:23.520]  在《約拿書》裏面我們看到
[00:00:23.520 --> 00:00:25.520]  這是很特別的一本書卷
[00:00:25.520 --> 00:00:28.160]  和其他的小先知很不同的
[00:00:28.160 --> 00:00:31.820]  《約拿書》和《馬拉基書》是很獨特的
[00:00:31.820 --> 00:00:36.640]  因為大部份的經卷都是講神的訊息
[00:00:36.640 --> 00:00:40.920]  但《約拿書》卻是以神祂自己
[00:00:40.920 --> 00:00:44.860]  如何去塗造約拿作為一個準則
[00:00:44.860 --> 00:00:47.960]  或者成為那本書裏面的中心點
[00:00:47.960 --> 00:00:50.200]  反而很少提到
[00:00:50.200 --> 00:00:54.040]  約拿如何宣講神的話語
[00:00:54.040 --> 00:00:56.360]  我們已經看了《約拿書》
[00:00:56.360 --> 00:00:59.400]  我們用了三堂時間,今天是最後一堂
[00:00:59.400 --> 00:01:02.080]  來看《納洪書》
[00:01:02.080 --> 00:01:04.880]  我們只看剩最後一章
[00:01:04.880 --> 00:01:09.360]  這章聖經其實是講利利微如何傾覆
[00:01:09.360 --> 00:01:11.120]  我已經和大家分享過
[00:01:11.120 --> 00:01:14.200]  在《納洪書》裏面最深的體會
[00:01:14.200 --> 00:01:18.480]  就是有幾節經文其實是在安慰
[00:01:18.480 --> 00:01:23.000]  正在面對苦楚的猶大子民
[00:01:23.000 --> 00:01:29.040]  焦點其實不只是向利利微宣告他們的沒落
[00:01:29.040 --> 00:01:31.280]  他們的被摧毀
[00:01:31.280 --> 00:01:34.400]  而是直接這樣去安慰
[00:01:34.400 --> 00:01:38.200]  正在受苦的希伯來的民族
[00:01:38.200 --> 00:01:40.680]  只是最後一章
[00:01:40.680 --> 00:01:42.320]  所以我很想在今天裏面
[00:01:42.320 --> 00:01:47.360]  也分享自己一些研讀神話語的感受
[00:01:47.360 --> 00:01:50.920]  但我想先和大家看第一到第四節
[00:01:50.920 --> 00:01:52.480]  就是《爾賽亞書》
[00:01:52.480 --> 00:01:54.400]  第一句說話是怎樣說呢?
[00:01:54.400 --> 00:01:58.600]  「和哉!那些設立不義之律例的
[00:01:58.600 --> 00:02:01.680]  和紀錄奸詐之判汝的
