
[00:00:00.000 --> 00:00:04.760]  一起讀一段聖經,在約爾蘇第二章二十三到第二十五節
[00:00:04.760 --> 00:00:09.800]  這裡說:喜安的民啊,你們要快樂,為耶華你們的神歡喜
[00:00:09.800 --> 00:00:13.840]  因祂賜給你們合一的秋雨,為你們降下甘霖
[00:00:13.840 --> 00:00:16.800]  就是秋雨、春雨與先前一樣
[00:00:16.800 --> 00:00:21.800]  河場必滿了麥子,酒乍有油乍必有新酒和有盈益
[00:00:21.800 --> 00:00:23.900]  我打發到你們中間的大軍隊
[00:00:23.900 --> 00:00:27.500]  就是黃蟲、男子、馬乍、簡蟲那些年所吃的
[00:00:27.500 --> 00:00:29.500]  我要補還你們
[00:00:29.500 --> 00:00:31.500]  我們就讀到這裡
[00:00:31.500 --> 00:00:34.500]  各位姐妹,從去年三月十七號
[00:00:34.500 --> 00:00:39.500]  加州開始居家閉役直到如今整整一年了
[00:00:39.500 --> 00:00:43.500]  今天能回到神的家中聚會興奮嗎?
[00:00:43.500 --> 00:00:46.500]  Hallelujah!
[00:00:46.500 --> 00:00:48.500]  你能夠想像不久之後
[00:00:48.500 --> 00:00:52.500]  大家都能夠回到神的家中一同來敬拜
[00:00:52.500 --> 00:00:59.500]  Shakina Glory的聖殿能夠再一次有滿場的敬拜讚美的場面嗎?
[00:00:59.500 --> 00:01:03.500]  Amen! Hallelujah!
[00:01:03.500 --> 00:01:10.500]  雖然今天我們的聚集的重開是一小群的弟兄姐妹在這裡
[00:01:10.500 --> 00:01:17.500]  但我相信今天這個日子是在屬靈上是非常有意義的
[00:01:17.500 --> 00:01:22.500]  因為今天就是神的一個新的季節的開始
[00:01:22.500 --> 00:01:23.500]  Amen!
[00:01:23.500 --> 00:01:27.500]  這為什麼在約爾書裡面二章二十三節說
[00:01:27.500 --> 00:01:29.500]  西安的名啊
[00:01:29.500 --> 00:01:31.500]  誰是西安的名啊?
[00:01:31.500 --> 00:01:33.500]  就是我們屬神的子民
[00:01:33.500 --> 00:01:35.500]  這裡說西安的名啊
[00:01:35.500 --> 00:01:37.500]  要快樂為要你們神歡喜
[00:01:37.500 --> 00:01:42.500]  因祂賜給你們合一的秋雨為你們降下甘霖
[00:01:42.500 --> 00:01:46.500]  就是秋雨、春雨與先前一樣
[00:01:46.500 --> 00:01:49.500]  秋雨、春雨代表什麼?
[00:01:49.500 --> 00:01:54.500]  秋雨、春雨就代表季節的轉換嘛
