
[00:00:00.000 --> 00:00:03.000]  大家知道今天是12月2號
[00:00:03.000 --> 00:00:11.240]  我們正式進入2018年的聖誕季節
[00:00:11.240 --> 00:00:13.240]  Am I correct?
[00:00:13.240 --> 00:00:15.800]  與此同時也要告訴我們
[00:00:15.800 --> 00:00:19.040]  2018年快要結束了
[00:00:19.040 --> 00:00:20.440]  不知道大家有沒有時間
[00:00:20.440 --> 00:00:23.440]  大家也是忙着看聖誕節 家裏回來
[00:00:23.440 --> 00:00:25.800]  可能沒什麼時候會坐下想一想
[00:00:25.800 --> 00:00:27.960]  誒 過了11個月了
[00:00:27.960 --> 00:00:31.400]  在這11個月裏 我到底做了什麼呢?
[00:00:31.400 --> 00:00:37.200]  有沒有什麼成就呢?
[00:00:37.200 --> 00:00:38.600]  可能你會說
[00:00:38.600 --> 00:00:40.960]  12月過了算了 忘記吧
[00:00:40.960 --> 00:00:44.480]  我想很多人 包括我自己在內
[00:00:44.480 --> 00:00:46.240]  已經在想
[00:00:46.240 --> 00:00:50.520]  2018年我們怎麼能夠開始一個新的旅程
[00:00:50.520 --> 00:00:52.080]  Do something new
[00:00:52.080 --> 00:00:54.400]  在2019年 對不起 不是2018年
[00:00:54.400 --> 00:01:00.160]  2019年 我們開始一個新的人生的旅程
[00:01:00.160 --> 00:01:01.160]  事實上呢
[00:01:01.160 --> 00:01:05.200]  大家知道我們上個星期開始講人生旅程
[00:01:05.200 --> 00:01:07.440]  我們每個人都有人生的旅程
[00:01:07.440 --> 00:01:11.000]  You are walking in your life's journey
[00:01:11.000 --> 00:01:13.720]  我相信大部分中國人
[00:01:13.720 --> 00:01:17.320]  我們都不希望在我們人生的旅程當中
[00:01:17.320 --> 00:01:19.800]  有太多的surprises
[00:01:19.800 --> 00:01:21.000]  喜不喜歡
[00:01:21.000 --> 00:01:22.760]  太多驚喜
[00:01:22.760 --> 00:01:25.720]  或者不是驚喜 因爲驚還是喜
[00:01:25.720 --> 00:01:28.840]  我們很多時候不想在我們人生的旅程當中
[00:01:28.840 --> 00:01:32.560]  太多extraordinary
[00:01:32.560 --> 00:01:33.960]  反常
[00:01:33.960 --> 00:01:36.040]  或者一些很特別的事情
[00:01:36.040 --> 00:01:39.160]  發生在我們的身上
[00:01:39.160 --> 00:01:41.200]  是不是這樣的
[00:01:41.200 --> 00:01:43.080]  不過有時候人很壞的
[00:01:43.080 --> 00:01:47.000]  當你的人生當中沒有什麼驚喜
[00:01:47.000 --> 00:01:49.560]  每一天都很平平淡淡地過
[00:01:49.560 --> 00:01:50.480]  有時候你會覺得
[00:01:50.480 --> 00:01:53.800]  Everyday is the same 好像一個機器
[00:01:53.800 --> 00:01:58.000]  每天都在做同樣的事情
[00:01:58.000 --> 00:01:59.200]  你就會發現
[00:01:59.200 --> 00:02:01.640]  人生當中來說
[00:02:01.640 --> 00:02:03.920]  就少了一點樂趣
[00:02:03.920 --> 00:02:05.320]  有沒有這種感覺
[00:02:05.320 --> 00:02:07.720]  Everyday is the same
[00:02:07.720 --> 00:02:09.520]  所以我做牧師幾十年
[00:02:09.520 --> 00:02:11.120]  現在我很少做婚姻輔導
[00:02:11.120 --> 00:02:13.040]  通常是
[00:02:13.040 --> 00:02:15.040]  婚前輔導很少做
[00:02:15.040 --> 00:02:18.800]  婚姻輔導經常做
[00:02:18.800 --> 00:02:20.720]  通常我鼓勵那些在拍拖
[00:02:20.720 --> 00:02:21.920]  即是準備結婚的
[00:02:21.920 --> 00:02:23.240]  不要拍太久
[00:02:23.240 --> 00:02:24.720]  什麼愛情長跑
[00:02:24.720 --> 00:02:26.720]  千萬不要做這些事情
[00:02:26.720 --> 00:02:27.600]  爲什麼
[00:02:27.600 --> 00:02:30.600]  當你拍拖太長時間的時候
[00:02:30.600 --> 00:02:31.680]  那種愛
[00:02:31.680 --> 00:02:34.440]  即是戀愛當中的那種興奮
[00:02:34.440 --> 00:02:36.800]  和愛意那種甜蜜
[00:02:36.800 --> 00:02:40.480]  就會隨着時間慢慢淡化
[00:02:40.480 --> 00:02:42.720]  我不surprise
[00:02:42.720 --> 00:02:44.280]  到你結婚那一晚
[00:02:44.280 --> 00:02:44.960]  你纔會想
[00:02:44.960 --> 00:02:46.920]  咦 明天就結婚了
[00:02:46.920 --> 00:02:50.760]  Did I marry the right woman?
[00:02:50.760 --> 00:02:54.160]  Did I commit my life to the right guy?
[00:02:54.160 --> 00:02:55.000]  有些人就會想
[00:02:55.000 --> 00:02:59.240]  我會不會娶錯老婆嫁錯老公
[00:02:59.240 --> 00:03:00.640]  有時候到結婚前一晚
[00:03:00.640 --> 00:03:01.960]  都還會這樣想
[00:03:01.960 --> 00:03:02.760]  因爲拖太久
[00:03:02.760 --> 00:03:06.480]  你沒了那種感覺
[00:03:06.480 --> 00:03:09.280]  在座大部分人都結婚了
[00:03:09.280 --> 00:03:10.280]  結婚那些
[00:03:10.280 --> 00:03:14.000]  就算你的婚姻關係良好
[00:03:14.000 --> 00:03:14.840]  What do you mean?
[00:03:14.840 --> 00:03:16.600]  大家都會彼此關心
[00:03:16.600 --> 00:03:18.200]  互相的support
[00:03:18.200 --> 00:03:19.360]  彼此支持
[00:03:19.360 --> 00:03:20.760]  有什麼問題的時候
[00:03:20.760 --> 00:03:23.080]  大家都會幫忙
[00:03:23.080 --> 00:03:24.720]  不過呢
[00:03:24.720 --> 00:03:26.240]  當時間慢慢過去
[00:03:26.240 --> 00:03:27.160]  五年
[00:03:27.160 --> 00:03:28.440]  不要說七年
[00:03:28.440 --> 00:03:29.440]  十年
[00:03:29.440 --> 00:03:30.600]  十五年
[00:03:30.600 --> 00:03:31.640]  二十年
[00:03:31.640 --> 00:03:33.680]  過了去之後呢
[00:03:33.680 --> 00:03:35.000]  你仍然是關心大家的
[00:03:35.000 --> 00:03:35.840]  幫助大家的
[00:03:35.840 --> 00:03:37.240]  照顧大家的
[00:03:37.240 --> 00:03:38.000]  不過忽然之間
[00:03:38.000 --> 00:03:39.240]  可能有一個印象
[00:03:39.240 --> 00:03:41.360]  飛過你的腦海當中
[00:03:41.360 --> 00:03:45.160]  This is a good partner
[00:03:45.160 --> 00:03:46.680]  a good companion
[00:03:46.680 --> 00:03:47.920]  這個是一個好伴侶
[00:03:47.920 --> 00:03:49.840]  一個好拍檔
[00:03:49.840 --> 00:03:56.280]  But is she or he still your lover?
[00:03:56.280 --> 00:03:57.840]  那個是不是仍然是你的愛人呢
[00:03:57.840 --> 00:03:59.040]  中國大陸裏面
[00:03:59.040 --> 00:04:00.440]  叫老婆做愛人的
[00:04:00.440 --> 00:04:01.160]  不停地叫
[00:04:01.160 --> 00:04:02.760]  是不是真的愛人呢
[00:04:02.760 --> 00:04:04.200]  過了一段時間
[00:04:04.200 --> 00:04:05.080]  很多時候
[00:04:05.080 --> 00:04:06.160]  我們會有一個疑問
[00:04:06.160 --> 00:04:07.800]  Am I still love her?
[00:04:07.800 --> 00:04:10.320]  Am I still love this guy?
[00:04:10.320 --> 00:04:12.400]  有時我們都會有
[00:04:12.400 --> 00:04:16.440]  這樣的感覺在當中
[00:04:16.440 --> 00:04:19.960]  爲什麼我會說這樣的東西呢
