
[00:00:00.000 --> 00:00:02.980]  請我們一起禱告
[00:00:02.980 --> 00:00:06.160]  天父我們多謝你給我們一起的學習
[00:00:06.160 --> 00:00:10.380]  有敬拜願意這段有你自己的話
[00:00:10.380 --> 00:00:11.720]  去提醒我們
[00:00:11.720 --> 00:00:13.760]  去幫助我們
[00:00:13.760 --> 00:00:15.740]  你給我們的使命
[00:00:15.740 --> 00:00:18.800]  我們好好地去回應
[00:00:18.800 --> 00:00:21.760]  留意你所做的一切
[00:00:21.760 --> 00:00:25.240]  在世界上求主去幫助
[00:00:25.240 --> 00:00:26.920]  祈禱奉主耶穌基督的名
[00:00:26.920 --> 00:00:28.280]  阿們
[00:00:28.280 --> 00:00:30.980]  最近我相信大家無論在報章上
[00:00:30.980 --> 00:00:32.500]  或者電視上
[00:00:32.500 --> 00:00:35.080]  看到一些很瘦的小孩
[00:00:35.080 --> 00:00:36.740]  你有沒有看過這些畫面
[00:00:36.740 --> 00:00:39.240]  就是加沙裡面有很多的
[00:00:39.240 --> 00:00:41.320]  饑荒的情況
[00:00:41.320 --> 00:00:44.960]  這個數字單是在七月
[00:00:44.960 --> 00:00:46.680]  開頭的兩個
[00:00:46.680 --> 00:00:48.900]  首兩個星期
[00:00:48.900 --> 00:00:54.320]  有五千個小孩患了營養不良
[00:00:54.320 --> 00:00:57.400]  而且有兩成是嚴重的
[00:00:57.400 --> 00:01:01.100]  有些要送到醫院去被治療
[00:01:01.100 --> 00:01:04.740]  也有超過四成的孕婦
[00:01:04.740 --> 00:01:10.780]  或者是哺乳嬰孩的婦女
[00:01:10.780 --> 00:01:11.940]  也是營養不良
[00:01:11.940 --> 00:01:14.000]  你想想這樣的情況之下
[00:01:14.000 --> 00:01:16.340]  其實是非常大的危機
[00:01:16.340 --> 00:01:19.420]  所以我們每日新聞都看到這些事情
[00:01:19.420 --> 00:01:21.840]  也有一個報導說
[00:01:21.840 --> 00:01:25.500]  這些數字從五月中的時候
[00:01:25.500 --> 00:01:28.160]  我們會聽到很多的拿東西吃
[00:01:28.160 --> 00:01:32.120]  然後突然間炸彈或者很多的混亂
[00:01:32.120 --> 00:01:33.800]  造成一些死傷
[00:01:33.800 --> 00:01:35.820]  這個數字現在累計
[00:01:35.820 --> 00:01:40.360]  大概死亡人數大概是1060人
[00:01:40.360 --> 00:01:42.980]  傷的就是7200人
[00:01:42.980 --> 00:01:44.560]  這個數字可能繼續會
[00:01:44.560 --> 00:01:47.680]  我們不希望再增加
[00:01:47.680 --> 00:01:49.680]  但是我們發覺希望
[00:01:49.680 --> 00:01:51.800]  這些救援的物資
[00:01:51.800 --> 00:01:53.600]  能夠去到有需要的人
[00:01:53.600 --> 00:01:55.580]  這場的戰爭
[00:01:55.580 --> 00:01:59.060]  希望能夠阻礙到知識
[00:01:59.060 --> 00:02:00.320]  不僅如此
[00:02:00.320 --> 00:02:03.080]  我們看到還有很多的世界
[00:02:03.080 --> 00:02:04.520]  很多的亂
[00:02:04.520 --> 00:02:07.120]  澳烏的戰爭還沒完
[00:02:07.120 --> 00:02:10.560]  我們都不知道怎樣才能夠平息得到
[00:02:10.560 --> 00:02:12.280]  剛剛才結束了
