
[00:00:00.000 --> 00:00:04.640]  一首很安慰、很美好的詩歌
[00:00:04.640 --> 00:00:06.160]  願上帝越立
[00:00:06.160 --> 00:00:08.160]  都成為我們的幫助
[00:00:08.160 --> 00:00:10.160]  丁姐妹平安
[00:00:10.160 --> 00:00:14.160]  你預備好敬拜上帝了嗎?
[00:00:14.160 --> 00:00:16.160]  感激神
[00:00:16.160 --> 00:00:19.160]  大概四十年前
[00:00:19.160 --> 00:00:20.360]  不知多還是少
[00:00:20.360 --> 00:00:22.360]  應該是多於四十年
[00:00:22.360 --> 00:00:27.360]  當時我參加教會的青少年團契
[00:00:27.360 --> 00:00:30.360]  有個團友在家裡梅窩
[00:00:30.360 --> 00:00:32.360]  有個度假屋
[00:00:32.360 --> 00:00:36.360]  我們兄弟姐妹就參加生活營
[00:00:36.360 --> 00:00:41.360]  我們兄弟真是無所事事
[00:00:41.360 --> 00:00:46.360]  不知為何突然想起一個節目
[00:00:46.360 --> 00:00:53.360]  策劃一個扮鬼嚇姐妹的行動
[00:00:53.360 --> 00:00:57.360]  將頭縮進T恤裡
[00:00:57.360 --> 00:01:00.360]  變成一個無頭鬼
[00:01:00.360 --> 00:01:02.360]  拿著燈籠
[00:01:02.360 --> 00:01:05.360]  打算在露台外面
[00:01:05.360 --> 00:01:08.360]  躲在窗口裡
[00:01:08.360 --> 00:01:12.360]  當姐妹一看到窗就嚇一跳
[00:01:12.360 --> 00:01:16.360]  為了讓整件事能夠順利
[00:01:16.360 --> 00:01:18.360]  我們先試一次
[00:01:18.360 --> 00:01:20.360]  試完之後發覺
[00:01:20.360 --> 00:01:22.360]  真的很恐怖
[00:01:22.360 --> 00:01:25.360]  於是臨危立馬
[00:01:25.360 --> 00:01:27.360]  不好了
[00:01:27.360 --> 00:01:30.360]  我們怕弄出人命
[00:01:30.360 --> 00:01:34.360]  所以取消了那次的行動
[00:01:34.360 --> 00:01:38.360]  這件事應該女仙姆都不知道
[00:01:38.360 --> 00:01:41.360]  四十年後的終極告白
[00:01:41.360 --> 00:01:45.360]  竟然在講壇裡宣告
[00:01:45.360 --> 00:01:46.360]  是的
[00:01:46.360 --> 00:01:51.360]  有些事真的不能說得少
[00:01:51.360 --> 00:01:54.360]  因為事關人命
[00:01:54.360 --> 00:01:57.360]  事關生命
[00:01:57.360 --> 00:02:00.360]  今早很想和大家思想一件
[00:02:00.360 --> 00:02:02.360]  同樣不能說得少
[00:02:02.360 --> 00:02:05.360]  又關乎生命的事
[00:02:05.360 --> 00:02:07.360]  我們一起讀今天的港島經文
[00:02:07.360 --> 00:02:11.360]  馬達福音七章24-27節
[00:02:11.360 --> 00:02:12.360]  一起在螢光幕讀
[00:02:12.360 --> 00:02:13.360]  預備起
[00:02:13.360 --> 00:02:16.360]  凡聽了我這些話
[00:02:16.360 --> 00:02:17.360]  又去做的
[00:02:17.360 --> 00:02:19.360]  好比一個聰明人
[00:02:19.360 --> 00:02:22.360]  把房子蓋在盤石上
[00:02:22.360 --> 00:02:24.360]  風吹雨打水沖
[00:02:24.360 --> 00:02:26.360]  撞擊那房子
[00:02:26.360 --> 00:02:28.360]  房子還不倒塌
[00:02:28.360 --> 00:02:31.360]  因為根基立在盤石上
[00:02:31.360 --> 00:02:33.360]  凡聽了我這些話
[00:02:33.360 --> 00:02:35.360]  而不去做的
[00:02:35.360 --> 00:02:37.360]  好比一個無知的人
[00:02:37.360 --> 00:02:39.360]  把房子蓋在沙土上
[00:02:39.360 --> 00:02:42.360]  風吹雨打水沖
[00:02:42.360 --> 00:02:44.360]  撞擊那房子
[00:02:44.360 --> 00:02:46.360]  房子就倒塌了
[00:02:46.360 --> 00:02:49.360]  並且倒塌得很例外
[00:02:49.360 --> 00:02:50.360]  這段記載
[00:02:50.360 --> 00:02:51.360]  這幾節的經文
[00:02:51.360 --> 00:02:55.360]  其實是登山寶訓的最後一部分
[00:02:55.360 --> 00:03:01.360]  馬達福音5-7章被稱為登山寶訓
[00:03:01.360 --> 00:03:04.360]  已故斯特特牧師曾經說過
[00:03:04.360 --> 00:03:07.360]  登山寶訓很重要
[00:03:07.360 --> 00:03:09.360]  登山寶訓可以說是一個
[00:03:09.360 --> 00:03:13.360]  基督教式的反文化的宣告
[00:03:13.360 --> 00:03:16.360]  因為耶穌教導他的門徒
[00:03:16.360 --> 00:03:18.360]  要以善勝惡
[00:03:18.360 --> 00:03:20.360]  要愛你的仇敵
[00:03:20.360 --> 00:03:23.360]  記不記得我曾經說過
[00:03:23.360 --> 00:03:26.360]  不要積寶在地上
[00:03:26.360 --> 00:03:28.360]  即是不要儲錢
[00:03:28.360 --> 00:03:30.360]  即是不要愛太多錢
[00:03:30.360 --> 00:03:33.360]  我想聽完的人會覺得
[00:03:33.360 --> 00:03:35.360]  可能連我們頂子妹都覺得
