
[00:00:00.000 --> 00:00:02.440]  我自己在過去的墓會的時候
[00:00:02.440 --> 00:00:04.160]  教會有洗禮
[00:00:04.160 --> 00:00:05.600]  當年我們教會洗完禮之後
[00:00:05.600 --> 00:00:07.840]  就會送一些東西給他們
[00:00:07.840 --> 00:00:10.760]  有三個選擇給他們選擇
[00:00:10.760 --> 00:00:12.240]  一個就是聖經
[00:00:12.240 --> 00:00:14.800]  一個就是舊約的附讀
[00:00:14.800 --> 00:00:16.160]  一個就是新約的附讀
[00:00:16.160 --> 00:00:17.480]  任由他們選擇
[00:00:17.480 --> 00:00:20.000]  無論這三種的禮物
[00:00:20.000 --> 00:00:21.400]  無論是聖經也好
[00:00:21.400 --> 00:00:22.800]  新舊約附讀也好
[00:00:22.800 --> 00:00:24.600]  我都會寫一些東西
[00:00:24.600 --> 00:00:26.080]  來祝福他們
[00:00:26.080 --> 00:00:28.880]  我寫的時候一定是用一段經文
[00:00:28.880 --> 00:00:32.200]  這段經文就在哥羅西書的第二章第六到第七節
[00:00:32.200 --> 00:00:33.600]  我們一起來讀書好嗎
[00:00:33.600 --> 00:00:35.680]  哥羅西書第二章第二章到第七節
[00:00:35.680 --> 00:00:37.000]  我們一起來讀書
[00:00:37.000 --> 00:00:51.720]  不好意思
[00:00:51.720 --> 00:00:54.000]  我做的拋光能力都不是很好
[00:00:54.000 --> 00:00:56.160]  這裡是考大家的眼力
[00:00:56.160 --> 00:00:57.600]  你看得不清楚
[00:00:57.600 --> 00:00:59.960]  你就可以再配一個眼鏡
[00:00:59.960 --> 00:01:02.400]  請大家描述我
[00:01:02.400 --> 00:01:04.400]  當我們信主的時候
[00:01:04.400 --> 00:01:06.880]  不是一個完結
[00:01:06.880 --> 00:01:11.480]  很開心我今天收到一封相片
[00:01:11.480 --> 00:01:14.000]  在Warrington裡面有一個老人家
[00:01:14.000 --> 00:01:16.560]  我上兩個月的時候
[00:01:16.560 --> 00:01:18.360]  他趕到利物浦
[00:01:18.360 --> 00:01:19.760]  他們家人就通知我
[00:01:19.760 --> 00:01:23.720]  原來他的爸爸很喜歡聽我的影視演講
[00:01:23.720 --> 00:01:25.600]  原來我去探望他
[00:01:25.600 --> 00:01:27.160]  他已經信了主
