
[00:00:00.000 --> 00:00:05.240]  我相信天下的父母都愛惜自己的兒女和孫兒
[00:00:05.240 --> 00:00:11.080]  我相信每一位父母都愛他的兒女和孫兒
[00:00:11.080 --> 00:00:15.560]  因為他們都是我們的至親和至愛的人
[00:00:15.560 --> 00:00:18.760]  因為他們都是我們至親至愛的人
[00:00:18.760 --> 00:00:25.360]  在絕大部分的情況之下
[00:00:25.360 --> 00:00:35.480]  我們都會為兒孫的益處而籌算
[00:00:35.480 --> 00:00:43.480]  為他們擔憂和犧牲自己的所有
[00:00:43.480 --> 00:00:50.680]  包括時間、金錢、精神、體力
[00:00:50.680 --> 00:00:57.960]  有些人為了兒女愛到一個地步,甚至會犧牲自己的生命
[00:00:57.960 --> 00:01:02.560]  有些人愛他們的兒女,甚至會到犧牲自己的地步
[00:01:02.560 --> 00:01:08.360]  所以當昨天我看到一宗新聞的時候,我感到非常的震驚
[00:01:08.360 --> 00:01:14.360]  所以當我昨天看到一宗新聞的時候,我感到非常的震驚
[00:01:14.360 --> 00:01:18.800]  是什麼新聞呢?
[00:01:18.800 --> 00:01:26.160]  在美國佛羅里達州,有一個人打電話給警察局
[00:01:26.160 --> 00:01:31.720]  在美國佛羅里達州,有一個人打電話給警察局
[00:01:31.720 --> 00:01:36.920]  他說我殺了人,並且要準備吞槍自殺
[00:01:36.920 --> 00:01:39.400]  而且要吞槍自殺
[00:01:39.400 --> 00:01:43.400]  那些警員馬上趕去現場
[00:01:43.400 --> 00:01:46.600]  那些警員馬上趕到現場
[00:01:46.600 --> 00:01:51.280]  發現有八個人死了
[00:01:51.280 --> 00:01:58.520]  除了這個男死者之外,還有一個女死者
[00:01:58.520 --> 00:02:01.920]  還有六個小朋友
[00:02:01.920 --> 00:02:09.400]  最大的只有十一歲
[00:02:09.400 --> 00:02:18.000]  原來這個男人是一個五十一歲的叫做史皮里特的人
[00:02:18.000 --> 00:02:25.400]  原來這個男子是五十一歲的,他的名字叫史皮里特
[00:02:25.400 --> 00:02:29.920]  他就有一個殺人的前科
[00:02:29.920 --> 00:02:32.680]  他以前曾經殺過人
[00:02:32.680 --> 00:02:36.120]  他曾經誤殺過他的兒子
[00:02:36.120 --> 00:02:38.800]  他曾經誤殺了他自己的兒子
[00:02:38.800 --> 00:02:43.920]  所以他被監禁了一段時間,三年
[00:02:43.920 --> 00:02:47.160]  然後在2006年出獄
[00:02:47.160 --> 00:02:52.960]  所以他曾經坐牢三年,而在2006年釋放出來
[00:02:52.960 --> 00:02:58.320]  換句話說,八年後的今天
[00:02:58.320 --> 00:03:02.400]  他又再犯案
[00:03:02.400 --> 00:03:07.600]  他這次殺死了自己親生的女兒
[00:03:07.600 --> 00:03:10.920]  他這次殺死了自己的親生的女兒
[00:03:10.920 --> 00:03:16.840]  還有六個外孫
[00:03:16.840 --> 00:03:22.280]  年紀最輕的只有三個月大
[00:03:22.280 --> 00:03:29.320]  所以我們真的很難去相信
[00:03:29.320 --> 00:03:35.640]  一個人竟然把自己的親人殺死
[00:03:35.640 --> 00:03:38.120]  (主)大家的感受是怎樣的?
[00:03:38.120 --> 00:03:39.640]  (李)大家的感受是怎樣的?
[00:03:39.640 --> 00:03:41.400]  (主)你感覺這個人是怎樣的?
[00:03:41.400 --> 00:03:43.280]  (李)你感覺這個人是怎樣的一個人?
[00:03:43.280 --> 00:03:44.520]  (主)是不是一個正常的人?
[00:03:44.520 --> 00:03:45.920]  (李)是正常的一個人嗎?
[00:03:45.920 --> 00:03:47.720]  (主)我相信他是瘋的
[00:03:47.720 --> 00:03:49.000]  (李)我相信他是瘋的
[00:03:49.000 --> 00:03:50.600]  (主)如果正常人不會這樣做
[00:03:50.600 --> 00:03:53.520]  (李)正常人是不會這樣做的
[00:03:53.520 --> 00:03:57.240]  (主)如果他是正常的話,他所做的事我們絕對不會原諒
[00:03:57.240 --> 00:04:02.280]  (李)如果他是正常的話,他所做的事我們不會原諒他
[00:04:02.280 --> 00:04:10.160]  (主)今天讓我們思想一下主耶穌有關如何愛神和愛人的教訓
[00:04:10.160 --> 00:04:15.800]  (主)今天讓我們思想一下主耶穌有關如何愛神和愛人的教訓
[00:04:15.800 --> 00:04:24.720]  (主)並且要嘗試去實踐這個稱為大誡命的包含的兩條誡命
[00:04:24.720 --> 00:04:30.840]  (主)並且要嘗試去實踐這個大誡命的兩條誡命
[00:04:30.840 --> 00:04:36.080]  (主)我們來看第28節到第31節
[00:04:36.080 --> 00:04:38.800]  (李)我們來看第28節到第31節
[00:04:38.800 --> 00:04:41.240]  (主)請Raymond讀出來
[00:04:41.240 --> 00:04:46.280]  (李)第28節,有一個文士來聽見他們辯論
[00:04:46.280 --> 00:04:49.720]  (李)曉得耶穌回答得好,就問他說
[00:04:49.720 --> 00:04:54.280]  (李)這些民眾,那是第一要緊的呢?
[00:04:54.280 --> 00:04:57.800]  (李)耶穌回答說,第一要緊的就是說
[00:04:57.800 --> 00:05:02.760]  (李)以色列你要聽,主我們神是獨一的主
[00:05:02.760 --> 00:05:08.880]  (李)你要精信、精義、精力愛主你的神
[00:05:08.880 --> 00:05:12.520]  (李)其次就是說要愛人如己
[00:05:12.520 --> 00:05:16.280]  (李)再沒有比這兩條誡命更大的了
[00:05:16.280 --> 00:05:18.040]  (主)首先要交代一下背景
[00:05:18.040 --> 00:05:20.720]  (李)我交代一下那個背景
[00:05:20.720 --> 00:05:22.880]  (主)當時的民事和法利賽人
[00:05:22.880 --> 00:05:25.400]  (李)當時的民事和法利賽人
[00:05:25.400 --> 00:05:33.000]  (李)就經常為他們所設立的613條的律法
[00:05:33.000 --> 00:05:37.440]  (主)經常是為他們所設立的613條的律法
[00:05:37.440 --> 00:05:40.880]  (李)去經常爭論當中哪一條是最大的
[00:05:40.880 --> 00:05:45.440]  (主)他們經常去爭論當中哪一條是最大的
[00:05:45.440 --> 00:05:50.560]  (李)那他就將這條難題問主耶穌
[00:05:50.560 --> 00:05:53.480]  (主)他把這個難題去問主耶穌
[00:05:53.480 --> 00:05:59.720]  (主)當時耶穌被問到誡命中哪是第一要緊的呢?
[00:05:59.720 --> 00:06:06.120]  (李)主耶穌被他們問到誡命之中哪一條是最要緊的呢?
[00:06:06.120 --> 00:06:10.400]  (主)他並沒有用十誡當中
[00:06:10.400 --> 00:06:14.800]  (主)去選擇其中哪一條作為第一要緊的誡命
[00:06:14.800 --> 00:06:19.560]  (李)主耶穌他沒有在十誡之中去選擇哪一條
[00:06:19.560 --> 00:06:21.840]  (李)作為最第一要緊的誡命
[00:06:21.840 --> 00:06:30.080]  (主)而是用了猶太人每天都念誦的經文的其中一段去回答
