
[00:00:00.000 --> 00:00:01.460]  我們有一個低頭祈禱
[00:00:01.460 --> 00:00:02.600]  我們低頭禱告
[00:00:02.600 --> 00:00:04.400]  七夕天父祢多謝祢
[00:00:04.400 --> 00:00:06.440]  讓我們能夠去敬拜祢
[00:00:06.440 --> 00:00:08.120]  又聆聽祢自己的說話
[00:00:08.120 --> 00:00:11.240]  當我們來到去思想這段經文的時候
[00:00:11.240 --> 00:00:13.360]  求聖靈來到去幫助我們明白
[00:00:13.360 --> 00:00:16.600]  也都求主祢來到去親自的向我們說話
[00:00:16.600 --> 00:00:20.080]  讓我們的生命能夠去更加的來到去被祢使用
[00:00:20.080 --> 00:00:21.800]  祈禱奉耶穌的名頭
[00:00:21.800 --> 00:00:22.640]  Amen
[00:00:22.640 --> 00:00:24.960]  剛才所讀的這段經文
[00:00:24.960 --> 00:00:27.840]  《馬可福音》第五章第一到二十節
[00:00:27.840 --> 00:00:30.160]  是我們今天所集中思想的經文
[00:00:30.160 --> 00:00:32.480]  是我們今天要集中思想的經文
[00:00:32.480 --> 00:00:33.720]  可能大家聽的時候
[00:00:33.720 --> 00:00:35.920]  你覺得這段經文非常豐富
[00:00:35.920 --> 00:00:37.840]  情節非常緊湊
[00:00:37.840 --> 00:00:40.160]  只有你剛才聽的時候可能內容非常豐富
[00:00:40.160 --> 00:00:41.760]  情節非常緊湊
[00:00:41.760 --> 00:00:45.880]  但其實也都帶有一個很豐富的挑戰性在裡面
[00:00:45.880 --> 00:00:48.440]  其實也帶來一個很豐富的挑戰性在裡面
[00:00:48.440 --> 00:00:50.880]  我給了一個題目叫做「執行使命」
[00:00:50.880 --> 00:00:52.800]  我給了一個題目叫「執行使命」
[00:00:52.800 --> 00:00:55.920]  明顯的今早我的使命是執行使命
[00:00:55.920 --> 00:00:58.320]  明顯的今早我的使命就是
[00:00:58.320 --> 00:01:01.600]  跟大家來到去分解這段經文的真理
[00:01:01.600 --> 00:01:06.360]  我今天的使命就是和大家來分解這段經文的真理
[00:01:06.360 --> 00:01:08.160]  以致大家能夠去明白
[00:01:08.160 --> 00:01:10.360]  以及感受到那個迫切性
[00:01:10.360 --> 00:01:12.880]  願意在你日常生活當中
[00:01:12.880 --> 00:01:16.400]  來到去活出這段經文的真理
[00:01:16.400 --> 00:01:19.760]  從這經文可以看到這個迫切性
[00:01:19.760 --> 00:01:23.320]  感覺到大家在日常生活中如何去實踐出來
