
[00:00:00.000 --> 00:00:02.620]  我多謝天父給我機會來到大雅當中
[00:00:02.620 --> 00:00:04.800]  來到大雅當中的時候
[00:00:04.800 --> 00:00:06.680]  想想要講什麼課題呢?
[00:00:06.680 --> 00:00:08.180]  只有三晚
[00:00:08.180 --> 00:00:11.400]  在過去這幾年裡面
[00:00:11.400 --> 00:00:12.680]  特別是在英國
[00:00:12.680 --> 00:00:19.080]  很多人離開了他們成長、熟悉的地方
[00:00:19.080 --> 00:00:24.000]  去了英國、加拿大或者澳洲
[00:00:24.000 --> 00:00:26.120]  我自己也是其中一個
[00:00:26.120 --> 00:00:30.160]  我是二一年一月的時候就去了英國
[00:00:30.160 --> 00:00:32.560]  有很多的感受
[00:00:32.560 --> 00:00:34.760]  面對很多的困難
[00:00:34.760 --> 00:00:37.120]  也都有很多的衝擊
[00:00:37.120 --> 00:00:42.960]  但是更加多經歷到神的恩典和祝福
[00:00:42.960 --> 00:00:44.520]  所以我就在想
[00:00:44.520 --> 00:00:46.640]  不如我們看《約書二十幾》
[00:00:46.640 --> 00:00:50.440]  就是講以色列人怎樣進入加拿大
[00:00:50.440 --> 00:00:53.600]  今晚我們會看《過河卒》
[00:00:53.600 --> 00:00:56.280]  是講我們怎樣過約旦河
[00:00:56.280 --> 00:00:57.800]  進入加拿大
[00:00:57.800 --> 00:01:01.880]  打仗之前要面對一件很凶險的事
[00:01:01.880 --> 00:01:05.360]  明晚我們就會看一段我們很熟悉
[00:01:05.360 --> 00:01:07.800]  但經常都會搞錯的經文
[00:01:07.800 --> 00:01:10.080]  就是他們打耶利哥城
[00:01:10.080 --> 00:01:11.480]  想問問大家
[00:01:11.480 --> 00:01:14.400]  他們繞城走了多少次?
[00:01:14.400 --> 00:01:15.240]  七次而已
[00:01:15.240 --> 00:01:17.800]  就錯了
[00:01:17.800 --> 00:01:19.960]  絕對不是七次
[00:01:19.960 --> 00:01:21.360]  你回去看看
[00:01:21.360 --> 00:01:23.080]  明晚告訴大家
[00:01:23.080 --> 00:01:25.160]  究竟他們繞了多少次
[00:01:25.160 --> 00:01:27.880]  知不知道最大的困難是什麼?
[00:01:27.880 --> 00:01:29.480]  明天會講
[00:01:29.480 --> 00:01:32.760]  但是其實第三眼是最重要
[00:01:32.760 --> 00:01:35.520]  就是他們打完耶利哥城贏了
[00:01:35.520 --> 00:01:37.760]  他們去打艾城
[00:01:37.760 --> 00:01:41.400]  但是他們敗走艾城
[00:01:41.400 --> 00:01:43.600]  死了三十多人
[00:01:43.600 --> 00:01:48.080]  為什麼竟然在這麼小的城市的戰爭裡面
[00:01:48.080 --> 00:01:49.960]  他們會失敗呢?
[00:01:49.960 --> 00:01:51.440]  我們很快就會想
[00:01:51.440 --> 00:01:53.680]  阿干做事做得不好
[00:01:53.680 --> 00:01:55.040]  偷東西
[00:01:55.040 --> 00:01:57.680]  在《約書人》第七章第一節已經講過這些
[00:01:57.680 --> 00:02:00.280]  但其實不只是阿干
[00:02:00.280 --> 00:02:01.520]  還有其他人
[00:02:01.520 --> 00:02:02.720]  包括約書人
[00:02:02.720 --> 00:02:04.520]  都犯了錯
[00:02:04.520 --> 00:02:07.200]  我們很可能都會重蹈覆轍
[00:02:07.200 --> 00:02:12.000]  所以其實第三晚是最重要
[00:02:12.000 --> 00:02:14.120]  但我不知道
[00:02:14.120 --> 00:02:16.400]  會不會第三晚是最少人
[00:02:16.400 --> 00:02:19.200]  因為星期日是安息日
[00:02:19.200 --> 00:02:21.800]  但基督徒星期是最累的
[00:02:21.800 --> 00:02:23.360]  又要上主學
[00:02:23.360 --> 00:02:24.560]  又要上崇拜
[00:02:24.560 --> 00:02:26.040]  如果有侍奉
[00:02:26.040 --> 00:02:27.400]  又要開會
[00:02:27.400 --> 00:02:28.680]  幾乎會死
[00:02:28.680 --> 00:02:30.600]  我們真的要尋求安息
[00:02:30.600 --> 00:02:31.880]  所以星期日晚上
[00:02:31.880 --> 00:02:34.240]  多數人都不會出席
[00:02:34.240 --> 00:02:36.640]  但我希望大家有所堅持
[00:02:36.640 --> 00:02:38.000]  這就是這三晚裡面
[00:02:38.000 --> 00:02:41.080]  會跟大家一起來分享的內容
[00:02:41.080 --> 00:02:44.000]  我們在領受今晚的訊息之前
[00:02:44.000 --> 00:02:46.960]  我再一次低頭禱告有望神
[00:02:46.960 --> 00:02:47.640]  天父我多謝祢
[00:02:47.640 --> 00:02:50.040]  給我們有機會去學習
[00:02:50.040 --> 00:02:51.600]  祢的話語就是這麼寶貴
[00:02:51.600 --> 00:02:54.360]  讓祢的話語成為我們生命的幫助
[00:02:54.360 --> 00:02:56.440]  祈求主祢自己使用孩子
[00:02:56.440 --> 00:02:57.880]  給我所有的訊息
[00:02:57.880 --> 00:02:59.200]  讓我們有提醒
[00:02:59.200 --> 00:03:01.400]  聖靈祢親自在我們當中工作
[00:03:01.400 --> 00:03:03.120]  祝福每一個在祢面前
