
[00:00:00.000 --> 00:00:04.000]  今天和弟兄姊妹來分享的是
[00:00:04.000 --> 00:00:08.000]  詩篇十六篇第二到第四節
[00:00:08.000 --> 00:00:12.000]  題目是「除你以外」
[00:00:12.000 --> 00:00:14.000]  第二節
[00:00:14.000 --> 00:00:16.000]  這裡這樣說
[00:00:16.000 --> 00:00:20.000]  「我的心啊 你曾對耶和華說」
[00:00:20.000 --> 00:00:24.000]  其實原文就沒有「我的心啊」這四個字
[00:00:24.000 --> 00:00:28.000]  好像有對話一樣
[00:00:28.000 --> 00:00:30.000]  「和修」的翻譯就是
[00:00:30.000 --> 00:00:32.000]  「我曾對耶和華說」
[00:00:32.000 --> 00:00:37.000]  好像大衛就在這種困壓裡面
[00:00:37.000 --> 00:00:41.000]  他回憶自己曾經對主的承諾
[00:00:41.000 --> 00:00:45.000]  或者是一種的認信
[00:00:45.000 --> 00:00:47.000]  在那種回憶裡面
[00:00:47.000 --> 00:00:51.000]  他深深體會到主對他的看顧和保守
[00:00:51.000 --> 00:00:54.000]  弟兄姊妹其實回憶為我們信仰
[00:00:54.000 --> 00:00:58.000]  其實是一個很重要的操練
[00:00:58.000 --> 00:01:03.000]  因為通過回憶我們能夠細味到主給我們
[00:01:03.000 --> 00:01:07.000]  體會到他在我們生命裡面那種愛眷和仁度
[00:01:07.000 --> 00:01:10.000]  從而加深到我們對主的信德
[00:01:10.000 --> 00:01:14.000]  即使看來好像有時人生回望
[00:01:14.000 --> 00:01:17.000]  好像你曾經過了一段很艱難的日子
[00:01:17.000 --> 00:01:19.000]  但是當你再去回憶的時候
[00:01:19.000 --> 00:01:24.000]  再看看其實主在你的身邊擺了很多人
[00:01:24.000 --> 00:01:27.000]  來鼓勵你、扶持你
[00:01:27.000 --> 00:01:31.000]  這些人就好像天使一樣
[00:01:31.000 --> 00:01:34.000]  代替主來照顧你
[00:01:34.000 --> 00:01:36.000]  當你細味地回憶的時候
[00:01:36.000 --> 00:01:40.000]  你就體會到主的信實和大愛
[00:01:40.000 --> 00:01:43.000]  如果你能夠做回憶的練習
[00:01:43.000 --> 00:01:47.000]  一定能夠點燃到我們裡面的靈火
