
[00:00:00.000 --> 00:00:02.240]  開始一個新日計 講道系列
[00:00:02.240 --> 00:00:04.800]  其實這個系列講很多都可以
[00:00:04.800 --> 00:00:07.800]  不過我們只是跟大家講四堂
[00:00:07.800 --> 00:00:11.040]  這個講道系列講什麼呢? 是重振家鄉
[00:00:11.040 --> 00:00:15.240]  當然我所講的是重振基督家庭的家鄉
[00:00:15.240 --> 00:00:17.360]  爲什麼我們會講這個題目呢?
[00:00:17.360 --> 00:00:20.400]  因爲我們身處美國
[00:00:20.400 --> 00:00:23.360]  牧師在這裏都很長時間
[00:00:23.360 --> 00:00:26.600]  我發覺原來在教會里面
[00:00:26.600 --> 00:00:28.400]  都越來越多家庭
[00:00:28.400 --> 00:00:31.080]  我是說基督徒的家庭
[00:00:31.080 --> 00:00:35.680]  都出現了功能失調的情況
[00:00:35.680 --> 00:00:39.160]  dysfunctional family dysfunctional
[00:00:39.160 --> 00:00:41.600]  當你裏面功能失調的時候
[00:00:41.600 --> 00:00:42.840]  就造成很多問題
[00:00:42.840 --> 00:00:45.440]  家裏每個人都受苦
[00:00:45.440 --> 00:00:51.640]  大家很多時候在家裏生活得不開心
[00:00:51.640 --> 00:00:54.120]  有些可能已經suffer了很久都未定
[00:00:54.120 --> 00:00:58.680]  dysfunctional的情況已經很嚴重
[00:00:58.680 --> 00:01:02.360]  這個情況對你來說更加痛苦
[00:01:02.360 --> 00:01:03.280]  爲什麼呢?
[00:01:03.280 --> 00:01:05.120]  你不信耶穌是好好的
[00:01:05.120 --> 00:01:06.840]  信耶穌的壓力會比較大
[00:01:06.840 --> 00:01:10.360]  因爲大家都知道上帝不喜歡我們離婚
[00:01:10.360 --> 00:01:13.520]  但是你看回自己家裏面的情況
[00:01:13.520 --> 00:01:14.600]  你會發覺
[00:01:14.600 --> 00:01:15.720]  哇
[00:01:15.720 --> 00:01:18.640]  對林肯總統的一句話很有同感
[00:01:18.640 --> 00:01:20.360]  林肯總統講過很多話
[00:01:20.360 --> 00:01:27.200]  其中一句是"Marriage is not heaven nor hell"
[00:01:27.200 --> 00:01:29.880]  婚姻又不是天堂又不是地獄
[00:01:29.880 --> 00:01:33.440]  It's simply purgatory
[00:01:33.440 --> 00:01:35.920]  簡單來說就是煉獄
[00:01:35.920 --> 00:01:37.800]  這當然是天主教的觀念
[00:01:37.800 --> 00:01:41.040]  但是家庭裏面
[00:01:41.040 --> 00:01:42.480]  我希望
[00:01:42.480 --> 00:01:43.720]  It's my hope
[00:01:43.720 --> 00:01:46.920]  我們的家庭不會去到這樣的地步
[00:01:46.920 --> 00:01:50.240]  在家裏好像在做煉獄一樣
[00:01:50.240 --> 00:01:53.960]  很緊張的很緊張的很恐懼的很辛苦的
[00:01:53.960 --> 00:01:56.240]  家裏沒有一個人開心快樂的
[00:01:56.240 --> 00:01:57.800]  但是我們又不得不開心
[00:01:57.800 --> 00:01:59.120]  因爲好像說
[00:01:59.120 --> 00:02:01.920]  基督徒我們離婚了
[00:02:01.920 --> 00:02:03.680]  我們有這樣的觀念
[00:02:03.680 --> 00:02:06.560]  所以我很希望
[00:02:06.560 --> 00:02:12.080]  怎麼能夠重振基督家庭的家性
[00:02:12.080 --> 00:02:14.520]  基督徒的家庭應該有人送過愛的
[00:02:14.520 --> 00:02:16.400]  有人送過愛的時候應該歡喜快樂的
[00:02:16.400 --> 00:02:18.680]  裏面的人應該幸福的
[00:02:18.680 --> 00:02:21.360]  就應該看到他們成長的
[00:02:21.360 --> 00:02:24.000]  我們怎麼能夠重建我們的家性
[00:02:24.000 --> 00:02:28.000]  怎麼能夠讓基督家裏面充滿了愛和幸福
[00:02:28.000 --> 00:02:32.680]  怎麼能夠讓我們基督徒的家庭
[00:02:32.680 --> 00:02:34.720]  能夠榮耀上帝呢
[00:02:34.720 --> 00:02:38.480]  這幾個星期我希望你不單單自己回來聽
[00:02:38.480 --> 00:02:40.960]  你也能夠邀請你的同事朋友
