
[00:00:00.000 --> 00:00:04.000]  特勤姐妹在此再次恭賀大家
[00:00:04.000 --> 00:00:06.000]  新的一年我們有新的立志
[00:00:06.000 --> 00:00:09.000]  亦有新的動力要愛神愛人
[00:00:09.000 --> 00:00:15.000]  我都是按照牧師透過聖本篤回規
[00:00:15.000 --> 00:00:18.000]  輪到今日所講的題目
[00:00:18.000 --> 00:00:23.000]  就是源自聖本篤回規第四章44到46條
[00:00:23.000 --> 00:00:27.000]  那裏他提及Maintaining an Eternal Perspective
[00:00:27.000 --> 00:00:30.000]  我嘗試將它翻譯為辭定永恆觀
[00:00:30.000 --> 00:00:33.000]  這個是有三個條文裏面提到
[00:00:33.000 --> 00:00:37.000]  我們需要有一個畏懼審判日這種心
[00:00:37.000 --> 00:00:39.000]  我們雖然信了耶穌
[00:00:39.000 --> 00:00:43.000]  但我們要知道我們都是審判是由神的家起手
[00:00:43.000 --> 00:00:47.000]  將來我們有一天都要去到基督的審判台前
[00:00:47.000 --> 00:00:51.000]  不是來決定我們所謂能否上天堂
[00:00:51.000 --> 00:00:54.000]  那裏是決定我們獎賞的問題
[00:00:54.000 --> 00:00:58.000]  我們在當中亦都是明白
[00:00:58.000 --> 00:01:01.000]  有一個對地獄一種的懼怕
[00:01:01.000 --> 00:01:03.000]  地獄是真實的
[00:01:03.000 --> 00:01:07.000]  所以我們在永恆的角度來看的時候
[00:01:07.000 --> 00:01:10.000]  今天我們要透過我們短暫的人生
[00:01:10.000 --> 00:01:13.000]  我們好好來跟人分享福音
[00:01:13.000 --> 00:01:19.000]  以至別人都能夠可以同得福這個救恩的恩典
[00:01:19.000 --> 00:01:23.000]  而第三方面我們需要一個盡心而切的
[00:01:23.000 --> 00:01:25.000]  去學悟這個永生
[00:01:25.000 --> 00:01:28.000]  永生不是將來在天堂才開始
[00:01:28.000 --> 00:01:32.000]  永生是由我們信耶穌那一刻你就已經擁有
[00:01:32.000 --> 00:01:36.000]  你能夠與神與人與自己都能夠去和好
[00:01:36.000 --> 00:01:39.000]  所以願意我們用這個短暫的人生
[00:01:39.000 --> 00:01:41.000]  懂得作出永恆的投資
[00:01:41.000 --> 00:01:44.000]  能夠好好持定永恆的觀念
[00:01:44.000 --> 00:01:47.000]  我們去真的建立和祝福別人
[00:01:47.000 --> 00:01:52.000]  剛才何偉勳傳道帶領我們要讀這段經文
[00:01:52.000 --> 00:01:55.000]  《南多後書》第四章十六到十八節
[00:01:55.000 --> 00:01:56.000]  那個是和合本
[00:01:56.000 --> 00:02:00.000]  這裡是列出另外一個譯本給大家參考的
[00:02:00.000 --> 00:02:04.000]  新譯本裡面同樣都是講到
[00:02:04.000 --> 00:02:07.000]  保羅這個永恆價值觀裡面
[00:02:07.000 --> 00:02:10.000]  是有五種的對比在當中
[00:02:10.000 --> 00:02:14.000]  這個有不同的顏色其實是對比了
[00:02:14.000 --> 00:02:19.000]  外面的人與裡面的人漸漸扭壞與日日更新
[00:02:19.000 --> 00:02:25.000]  短暫輕微的患難對比這個極大無比永遠的榮耀
[00:02:25.000 --> 00:02:27.000]  看得見的同看不見的
[00:02:27.000 --> 00:02:29.000]  暫時與及永遠的
[00:02:29.000 --> 00:02:33.000]  我們等一下都會再詳細去看這一段的經文
[00:02:33.000 --> 00:02:36.000]  但是我們要明白這段經文之先
[00:02:36.000 --> 00:02:37.000]  你既然看到的所以
[00:02:37.000 --> 00:02:42.000]  即是說它前面有一段的經文就是講了一些東西
[00:02:42.000 --> 00:02:45.000]  以至保羅得出這個結論
[00:02:45.000 --> 00:02:48.000]  所以我們就不需要沮喪
[00:02:48.000 --> 00:02:51.000]  保羅第一個世紀傳福音的時候
[00:02:51.000 --> 00:02:55.000]  當時的環境是非常艱苦和危險的
[00:02:55.000 --> 00:02:59.000]  如果我們可以來到去看回聖經的話
[00:02:59.000 --> 00:03:02.000]  你都可以看到在哥倫多後書十一章
[00:03:02.000 --> 00:03:04.000]  保羅是講得很清楚
[00:03:04.000 --> 00:03:09.000]  那裡他提到他有很多方面的那些困難的
[00:03:09.000 --> 00:03:14.000]  有他受勞苦、下監牢、受鞭打
[00:03:14.000 --> 00:03:18.000]  甚至他又試過被人用棍打
[00:03:18.000 --> 00:03:21.000]  也都石頭也都打過一次
[00:03:21.000 --> 00:03:25.000]  我相信這一次就特別講到他第一次宣教的時候
[00:03:25.000 --> 00:03:32.000]  他去到這個在今天的土耳其的中部
[00:03:32.000 --> 00:03:41.000]  就在當中我們會看見這個叫做路斯德這個城市
[00:03:41.000 --> 00:03:44.000]  他在當中被人打到其實是半死的
[00:03:44.000 --> 00:03:47.000]  人們以為他用石頭扔他
[00:03:47.000 --> 00:03:50.000]  他以為他其實我相信是暈了
[00:03:50.000 --> 00:03:52.000]  但是人們以為他死了
[00:03:52.000 --> 00:03:54.000]  但是門徒圍著他的時候
[00:03:54.000 --> 00:03:57.000]  他就起來了
[00:03:57.000 --> 00:04:01.000]  他仍然是回到城裡面去傳福音
[00:04:01.000 --> 00:04:04.000]  後來他離開那個地方去到特比城
[00:04:04.000 --> 00:04:06.000]  再去到其他的城市之後
[00:04:06.000 --> 00:04:09.000]  他回頭仍然回到這個路斯德
[00:04:09.000 --> 00:04:14.000]  保羅這種打不死的這種生命
[00:04:14.000 --> 00:04:17.000]  他裡面為什麼有這一份的動力呢
[00:04:17.000 --> 00:04:21.000]  是因為他真的有經歷到這位復活的主耶穌
[00:04:21.000 --> 00:04:24.000]  昔日我們看回保羅
[00:04:24.000 --> 00:04:28.000]  他是在大馬適路上得到耶穌的呼召
[00:04:28.000 --> 00:04:30.000]  他原本就是要迫害教會
[00:04:30.000 --> 00:04:36.000]  但是從迫害教會變成一個熱愛教會、建立教會
[00:04:36.000 --> 00:04:39.000]  到處去周圍去傳福音
[00:04:39.000 --> 00:04:42.000]  讓人去認識這位復活的救主耶穌
[00:04:42.000 --> 00:04:44.000]  我們看見保羅的生命
[00:04:44.000 --> 00:04:49.000]  以至他面對很大的艱難和危險
[00:04:49.000 --> 00:04:52.000]  他甚至我們聖經裡面可以看見
[00:04:52.000 --> 00:04:56.000]  是除了有旅途當中的危險
[00:04:56.000 --> 00:04:59.000]  有愛邦人的危險
[00:04:59.000 --> 00:05:01.000]  或者是海中的危險
[00:05:01.000 --> 00:05:03.000]  賈弟經的危險
[00:05:03.000 --> 00:05:07.000]  我們看見就是當時教會的處境
[00:05:07.000 --> 00:05:09.000]  教會是有內憂外患
[00:05:09.000 --> 00:05:13.000]  裡面有賈師傅來扭曲那個福音
[00:05:13.000 --> 00:05:17.000]  哥倫多的教會當時四分五裂一樣
[00:05:17.000 --> 00:05:20.000]  有些人說我是屬彼得的
[00:05:20.000 --> 00:05:22.000]  有些人說我是屬保羅的
[00:05:22.000 --> 00:05:24.000]  有些人說我屬阿波羅的
[00:05:24.000 --> 00:05:26.000]  有些人自以為很屬靈
[00:05:26.000 --> 00:05:27.000]  說我屬基督的
[00:05:27.000 --> 00:05:30.000]  保羅就罵他們、斥責他們
[00:05:30.000 --> 00:05:32.000]  其實你們個個都不對
[00:05:32.000 --> 00:05:35.000]  因為基督耶穌是一個的身體
[00:05:35.000 --> 00:05:36.000]  祂建立教會
[00:05:36.000 --> 00:05:37.000]  好像我們守聖餐
[00:05:37.000 --> 00:05:40.000]  我們雖然每人拿一個餅來吃
[00:05:40.000 --> 00:05:44.000]  但那個無教餅是源自一個的餅
[00:05:44.000 --> 00:05:48.000]  這個耶穌基督祂為我們成立的教會
[00:05:48.000 --> 00:05:50.000]  這種合而為一
[00:05:50.000 --> 00:05:54.000]  這種精神是需要在教會裡面來彰顯
[00:05:54.000 --> 00:05:57.000]  彰顯頂止沒彼此相愛
[00:05:57.000 --> 00:06:00.000]  這個也是耶穌吩咐我們的命令
[00:06:00.000 --> 00:06:02.000]  所以人們來到教會當中是看見
[00:06:02.000 --> 00:06:05.000]  信徒的合一和相愛的時候
[00:06:05.000 --> 00:06:07.000]  認出我們是主的門徒
[00:06:07.000 --> 00:06:10.000]  另一方面我們看見教會外面
[00:06:10.000 --> 00:06:12.000]  也有很多的猶太教信徒
[00:06:12.000 --> 00:06:15.000]  來挑唆眾人迫害保羅
[00:06:15.000 --> 00:06:16.000]  我剛才引用的例子
[00:06:16.000 --> 00:06:21.000]  在路斯德城正正就是這樣的實例
[00:06:21.000 --> 00:06:23.000]  那些信猶太教的人
