
[00:00:00.000 --> 00:00:04.880]  以斯帖記第四章九到第十四節
[00:00:04.880 --> 00:00:09.160]  這裡說哈他格回來將莫迪改的話告訴以斯帖
[00:00:09.160 --> 00:00:12.220]  以斯帖就吩咐哈他格去見莫迪改說
[00:00:12.220 --> 00:00:15.740]  王的一切臣僕和各省的人民都知道一個定律
[00:00:15.740 --> 00:00:18.460]  若不蒙昭散入內院見王的
[00:00:18.460 --> 00:00:20.920]  無論男女必被致死
[00:00:20.920 --> 00:00:23.920]  除非王向他伸出金杖不得存活
[00:00:23.920 --> 00:00:27.420]  現在我沒有蒙昭進去見王已經三十日了
[00:00:27.420 --> 00:00:30.100]  人把以斯帖這話告訴莫迪改
[00:00:30.100 --> 00:00:32.300]  莫迪改託人回覆以斯帖說
[00:00:32.300 --> 00:00:35.900]  你莫想在王宮裡強過一切尤大人
[00:00:35.900 --> 00:00:37.300]  得免此禍
[00:00:37.300 --> 00:00:38.680]  此時你若閉口不言
[00:00:38.680 --> 00:00:43.060]  尤大人必從別處得脫蒙拯救
[00:00:43.060 --> 00:00:45.680]  你和你的父家必致滅亡
[00:00:45.680 --> 00:00:47.900]  焉知你得了王後的位分
[00:00:47.900 --> 00:00:50.780]  不是為獻金的機會嗎?
[00:00:50.780 --> 00:00:53.180]  我們就讀到這裡
[00:00:53.180 --> 00:00:58.780]  位分跟機會是我們人生活在這個世界上
[00:00:58.780 --> 00:01:01.800]  最需要知道的兩件事情
[00:01:01.800 --> 00:01:07.500]  太多時候我們之所以在生活上感覺很迷惑跟無奈
[00:01:07.500 --> 00:01:09.440]  都是因為我們既不明白
[00:01:09.440 --> 00:01:13.140]  為什麼我們會處在獻金的處境
[00:01:13.140 --> 00:01:17.820]  我們更不明白我們前面的道路會是如何
[00:01:17.820 --> 00:01:19.740]  好像很多時候我們感覺到自己
[00:01:19.740 --> 00:01:23.100]  只不過是被生活所驅使
[00:01:23.100 --> 00:01:24.980]  不斷的向前走
[00:01:24.980 --> 00:01:27.420]  卻不知道往哪裡去
[00:01:27.420 --> 00:01:28.860]  或者我們常常感覺到
[00:01:28.860 --> 00:01:31.900]  我們只是被人擺在一個地方
[00:01:31.900 --> 00:01:34.940]  卻不見得是自己的選擇
[00:01:34.940 --> 00:01:39.460]  以斯帖就是處在這樣一個光景當中
[00:01:39.460 --> 00:01:41.220]  他是個猶太人
[00:01:41.220 --> 00:01:43.700]  卻生活在異邦當中
[00:01:43.700 --> 00:01:45.420]  從小父母死了
[00:01:45.420 --> 00:01:47.740]  被莫迪改收養
[00:01:47.740 --> 00:01:51.780]  後來亞哈水乳王要選皇后的時候
[00:01:51.780 --> 00:01:54.820]  被莫迪改推出來選拔
[00:01:54.820 --> 00:01:59.740]  結果一路就推到王后的位置上
[00:01:59.740 --> 00:02:04.700]  這一切的過程恐怕也不是以斯帖所選擇的
[00:02:04.700 --> 00:02:10.660]  他好像是不由自主的被擺在那個位置上而已
[00:02:10.660 --> 00:02:12.940]  同樣我就看見今天很多時候
[00:02:12.940 --> 00:02:16.020]  我們自己的光景不也是這樣嗎
[00:02:16.020 --> 00:02:17.820]  我們也常常看見
[00:02:17.820 --> 00:02:22.380]  我們所處的環境也不是我們自己所選擇的
[00:02:22.380 --> 00:02:23.940]  不是嗎
[00:02:23.940 --> 00:02:27.980]  但無論我們的環境是否是我們所選擇的
[00:02:27.980 --> 00:02:30.140]  今天早上我就要告訴你一件事情
[00:02:30.140 --> 00:02:33.420]  神在你的生命當中還是有計畫
[00:02:33.420 --> 00:02:34.740]  是有目的的
[00:02:34.740 --> 00:02:35.780]  Amen
