
[00:00:00.000 --> 00:00:02.000]  鼎姊妹 午安
[00:00:02.000 --> 00:00:04.000]  差不多中午了
[00:00:04.000 --> 00:00:08.000]  今天很開心
[00:00:08.000 --> 00:00:10.000]  很感恩為窩福堂
[00:00:10.000 --> 00:00:12.000]  踏入50周年
[00:00:12.000 --> 00:00:14.000]  因為
[00:00:14.000 --> 00:00:16.000]  去年朱牧師
[00:00:16.000 --> 00:00:18.000]  跟我分享
[00:00:18.000 --> 00:00:20.000]  他將會退休
[00:00:20.000 --> 00:00:22.000]  亦都
[00:00:22.000 --> 00:00:24.000]  告訴我今年你們是
[00:00:24.000 --> 00:00:26.000]  50周年
[00:00:26.000 --> 00:00:28.000]  每一個月他會請
[00:00:28.000 --> 00:00:30.000]  窩福堂的仔仔女女
[00:00:30.000 --> 00:00:32.000]  回來
[00:00:32.000 --> 00:00:34.000]  跟大家分享
[00:00:34.000 --> 00:00:36.000]  我們在神的話語彼此
[00:00:36.000 --> 00:00:38.000]  互相勉勵
[00:00:38.000 --> 00:00:40.000]  我今天在這裡
[00:00:40.000 --> 00:00:42.000]  代表我們廣福堂所有的
[00:00:42.000 --> 00:00:44.000]  鼎姊妹向你們問安
[00:00:44.000 --> 00:00:46.000]  願上帝賜福你們
[00:00:46.000 --> 00:00:48.000]  繼續使用你們
[00:00:48.000 --> 00:00:50.000]  亦都讓
[00:00:50.000 --> 00:00:52.000]  李牧師
[00:00:52.000 --> 00:00:54.000]  和整個教育團隊
[00:00:54.000 --> 00:00:56.000]  執事們和鼎姊妹
[00:00:56.000 --> 00:00:58.000]  同心合意
[00:00:58.000 --> 00:01:00.000]  希望福音
[00:01:00.000 --> 00:01:02.000]  和建立主所喜悅的
[00:01:02.000 --> 00:01:04.000]  門徒
[00:01:04.000 --> 00:01:06.000]  今天我
[00:01:06.000 --> 00:01:08.000]  感受到
[00:01:08.000 --> 00:01:10.000]  上帝在
[00:01:10.000 --> 00:01:12.000]  播道會這個大家庭
[00:01:12.000 --> 00:01:14.000]  特別在窩福堂裏
[00:01:14.000 --> 00:01:16.000]  做了很多奇妙的工作
[00:01:16.000 --> 00:01:18.000]  不知道你們知不知道
[00:01:18.000 --> 00:01:20.000]  你們有11個仔女之外
[00:01:20.000 --> 00:01:22.000]  有多少個孫子
[00:01:22.000 --> 00:01:24.000]  你們可能不知道
[00:01:24.000 --> 00:01:26.000]  不過我也不知道
[00:01:26.000 --> 00:01:28.000]  我只能夠數
[00:01:28.000 --> 00:01:30.000]  原來窩福堂
[00:01:30.000 --> 00:01:32.000]  生了廣福堂在1984年
[00:01:32.000 --> 00:01:34.000]  而廣福堂
