
[00:00:00.000 --> 00:00:02.000]  我選了這幾段經文
[00:00:02.000 --> 00:00:06.280]  第一段就是《馬太福音》第十七章二十二至二十三節
[00:00:06.280 --> 00:00:08.780]  《馬太福音》十七章二十二至二十三節
[00:00:08.780 --> 00:00:10.080]  我們看看這段經文
[00:00:10.080 --> 00:00:13.240]  它說「他們聚集在加利利的時候
[00:00:13.240 --> 00:00:16.180]  耶穌對門徒說
[00:00:16.180 --> 00:00:19.680]  人子將要被交在人手裡
[00:00:19.680 --> 00:00:21.480]  他們要殺害他
[00:00:21.480 --> 00:00:23.560]  第三天他要復活
[00:00:23.560 --> 00:00:25.920]  門徒就非常憂愁」
[00:00:25.920 --> 00:00:27.360]  可能你會說
[00:00:27.360 --> 00:00:32.040]  牧師,這段經文跟兒童節主日有什麼關係呢?
[00:00:32.040 --> 00:00:34.840]  好像「鋒馬牛不相及」
[00:00:34.840 --> 00:00:36.940]  是不是叫「鋒馬牛不相及」?
[00:00:36.940 --> 00:00:40.480]  我的中文現在是很一般的
[00:00:40.480 --> 00:00:42.880]  有些東西是記得一點點而已
[00:00:42.880 --> 00:00:45.380]  很「鋒馬牛不相及」的
[00:00:45.380 --> 00:00:47.280]  復活節就差不多
[00:00:47.280 --> 00:00:47.980]  是不是?
[00:00:47.980 --> 00:00:50.420]  復活節就很對,很應景的
[00:00:50.420 --> 00:00:53.720]  因為說到耶穌要被殺害
[00:00:53.720 --> 00:00:55.560]  第三天他要復活
[00:00:57.860 --> 00:00:59.260]  但是原來
[00:00:59.260 --> 00:01:01.900]  當我選這段經文給大家的時候
[00:01:01.900 --> 00:01:03.760]  是有原因的
[00:01:03.760 --> 00:01:08.640]  因為當我們去看馬太福音第十九章的第十四節
[00:01:08.640 --> 00:01:10.500]  如果單是看這一節的時候
[00:01:10.500 --> 00:01:12.180]  原來我們發覺
[00:01:12.180 --> 00:01:13.640]  由它的上文
[00:01:13.640 --> 00:01:16.920]  我們讀聖經是需要有上文下理的
[00:01:16.920 --> 00:01:19.120]  你不可以只是拿著一節經文
[00:01:19.120 --> 00:01:22.480]  沒有上沒有下這樣去看
[00:01:22.480 --> 00:01:24.320]  有時候我們不會很理解
[00:01:24.320 --> 00:01:26.660]  為什麼會來到這樣呢?
[00:01:26.660 --> 00:01:28.900]  特別這些是一些
