
[00:00:00.000 --> 00:00:04.000]  今天我們用詩篇第十六篇
[00:00:04.000 --> 00:00:08.000]  讓大家一起來思考神的話語
[00:00:08.000 --> 00:00:13.000]  爲什麼我選十六篇呢
[00:00:13.000 --> 00:00:16.000]  因爲在最近我知道有好幾個家庭
[00:00:16.000 --> 00:00:19.000]  他們要回國
[00:00:19.000 --> 00:00:23.000]  也剛好我想到這詩篇十六篇
[00:00:23.000 --> 00:00:28.000]  在詩篇十六篇
[00:00:28.000 --> 00:00:33.000]  裏面我們可以深深的體會到
[00:00:33.000 --> 00:00:36.000]  當我們在主裏面我們得到滿足
[00:00:36.000 --> 00:00:40.000]  當我們深深在主裏面得到喜樂
[00:00:40.000 --> 00:00:42.000]  你這個滿足這個喜樂
[00:00:42.000 --> 00:00:47.000]  你不能不把這樣傳給我們所親愛的人
[00:00:47.000 --> 00:00:50.000]  假如我們真正體會到
[00:00:50.000 --> 00:00:53.000]  在主裏面我們有滿足
[00:00:53.000 --> 00:00:56.000]  所以我就有感動
[00:00:56.000 --> 00:01:00.000]  雖然我今天早上在母會只講另外一篇道
[00:01:00.000 --> 00:01:03.000]  我不曉得母會有多少人回國
[00:01:03.000 --> 00:01:06.000]  可是我們教會回國通常在暑假的時候
[00:01:06.000 --> 00:01:08.000]  不少人
[00:01:08.000 --> 00:01:11.000]  我們也在暑假裏面有不少人
[00:01:11.000 --> 00:01:14.000]  會到不同地方去旅遊
[00:01:14.000 --> 00:01:17.000]  也會到歐洲會到意大利
[00:01:17.000 --> 00:01:19.000]  其實我們信主之後
[00:01:19.000 --> 00:01:23.000]  當你到歐洲意大利去的時候
[00:01:23.000 --> 00:01:26.000]  你所參觀的
[00:01:26.000 --> 00:01:28.000]  你所看的
[00:01:28.000 --> 00:01:30.000]  有更深一層
[00:01:30.000 --> 00:01:32.000]  以前我去歐洲
[00:01:32.000 --> 00:01:36.000]  在二十幾年前的時候
[00:01:36.000 --> 00:01:39.000]  我就可以深深體會到
[00:01:39.000 --> 00:01:43.000]  在當時那些藝術家所畫出來的
[00:01:43.000 --> 00:01:48.000]  跟聖經息息相關
[00:01:49.000 --> 00:01:55.000]  所以因爲歐洲帶來宗教的改革
[00:01:55.000 --> 00:01:59.000]  所以福音再一次的火熱
[00:01:59.000 --> 00:02:02.000]  從歐洲傳到美洲
[00:02:02.000 --> 00:02:06.000]  也從美洲之後傳到亞洲
[00:02:06.000 --> 00:02:10.000]  所以今天我們看的詩篇十六篇
[00:02:10.000 --> 00:02:12.000]  假如你看這小字
[00:02:12.000 --> 00:02:14.000]  金詩
[00:02:14.000 --> 00:02:17.000]  雖然這個定義有不同的定義
[00:02:17.000 --> 00:02:20.000]  但是我覺得這個定義也可以說
[00:02:20.000 --> 00:02:24.000]  大衛把這首詩看爲最寶貴的
[00:02:24.000 --> 00:02:29.000]  把這首詩歌看爲不可忘記的
[00:02:29.000 --> 00:02:32.000]  表示重要的
[00:02:32.000 --> 00:02:35.000]  一起跟我們分享
[00:02:35.000 --> 00:02:37.000]  也讓我們在主裏面
[00:02:37.000 --> 00:02:40.000]  因爲有同樣主的生命
[00:02:40.000 --> 00:02:42.000]  我們也可以認同
[00:02:42.000 --> 00:02:44.000]  我們可以阿門
[00:02:44.000 --> 00:02:48.000]  我們也可以說大衛所說
[00:02:48.000 --> 00:02:50.000]  大衛所說的
[00:02:50.000 --> 00:02:53.000]  我們也有同樣的感受
[00:02:53.000 --> 00:02:57.000]  那我們今天就一段一段來看
[00:02:57.000 --> 00:02:59.000]  那在這篇裏面
[00:02:59.000 --> 00:03:01.000]  當我讀的時候
[00:03:01.000 --> 00:03:06.000]  我看到有一個字出現的特別多
[00:03:06.000 --> 00:03:08.000]  所以說我這個字
[00:03:08.000 --> 00:03:09.000]  那換句話說
[00:03:09.000 --> 00:03:14.000]  我們的信仰不單單只是頭腦上
[00:03:14.000 --> 00:03:17.000]  在知識上的知道
[00:03:17.000 --> 00:03:19.000]  更是在生活
[00:03:19.000 --> 00:03:22.000]  生命中經歷這位神
[00:03:22.000 --> 00:03:26.000]  所以當你看到大衛說我的時候
[00:03:26.000 --> 00:03:31.000]  我們也應該把我放到裏面
[00:03:31.000 --> 00:03:35.000]  當你把我自己放到裏面
[00:03:35.000 --> 00:03:37.000]  同樣有感受
[00:03:37.000 --> 00:03:42.000]  那我們已經到了一個屬靈成熟
[00:03:42.000 --> 00:03:49.000]  享受神豐富的一個景況
[00:03:49.000 --> 00:03:51.000]  所以這一首詩歌
[00:03:51.000 --> 00:03:52.000]  這一首詩篇
[00:03:52.000 --> 00:03:57.000]  我們看到他是一切的美善在主裏
[00:03:57.000 --> 00:04:00.000]  也是主所賞賜的
[00:04:00.000 --> 00:04:02.000]  所以他說我我我
[00:04:02.000 --> 00:04:04.000]  這我我我
[00:04:04.000 --> 00:04:07.000]  我從中文聖經我數來
[00:04:07.000 --> 00:04:10.000]  有十幾個我在這裏
[00:04:10.000 --> 00:04:13.000]  雖然是短短的十一節
[00:04:13.000 --> 00:04:16.000]  起碼不止十一個我
[00:04:16.000 --> 00:04:19.000]  有的一節裏面出現兩個我
[00:04:19.000 --> 00:04:24.000]  所以這是我們讀聖經的一個需要注意的
[00:04:24.000 --> 00:04:27.000]  不但我們知道大衛自己述說神的榮耀
[00:04:27.000 --> 00:04:32.000]  今天我們同樣在敬拜神
[00:04:32.000 --> 00:04:35.000]  神的同在神的帶領的時候
[00:04:35.000 --> 00:04:38.000]  我們是否也可以說我我
[00:04:38.000 --> 00:04:40.000]  也可以來投靠神
[00:04:40.000 --> 00:04:41.000]  所以我們看第一節
[00:04:41.000 --> 00:04:46.000]  大衛說神啊求你保佑我
[00:04:46.000 --> 00:04:50.000]  因爲我投靠你
[00:04:50.000 --> 00:04:53.000]  我們先想一下大衛是誰
[00:04:53.000 --> 00:04:56.000]  大衛是君王
[00:04:56.000 --> 00:04:59.000]  大衛經過各樣的患難
[00:04:59.000 --> 00:05:02.000]  也經過攻擊
[00:05:02.000 --> 00:05:04.000]  也經過危險
[00:05:04.000 --> 00:05:08.000]  可是他登上寶座之後
[00:05:08.000 --> 00:05:10.000]  萬人之上
[00:05:10.000 --> 00:05:12.000]  國家最高的人首
[00:05:12.000 --> 00:05:14.000]  首領
[00:05:14.000 --> 00:05:16.000]  國家的主席
[00:05:16.000 --> 00:05:18.000]  國家的總統
[00:05:18.000 --> 00:05:20.000]  三軍的總帥
[00:05:20.000 --> 00:05:23.000]  這位國家的君王
[00:05:23.000 --> 00:05:27.000]  神啊求你保佑我
[00:05:27.000 --> 00:05:30.000]  你們看到這一句何等的可貴
[00:05:30.000 --> 00:05:32.000]  萬人之上
[00:05:32.000 --> 00:05:40.000]  他說神啊求你保佑我
[00:05:40.000 --> 00:05:45.000]  他經歷到神是保佑我們的神
[00:05:45.000 --> 00:05:49.000]  雖然在他手下有千萬的兵馬
