
[00:00:00.000 --> 00:00:01.600]  福大師妹早晨
[00:00:01.600 --> 00:00:04.920]  希望我們在今天再次回到神的說話的面前
[00:00:04.920 --> 00:00:12.240]  繼續在主的道理上有更全面和更準確的掌握
[00:00:12.240 --> 00:00:14.600]  好,讓我們在聆聽主導義先
[00:00:14.600 --> 00:00:16.640]  讓我們一起再次同心低頭
[00:00:16.640 --> 00:00:18.440]  一起仰望我們主的神
[00:00:18.440 --> 00:00:22.480]  讓我們一起同心低頭禱告
[00:00:22.480 --> 00:00:23.520]  慈悲天父,多謝祢
[00:00:23.520 --> 00:00:28.640]  讓我們能夠再次回到祢的啟示當中去認識祢
[00:00:28.640 --> 00:00:35.440]  讓我們也透過你獨生兒子在地上的工作和講話
[00:00:35.440 --> 00:00:38.240]  讓我們更清楚明白到我們今天
[00:00:38.240 --> 00:00:44.480]  在數十年當中的信徒人生當中應該怎樣去繼續走
[00:00:44.480 --> 00:00:45.760]  怎樣繼續的沉溯
[00:00:45.760 --> 00:00:48.120]  我們為此獻上感謝
[00:00:48.120 --> 00:00:51.080]  求祢讓每一個無論在實體崇拜的
[00:00:51.080 --> 00:00:54.160]  或者在網上崇拜的弟兄姊妹
[00:00:54.160 --> 00:00:57.480]  都同樣有聖靈與我們同在
[00:00:57.480 --> 00:01:03.920]  讓我們能夠更準確地知道我們的信的光景的同時
[00:01:03.920 --> 00:01:06.480]  也都應該在下一步當中
[00:01:06.480 --> 00:01:09.360]  我們當走的數年道路應該是怎樣走
[00:01:09.360 --> 00:01:11.200]  我們祈求祢的引導
[00:01:11.200 --> 00:01:13.600]  祈求祢的教導
[00:01:13.600 --> 00:01:14.840]  我們同心的禱告
[00:01:14.840 --> 00:01:16.840]  奉靠主耶穌基督
[00:01:16.840 --> 00:01:18.520]  得聖的名字而求
[00:01:18.520 --> 00:01:20.840]  阿們
[00:01:20.840 --> 00:01:24.040]  在一個商業社會的裏面
[00:01:24.040 --> 00:01:28.440]  其實有一件事是一路都不會缺少的
[00:01:28.440 --> 00:01:31.520]  就是叫做審計或者查核
[00:01:31.520 --> 00:01:34.720]  我記得在我自己讀大學的時候
[00:01:34.720 --> 00:01:39.880]  本身我本修就是這個會計學
[00:01:39.880 --> 00:01:44.920]  其中一個課堂就叫做審核數
[00:01:44.920 --> 00:01:46.240]  要讀一年的
[00:01:46.240 --> 00:01:49.760]  我記得那時候讀分開兩個部份去讀的
[00:01:49.760 --> 00:01:54.440]  第一個部份就是所謂的external audit
[00:01:54.440 --> 00:01:56.840]  外來的一個審計
[00:01:56.840 --> 00:02:01.120]  另外也都會分為內部的審計
[00:02:01.120 --> 00:02:02.800]  作用是做什麼呢
[00:02:02.800 --> 00:02:06.320]  是要保證在整個的企業
[00:02:06.320 --> 00:02:10.120]  或者整個的商業運作的過程當中
[00:02:10.120 --> 00:02:13.280]  所有的東西都是能夠按照
[00:02:13.280 --> 00:02:17.000]  在原本這個企業的主管的設計
[00:02:17.000 --> 00:02:22.600]  和它的預備計劃當中去推行
[00:02:22.600 --> 00:02:27.840]  所以當我們去看見任何的生意都好
[00:02:27.840 --> 00:02:31.840]  其實你應該有一個審計的過程
[00:02:31.840 --> 00:02:33.880]  甚至可能是自己一個
[00:02:33.880 --> 00:02:37.880]  是小小的一個個體戶的一個生意
[00:02:37.880 --> 00:02:41.560]  其實你自己都對自己一些的運作
[00:02:41.560 --> 00:02:45.000]  其實是不斷去反覆的調查核實
[00:02:45.000 --> 00:02:47.120]  究竟我正在做的東西對不對呢
[00:02:47.120 --> 00:02:50.520]  是不是在我的預計之內呢
[00:02:50.520 --> 00:02:57.600]  於是乎這個設計核數或者審核
[00:02:57.600 --> 00:03:00.240]  其實是對於整個的
[00:03:00.240 --> 00:03:02.760]  無論在商業社會的裏面
[00:03:02.760 --> 00:03:05.000]  甚至在個人的層面的上面
[00:03:05.000 --> 00:03:09.160]  其實都是一個很有智慧的一種方式
[00:03:09.160 --> 00:03:11.200]  希望透過這個審計
[00:03:11.200 --> 00:03:13.400]  或者我們用一個個人的講法
[00:03:13.400 --> 00:03:15.560]  甚至做自我的警醒
[00:03:15.560 --> 00:03:17.360]  或者自己的審查
[00:03:17.360 --> 00:03:22.000]  去為自己提供一些糾正的機制
[00:03:22.000 --> 00:03:24.080]  使我們在過程當中
[00:03:24.080 --> 00:03:28.480]  不會太過偏離原本我自己的計劃
[00:03:28.480 --> 00:03:31.560]  或者原本公司的計劃
[00:03:31.560 --> 00:03:34.840]  而當我們將這個思維
[00:03:34.840 --> 00:03:38.320]  同樣套用到我們的熟齡生命上面
[00:03:38.320 --> 00:03:41.760]  其實是一個很重要的功課
[00:03:41.760 --> 00:03:45.960]  所以今天我們會思想一個題目
[00:03:45.960 --> 00:03:49.680]  叫做積極進取的疑問
