
[00:00:00.000 --> 00:00:03.460]  如果我問你,今天在這個城市裏面
[00:00:03.460 --> 00:00:07.240]  你覺得最多人患的什麼病呢?
[00:00:07.240 --> 00:00:10.120]  是不是傷風感冒呢?
[00:00:10.120 --> 00:00:15.580]  這些是季節性的,一到夏天就少一點了
[00:00:15.580 --> 00:00:18.560]  有什麼病你覺得呢?
[00:00:18.560 --> 00:00:22.640]  今天你留意到的,在我們這個城市或者辦公室裏面
[00:00:22.640 --> 00:00:28.360]  你會遇到有同事,或者你所認識的親友
[00:00:28.360 --> 00:00:30.560]  或者甚至是你自己
[00:00:30.560 --> 00:00:33.600]  你猜有什麼病呢?
[00:00:33.600 --> 00:00:36.000]  情緒病
[00:00:36.000 --> 00:00:38.000]  大家同不同意嗎?
[00:00:38.000 --> 00:00:44.160]  其實呢,確實這個是很嚴重的一件事
[00:00:44.160 --> 00:00:48.560]  我們以往通常說一個病人去看醫生
[00:00:48.560 --> 00:00:52.040]  都是看那些身體上的毛病
[00:00:52.040 --> 00:00:55.760]  但現在很多時候,當我接觸一些醫生的朋友
[00:00:55.760 --> 00:01:01.120]  他會告訴我,有時他們看病不只是開藥去醫治病人
[00:01:01.120 --> 00:01:04.480]  有些病人跟他建立了一種關係
[00:01:04.480 --> 00:01:06.640]  就好像醫者父母心
[00:01:06.640 --> 00:01:14.000]  正如有些少女很喜歡去看牙醫
[00:01:14.000 --> 00:01:16.800]  那位叫許先生
[00:01:16.800 --> 00:01:19.120]  因為很喜歡聽他唱的歌
[00:01:19.120 --> 00:01:21.600]  如果可以去到那裏
[00:01:21.600 --> 00:01:24.400]  即是比貴一點,他都願意的
[00:01:24.400 --> 00:01:27.120]  其實這一種,你說是什麼效應呢?
[00:01:27.120 --> 00:01:30.800]  他不是因為牙痛去看牙醫找許先生
[00:01:30.800 --> 00:01:33.480]  他是因為心靈裏面
[00:01:33.480 --> 00:01:37.800]  他其實有一種很想尋求
[00:01:37.800 --> 00:01:42.800]  我人生裏面有沒有一個我能夠很景仰的人
[00:01:42.800 --> 00:01:44.840]  其實我們每一個人都有的
[00:01:44.840 --> 00:01:46.480]  在我們生命裏面
[00:01:46.480 --> 00:01:51.560]  你在尋覓的過程裏面
[00:01:51.560 --> 00:01:54.320]  有時你可能會失望
[00:01:54.320 --> 00:01:57.760]  有時你也可能會困擾
[00:01:57.760 --> 00:02:00.280]  在我們人生的成長路裏面
[00:02:00.280 --> 00:02:08.440]  我見到大家在座有很多很年輕的在職人士
[00:02:08.440 --> 00:02:11.480]  可能你現在在一個階段
[00:02:11.480 --> 00:02:13.840]  你可能在等候對象
[00:02:13.840 --> 00:02:17.360]  或者你可能在等候轉工
[00:02:17.360 --> 00:02:23.480]  但究竟你今天心靈裏面有沒有遇過創傷呢?
[00:02:23.480 --> 00:02:25.080]  當一個人活在這個世界
[00:02:25.080 --> 00:02:27.280]  我想越多年日的時候
[00:02:27.280 --> 00:02:29.280]  你或多或少
[00:02:29.280 --> 00:02:36.760]  你都會開始感受到一些所謂風浪、衝擊
[00:02:36.760 --> 00:02:39.280]  甚至是傷害
[00:02:39.280 --> 00:02:40.960]  這些傷害帶來什麼呢?
[00:02:40.960 --> 00:02:43.960]  帶來你如果沒有好好處理的時候
[00:02:43.960 --> 00:02:47.040]  是可以變成一種心結
[00:02:47.040 --> 00:02:48.840]  這個心結也帶來
[00:02:48.840 --> 00:02:53.160]  所謂城市人裏面一個最嚴重、最常見的
[00:02:53.160 --> 00:02:55.080]  其實就是抑鬱病
[00:02:55.080 --> 00:02:57.520]  抑鬱病也可以有很多種
[00:02:57.520 --> 00:03:01.440]  你需要去正視面對的時候
[00:03:01.440 --> 00:03:06.480]  我們今期這個系列是說杏林乳積腸
[00:03:06.480 --> 00:03:09.000]  我們會有一連串的醫生
[00:03:09.000 --> 00:03:10.800]  包括一些是精神科
[00:03:10.800 --> 00:03:13.880]  甚至是一些心理醫生
[00:03:13.880 --> 00:03:16.320]  有不同的醫生
[00:03:16.320 --> 00:03:19.760]  其中有一位下星期他會來跟大家說
[00:03:19.760 --> 00:03:22.960]  他不是許醫生
[00:03:22.960 --> 00:03:25.280]  這位牙醫是劉醫生
[00:03:25.280 --> 00:03:28.120]  劉醫生是我們廣播堂的會友
[00:03:28.120 --> 00:03:29.920]  他的經歷很特別
