
[00:00:00.000 --> 00:00:02.320]  我們開始的時候一起祈禱
[00:00:02.320 --> 00:00:07.040]  親天父我們多謝你
[00:00:07.040 --> 00:00:11.560]  能夠來到天花師和大兄姊妹一起去敬拜你
[00:00:11.560 --> 00:00:14.080]  我求天父你去潔淨我們
[00:00:14.080 --> 00:00:18.560]  以致我們能夠無阻隔的與你有一個交通
[00:00:18.560 --> 00:00:20.240]  希望藉著你的話語
[00:00:20.240 --> 00:00:22.880]  我們能夠面對面的去認識你
[00:00:22.880 --> 00:00:24.560]  也認識我們自己
[00:00:24.560 --> 00:00:27.040]  聽我們禱告奉主耶穌基督的祈禱
[00:00:29.160 --> 00:00:36.240]  曾經有一個出版社聯絡當時一個很出名的牧師
[00:00:36.240 --> 00:00:41.200]  他就說我們幫你出一本傳記好不好
[00:00:41.200 --> 00:00:46.480]  這個牧師就說他的答應就是一口就拒絕
[00:00:46.480 --> 00:00:48.800]  他說你知道嗎
[00:00:48.800 --> 00:00:54.320]  很多運動員都是在他最後一圈的時候才跌倒的
[00:00:54.320 --> 00:00:58.560]  今天講的題目是有關機電
[00:00:58.560 --> 00:01:05.640]  我想你問聖經裡面十大最出名的人物是哪十個呢
[00:01:05.640 --> 00:01:10.760]  我想機電很可能是十個其中一個最受歡迎的
[00:01:10.760 --> 00:01:13.600]  因為我們剛才讀的經文你都看到
[00:01:13.600 --> 00:01:20.840]  機電他只需要三百人他就打敗超過十三萬的敵人
[00:01:20.840 --> 00:01:26.040]  所以他是以色列人裡面一個很偉大的英雄
[00:01:26.040 --> 00:01:30.280]  但是如果你看到整個故事的結局的時候
[00:01:30.280 --> 00:01:36.320]  你就會發覺機電的確是一個他最後一圈的時候跌倒的人
[00:01:36.320 --> 00:01:42.040]  所以今天的題目就是成也機電敗也機電
[00:01:42.040 --> 00:01:50.960]  希望我們看到以色列人他是因為機電得到拯救的
[00:01:50.960 --> 00:01:55.240]  但是最後他也是因為機電所以犯罪的
[00:01:55.240 --> 00:01:59.960]  所以我們希望可以學習機電的成功
[00:01:59.960 --> 00:02:03.480]  也希望可以避免機電的失敗
[00:02:03.480 --> 00:02:06.960]  所以今天的講題其實分開三部分
[00:02:06.960 --> 00:02:09.440]  我們會看看機電的一生
[00:02:09.440 --> 00:02:12.120]  他是由埋怨到平安
[00:02:12.120 --> 00:02:16.720]  第二階段是由恐懼到信靠
[00:02:16.720 --> 00:02:20.320]  但是他最後就是由成功到自大
