
[00:00:00.000 --> 00:00:04.640]  更多的教會很喜歡搞不同類型的報道會
[00:00:04.640 --> 00:00:06.260]  今天眾多的教會
[00:00:06.260 --> 00:00:08.580]  經常辦一些不同種類的報道會
[00:00:08.580 --> 00:00:10.100]  而搞的報道會
[00:00:10.100 --> 00:00:14.680]  亦都情況或者形式是越來越大型
[00:00:14.680 --> 00:00:18.000]  而辦的報道會也是越來越大型
[00:00:18.000 --> 00:00:21.200]  好像教會不搞大型報道會
[00:00:21.200 --> 00:00:22.600]  好像過不了日子一樣
[00:00:22.600 --> 00:00:25.040]  好像不搞得大就過不了日子
[00:00:25.040 --> 00:00:27.600]  而教會如果不搞大型的報道會
[00:00:27.600 --> 00:00:29.480]  亦都不能夠去傳福音
[00:00:29.480 --> 00:00:32.080]  好像不搞的大型也不能夠傳福音
[00:00:32.080 --> 00:00:36.200]  這種思維已經是植根在我們很多信徒的心裏面
[00:00:36.200 --> 00:00:39.600]  這樣的思維已經根植在很多信徒的心裏面
[00:00:39.600 --> 00:00:42.660]  接下來今年的9月12至14日
[00:00:42.660 --> 00:00:46.040]  我們多倫多又有一個大型的報道會
[00:00:46.040 --> 00:00:49.000]  在今年的9月12日到14日
[00:00:49.000 --> 00:00:51.240]  又將有另一個大型的報道會
[00:00:51.240 --> 00:00:53.720]  這一次的報道會
[00:00:53.720 --> 00:01:00.000]  是轉移到加拿大多倫多的加航中心Air Canada
[00:01:00.000 --> 00:01:02.920]  Air Canada Center去舉行
[00:01:02.920 --> 00:01:09.120]  這個舉行的地點是已經在加拿大多倫多的加航中心舉行
[00:01:09.120 --> 00:01:14.640]  有多大呢?這個加航中心基本上可以坐的人是接近2萬人的
[00:01:14.640 --> 00:01:17.520]  這個加航中心可以坐2萬多人
[00:01:17.520 --> 00:01:20.280]  在這麼大型的報道會裏面
[00:01:20.280 --> 00:01:22.240]  在這個大型的報道會裏面
[00:01:22.240 --> 00:01:25.280]  多倫多的華人同胞團體
[00:01:25.280 --> 00:01:29.080]  亦都向所有的教會廣發電郵
[00:01:29.080 --> 00:01:34.440]  多倫多的教務團現在向所有的教會傳發電郵
[00:01:34.440 --> 00:01:39.440]  並且是全力的參與這一次的報道會的推行
[00:01:39.440 --> 00:01:42.240]  並且全力的參與它的推行
[00:01:42.240 --> 00:01:46.000]  期間會舉行一連串的陪談員的訓練
[00:01:46.000 --> 00:01:50.520]  期間要推行一個連串的陪談員的訓練
[00:01:50.520 --> 00:01:54.160]  又已經打開了這個所謂40天的禱告運動
[00:01:54.160 --> 00:01:56.600]  又有開始了40天的禱告運動
[00:01:56.600 --> 00:01:58.880]  當然大量的海報宣傳單
[00:01:58.880 --> 00:02:03.840]  將邀請卡都是不斷趕製去印發給所有的教會去索取
[00:02:03.840 --> 00:02:06.400]  還有大量的海報宣傳單單
[00:02:06.400 --> 00:02:09.600]  還有邀請卡發給教會去索取
[00:02:09.600 --> 00:02:12.680]  務求將這個聲勢辦得有聲有色
[00:02:12.680 --> 00:02:14.800]  希望這個能辦得有聲有色
[00:02:14.800 --> 00:02:17.200]  並且鼓勵更多的人去參與
[00:02:17.200 --> 00:02:19.200]  並且鼓勵更多人去參與
[00:02:19.200 --> 00:02:22.000]  當這些人去到這麼大型的報道會的時候
[00:02:22.000 --> 00:02:24.320]  當這些人去到這麼大型的報道會的時候
[00:02:24.320 --> 00:02:27.120]  就使得他們更容易受到感動
[00:02:27.120 --> 00:02:29.800]  就使得他們更容易受到感動
[00:02:29.800 --> 00:02:31.040]  就成為基督徒了
[00:02:31.040 --> 00:02:32.680]  就成為基督徒了
[00:02:32.680 --> 00:02:35.240]  當然在過去的歷史裏面
[00:02:35.240 --> 00:02:36.640]  當然在過去的歷史裏面
[00:02:36.640 --> 00:02:39.760]  我們發覺到在這些大型報道會裏面
[00:02:39.760 --> 00:02:41.520]  說是信主的基督徒
[00:02:41.520 --> 00:02:44.080]  我們發現在這種大型的報道會裏
[00:02:44.080 --> 00:02:45.400]  信主的基督徒
[00:02:45.400 --> 00:02:48.240]  結果他們都只不過是一個掛名的基督徒
[00:02:48.240 --> 00:02:51.120]  結果他們都只不過是一個掛名的基督徒
[00:02:51.120 --> 00:02:53.040]  絕大部分也都流失了
[00:02:53.040 --> 00:02:54.920]  絕大部分也都流失了
[00:02:54.920 --> 00:02:56.640]  但為甚麼教會這麼多年
[00:02:56.640 --> 00:03:00.360]  都仍然是迷信在這種大型報道會裏面呢
[00:03:00.360 --> 00:03:04.320]  為甚麼這麼多年教會還在迷戀這種大型的報道會呢
[00:03:04.320 --> 00:03:07.200]  如果要追溯這些大型報道會的歷史的話
[00:03:07.200 --> 00:03:08.720]  如果追溯這些大型報道會的歷史的話
[00:03:08.720 --> 00:03:12.120]  我們可以推算到在18世紀的中葉的時候
[00:03:12.120 --> 00:03:14.840]  第一次屬靈大醒覺的運動
[00:03:14.840 --> 00:03:17.960]  我們可以追溯到18世紀中葉的時候
[00:03:17.960 --> 00:03:21.760]  當時有很多不同宗派的復興派的信徒
[00:03:21.760 --> 00:03:24.520]  當時有不同的宗派的復興派的活動
[00:03:24.520 --> 00:03:27.400]  都去舉辦不同類型的大型報道會
[00:03:27.400 --> 00:03:30.520]  都去舉辦不同的種類的報道會
[00:03:30.520 --> 00:03:32.080]  而發展到後來的
[00:03:32.080 --> 00:03:35.360]  在美國的大主義主義的影響之下
[00:03:35.360 --> 00:03:39.200]  在美國的大主義的影響下
[00:03:39.200 --> 00:03:42.280]  就繁殖出一種叫做報道團運動
[00:03:42.280 --> 00:03:45.160]  就繁殖出一種叫做報道團運動
[00:03:45.160 --> 00:03:48.920]  而這種思維也都在我們華人教會裏面廣泛流傳
[00:03:48.920 --> 00:03:51.880]  而這種思維在華人教會裏面廣泛流傳
[00:03:51.880 --> 00:03:55.040]  而其中華人最熟悉的一個報道團
[00:03:55.040 --> 00:03:57.480]  而華人最熟悉的一個報道團
[00:03:57.480 --> 00:04:00.240]  就是我們稱之為葛培里報道團
[00:04:00.240 --> 00:04:03.520]  就是我們所稱之為葛培里報道團
[00:04:03.520 --> 00:04:07.600]  這個也是在來年9月所舉行的報道會的主辦當局
[00:04:07.600 --> 00:04:11.800]  這也是馬上來到9月份的一個主辦的當局
[00:04:11.800 --> 00:04:14.440]  其實這種思維不只是華人教會才有
[00:04:14.440 --> 00:04:16.920]  其實這種思維不只是華人教會才有
[00:04:16.920 --> 00:04:19.080]  在西方教會是非常之流行
[00:04:19.080 --> 00:04:20.520]  在西方教會也非常流行
[00:04:20.520 --> 00:04:22.760]  如果大約早二三十年前的話
[00:04:22.760 --> 00:04:24.560]  如果在二三十年前
[00:04:24.560 --> 00:04:26.720]  除了葛培里之外
[00:04:26.720 --> 00:04:27.880]  除了葛培里之外
